created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,7.45,9.82,11.02,1369.45,-62.61,61.79,15.28,9.33,
2019-01-02 00:00:00 UTC,5.07,6.77,7.75,431.93,-19.36,63.54,15.45,6.76,
2019-01-03 00:00:00 UTC,2.85,3.78,4.29,249.87,-24.02,61.93,15.46,3.78,
2019-01-04 00:00:00 UTC,10.29,13.92,15.30,341.80,-18.74,68.03,24.27,13.70,
2019-01-05 00:00:00 UTC,24.93,34.64,38.60,689.18,-14.84,61.27,37.71,32.25,
2019-01-06 00:00:00 UTC,9.37,12.79,13.99,252.59,-23.66,64.36,52.10,11.86,
2019-01-07 00:00:00 UTC,4.16,6.13,7.30,360.56,-22.47,62.42,54.90,6.13,
2019-01-08 00:00:00 UTC,5.46,7.49,8.31,1052.56,-24.75,68.70,47.00,7.49,
2019-01-09 00:00:00 UTC,8.20,11.33,12.47,354.43,-14.05,69.17,41.70,11.07,
2019-01-10 00:00:00 UTC,23.30,34.48,38.95,376.26,-34.63,66.95,50.91,31.76,
2019-01-11 00:00:00 UTC,24.62,39.60,47.06,364.17,-16.70,63.23,57.90,33.54,
2019-01-12 00:00:00 UTC,12.53,19.79,23.11,430.82,-17.73,62.01,59.79,17.59,
2019-01-13 00:00:00 UTC,5.73,7.47,8.21,1995.69,-59.16,62.74,48.29,7.46,
2019-01-14 00:00:00 UTC,7.05,9.39,10.35,3268.00,-65.61,59.70,54.15,9.39,
2019-01-15 00:00:00 UTC,7.97,10.90,12.04,2198.20,-39.42,58.16,69.38,10.89,
2019-01-16 00:00:00 UTC,2.57,3.60,3.94,393.07,-1.76,59.79,72.81,3.60,
2019-01-17 00:00:00 UTC,4.81,7.99,9.49,350.04,-11.13,63.10,82.71,7.99,
2019-01-18 00:00:00 UTC,7.92,12.80,15.56,438.94,-14.91,65.19,68.48,12.80,
2019-01-19 00:00:00 UTC,5.98,9.14,11.07,358.33,-10.10,74.06,48.91,9.14,
2019-01-20 00:00:00 UTC,3.96,5.50,6.29,713.17,-14.54,77.76,32.93,5.48,
2019-01-21 00:00:00 UTC,1.77,2.75,3.49,1183.56,-20.87,68.05,44.28,2.75,
2019-01-22 00:00:00 UTC,1.23,1.73,2.05,284.54,-12.48,65.57,27.51,1.73,
