created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-10-31 00:00:00 UTC,,,,,,,,,
2019-10-31 00:00:00 UTC,,,,,,,,
2019-11-01 00:00:00 UTC,10.79,32.87,61.98,62.00,-55.52,84.20,12.33,22.47,
2019-11-01 00:00:00 UTC,10.79,32.87,61.98,62.00,-55.52,84.20,12.33,22.47
2019-11-02 00:00:00 UTC,,,,,,,,,
2019-11-02 00:00:00 UTC,,,,,,,,
2019-11-03 00:00:00 UTC,,,,,,,,,
2019-11-03 00:00:00 UTC,,,,,,,,,
2019-11-04 00:00:00 UTC,,,,,,,,,
2019-11-05 00:00:00 UTC,,,,,,,,,
2019-11-06 00:00:00 UTC,,,,,,,,,
2019-11-07 00:00:00 UTC,,,,,,,,,
2019-11-08 00:00:00 UTC,,,,,,,,,
2019-11-09 00:00:00 UTC,0.26,0.44,0.51,683.26,-85.99,80.90,29.19,0.44,
2019-11-10 00:00:00 UTC,1.70,2.62,2.89,1644.63,-90.07,80.85,29.63,2.62,
2019-11-11 00:00:00 UTC,3.37,5.20,5.65,564.09,-89.34,81.05,31.84,5.21,
2019-11-12 00:00:00 UTC,2.44,3.75,4.04,1062.11,-87.97,81.21,32.79,3.76,
2019-11-13 00:00:00 UTC,2.92,4.64,5.04,1994.30,-88.71,81.25,32.80,4.64,
2019-11-14 00:00:00 UTC,2.18,3.40,3.68,678.18,-88.69,81.35,32.63,3.40,
2019-11-15 00:00:00 UTC,0.41,0.81,0.96,2081.00,-89.38,81.34,33.16,0.81,
2019-11-16 00:00:00 UTC,1.02,1.66,1.83,774.55,-88.85,80.98,33.08,1.66,
2019-11-17 00:00:00 UTC,0.48,0.79,0.88,2091.00,-88.13,81.01,31.92,0.79,
2019-11-18 00:00:00 UTC,0.00,0.01,0.03,3531.00,-86.05,81.17,28.72,0.01,
