created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,0.21,0.47,0.43,180.17,-64.14,81.40,24.20,0.47,
2019-01-02 00:00:00 UTC,0.04,0.13,0.14,180.72,-59.61,80.36,22.25,0.13,
2019-01-03 00:00:00 UTC,1.03,1.56,1.81,166.50,-64.91,81.70,24.19,1.54,
2019-01-04 00:00:00 UTC,0.49,0.72,0.83,215.24,-66.80,81.30,23.95,0.72,
2019-01-05 00:00:00 UTC,0.42,0.64,0.83,135.55,-65.53,79.44,24.21,0.64,
2019-01-06 00:00:00 UTC,1.05,1.50,1.64,411.62,-64.65,80.75,25.88,1.17,
2019-01-07 00:00:00 UTC,0.02,0.09,0.21,255.76,-64.22,80.70,27.15,0.09,
2019-01-08 00:00:00 UTC,0.26,0.40,0.47,186.38,-66.51,76.76,26.71,0.39,
2019-01-09 00:00:00 UTC,1.38,2.11,2.39,237.71,-66.78,81.94,27.54,1.86,
2019-01-10 00:00:00 UTC,0.85,1.46,1.73,97.28,-58.63,70.67,23.93,1.46,
2019-01-11 00:00:00 UTC,1.84,2.91,3.35,102.35,-59.55,82.57,28.48,2.73,
2019-01-12 00:00:00 UTC,1.86,2.94,3.45,247.77,-64.50,65.85,23.09,2.91,
2019-01-13 00:00:00 UTC,0.17,0.22,0.19,630.17,-64.71,81.50,27.97,0.22,
2019-01-14 00:00:00 UTC,0.26,0.35,0.43,72.86,-65.21,78.65,26.71,0.35,
2019-01-15 00:00:00 UTC,0.16,0.31,0.36,123.40,-60.53,76.81,27.41,0.31,
2019-01-16 00:00:00 UTC,0.42,0.68,0.86,122.11,-35.66,81.22,31.43,0.67,
2019-01-17 00:00:00 UTC,0.21,0.26,0.31,251.37,-39.61,82.24,34.76,0.26,
2019-01-18 00:00:00 UTC,0.16,0.27,0.39,141.62,-51.81,82.57,33.09,0.27,
2019-01-19 00:00:00 UTC,0.22,0.49,0.64,112.26,-57.73,73.69,27.39,0.49,
2019-01-20 00:00:00 UTC,1.74,2.67,3.00,86.88,-29.09,84.21,27.92,2.09,
2019-01-21 00:00:00 UTC,0.49,0.74,0.86,151.18,-61.84,82.43,29.82,0.69,
2019-01-22 00:00:00 UTC,0.02,0.12,0.13,130.14,-57.28,79.60,24.25,0.12,
2019-01-23 00:00:00 UTC,0.45,0.72,0.81,125.56,-50.37,81.85,23.94,0.66,
2019-01-24 00:00:00 UTC,1.08,1.50,1.61,105.80,-7.57,82.15,23.30,1.25,
2019-01-25 00:00:00 UTC,0.17,0.19,0.21,148.30,-2.58,83.89,23.75,0.19,
2019-01-26 00:00:00 UTC,0.08,0.19,0.25,317.78,-61.80,83.79,22.82,0.19,
2019-01-27 00:00:00 UTC,0.07,0.13,0.24,152.50,-65.94,83.43,22.94,0.13,
2019-01-28 00:00:00 UTC,0.65,1.03,1.22,102.81,-15.86,74.45,21.51,1.00,
2019-01-29 00:00:00 UTC,0.45,0.83,1.10,166.81,-52.22,84.43,25.59,0.83,
2019-01-30 00:00:00 UTC,0.15,0.23,0.34,69.30,-56.81,75.09,24.06,0.23,
2019-01-31 00:00:00 UTC,0.81,1.28,1.53,176.78,-46.50,84.55,28.96,1.07,
2019-02-01 00:00:00 UTC,0.22,0.32,0.37,426.00,-10.39,82.40,28.98,0.32,
2019-02-02 00:00:00 UTC,0.18,0.27,0.34,91.69,-53.61,83.57,29.47,0.27,
2019-02-03 00:00:00 UTC,0.26,0.40,0.45,146.13,-14.77,83.34,29.74,0.40,
2019-02-04 00:00:00 UTC,0.10,0.14,0.23,208.87,-44.76,82.74,30.71,0.14,
2019-02-05 00:00:00 UTC,0.10,0.15,0.20,70.14,-63.23,83.18,29.17,0.15,
2019-02-06 00:00:00 UTC,0.07,0.16,0.22,137.54,-59.39,83.84,24.41,0.16,
2019-02-07 00:00:00 UTC,0.56,0.73,0.72,107.12,-13.36,84.27,23.59,0.70,
2019-02-08 00:00:00 UTC,0.32,0.53,0.57,95.47,22.01,82.77,24.10,0.53,
2019-02-09 00:00:00 UTC,0.23,0.31,0.39,104.25,-20.72,79.09,24.69,0.31,
2019-02-10 00:00:00 UTC,0.20,0.35,0.41,88.43,-1.65,81.62,27.11,0.35,
2019-02-11 00:00:00 UTC,0.30,0.43,0.51,113.51,-22.82,71.98,22.16,0.43,
2019-02-12 00:00:00 UTC,1.01,1.69,2.00,97.56,-40.43,80.61,23.93,1.45,
2019-02-13 00:00:00 UTC,0.24,0.41,0.43,86.01,-44.92,82.05,24.83,0.41,
2019-02-14 00:00:00 UTC,0.18,0.21,0.23,186.51,-60.47,85.01,27.50,0.21,
2019-02-15 00:00:00 UTC,1.40,2.21,2.52,106.24,-67.39,84.11,28.96,1.74,
2019-02-16 00:00:00 UTC,1.67,2.56,2.91,147.91,-30.35,83.05,27.38,2.10,
2019-02-17 00:00:00 UTC,0.11,0.12,0.17,934.39,-53.10,81.96,26.34,0.12,
2019-02-18 00:00:00 UTC,1.36,2.00,2.25,615.10,-50.00,65.36,19.73,1.59,
2019-02-19 00:00:00 UTC,0.16,0.23,0.28,103.77,-50.12,72.42,20.46,0.23,
2019-02-20 00:00:00 UTC,0.27,0.36,0.38,105.89,-28.39,79.59,23.85,0.36,
2019-02-21 00:00:00 UTC,0.17,0.26,0.30,70.54,-16.83,76.40,24.11,0.26,
2019-02-22 00:00:00 UTC,0.10,0.21,0.19,83.32,-51.57,81.10,24.38,0.21,
2019-02-23 00:00:00 UTC,0.25,0.50,0.71,122.52,-45.54,74.72,22.85,0.46,
2019-02-24 00:00:00 UTC,0.07,0.14,0.20,85.25,-56.43,68.66,21.00,0.14,
2019-02-25 00:00:00 UTC,0.15,0.35,0.47,85.80,-55.72,76.51,24.18,0.35,
2019-02-26 00:00:00 UTC,0.20,0.37,0.47,154.09,-34.69,70.54,22.77,0.37,
2019-02-27 00:00:00 UTC,0.32,0.52,0.67,284.34,-48.17,66.89,21.97,0.52,
2019-02-28 00:00:00 UTC,0.64,1.02,1.15,68.79,-0.41,83.66,29.33,1.02,
2019-03-01 00:00:00 UTC,0.29,0.54,0.61,139.37,-5.38,83.99,30.22,0.54,
2019-03-02 00:00:00 UTC,0.04,0.09,0.19,324.39,-62.82,77.82,29.38,0.09,
2019-03-03 00:00:00 UTC,0.02,0.12,0.21,59.82,-54.26,84.28,30.01,0.12,
2019-03-04 00:00:00 UTC,0.00,0.06,0.09,110.01,-52.69,83.97,29.69,0.06,
2019-03-05 00:00:00 UTC,0.04,0.12,0.18,77.26,-52.66,82.79,30.71,0.12,
2019-03-06 00:00:00 UTC,0.05,0.09,0.12,95.44,-56.14,82.77,31.43,0.09,
2019-03-07 00:00:00 UTC,0.06,0.15,0.13,90.18,-56.61,80.27,29.48,0.15,
2019-03-08 00:00:00 UTC,0.00,0.06,0.08,111.39,-55.94,80.45,25.35,0.06,
2019-03-09 00:00:00 UTC,0.01,0.07,0.09,132.32,-56.39,79.78,24.61,0.07,
2019-03-10 00:00:00 UTC,0.02,0.06,0.07,73.84,-57.22,85.48,24.60,0.06
2019-03-11 00:00:00 UTC,0.02,0.10,0.17,84.48,-56.97,83.56,25.76,0.10,
2019-03-11 00:00:00 UTC,0.02,0.10,0.17,84.48,-56.97,83.56,25.76,0.10
2019-03-12 00:00:00 UTC,0.01,0.09,0.15,175.95,-55.16,82.13,27.32,0.09,
2019-03-12 00:00:00 UTC,0.01,0.09,0.15,175.95,-55.16,82.13,27.32,0.09
2019-03-13 00:00:00 UTC,0.24,0.14,0.21,136.23,-55.52,78.49,26.87,0.14,
2019-03-13 00:00:00 UTC,0.24,0.14,0.21,136.23,-55.52,78.49,26.87,0.14
2019-03-14 00:00:00 UTC,0.06,0.10,0.11,140.70,-56.34,82.38,25.87,0.10,
2019-03-14 00:00:00 UTC,0.06,0.10,0.11,140.70,-56.34,82.38,25.87,0.10
2019-03-15 00:00:00 UTC,0.03,0.12,0.18,122.11,-56.47,81.21,23.10,0.12,
2019-03-15 00:00:00 UTC,0.03,0.12,0.18,122.11,-56.47,81.21,23.10,0.12
2019-03-16 00:00:00 UTC,0.02,0.09,0.12,89.61,-58.55,84.58,23.42,0.09,
2019-03-16 00:00:00 UTC,0.02,0.09,0.12,89.61,-58.55,84.58,23.42,0.09
2019-03-17 00:00:00 UTC,0.34,0.44,0.44,171.99,-54.86,43.29,12.35,0.42,
2019-03-17 00:00:00 UTC,0.34,0.44,0.44,171.99,-54.86,43.29,12.35,0.42
2019-03-18 00:00:00 UTC,0.06,0.15,0.20,238.15,-56.92,76.49,22.39,0.15,
2019-03-18 00:00:00 UTC,0.06,0.15,0.20,238.15,-56.92,76.49,22.39,0.15
2019-03-19 00:00:00 UTC,0.16,0.31,0.37,139.82,-55.90,85.51,27.10,0.31,
2019-03-19 00:00:00 UTC,0.16,0.31,0.37,139.82,-55.90,85.51,27.10,0.31
2019-03-20 00:00:00 UTC,0.08,0.13,0.17,167.39,-57.16,83.64,28.38,0.13,
2019-03-20 00:00:00 UTC,0.08,0.13,0.17,167.39,-57.16,83.64,28.38,0.13
2019-03-21 00:00:00 UTC,0.02,0.08,0.13,93.94,-56.61,66.17,22.44,0.08,
2019-03-21 00:00:00 UTC,0.02,0.08,0.13,93.94,-56.61,66.17,22.44,0.08
2019-03-22 00:00:00 UTC,0.08,0.16,0.29,134.08,-56.27,82.25,28.54,0.16,
2019-03-22 00:00:00 UTC,0.08,0.16,0.29,134.08,-56.27,82.25,28.54,0.16
2019-03-23 00:00:00 UTC,0.02,0.06,0.14,146.54,-55.40,83.64,28.69,0.06,
2019-03-23 00:00:00 UTC,0.02,0.06,0.14,146.54,-55.40,83.64,28.69,0.06
2019-03-24 00:00:00 UTC,0.01,0.05,0.11,186.50,-55.30,84.14,28.51,0.05,
2019-03-24 00:00:00 UTC,0.01,0.05,0.11,186.50,-55.30,84.14,28.51,0.05
2019-03-25 00:00:00 UTC,0.01,0.14,0.18,157.76,-53.65,74.89,24.50,0.14,
2019-03-25 00:00:00 UTC,0.01,0.14,0.18,157.76,-53.65,74.89,24.50,0.14
2019-03-26 00:00:00 UTC,0.03,0.10,0.16,110.05,-54.98,86.62,26.89,0.10,
2019-03-26 00:00:00 UTC,0.03,0.10,0.16,110.05,-54.98,86.62,26.89,0.10
2019-03-27 00:00:00 UTC,0.07,0.16,0.19,160.84,-54.93,85.38,28.22,0.16,
2019-03-27 00:00:00 UTC,0.07,0.16,0.19,160.84,-54.93,85.38,28.22,0.16
2019-03-28 00:00:00 UTC,0.02,0.18,0.16,132.16,-54.71,84.78,30.42,0.18,
2019-03-28 00:00:00 UTC,0.02,0.18,0.16,132.16,-54.71,84.78,30.42,0.18
2019-03-29 00:00:00 UTC,0.02,0.10,0.17,157.68,-57.49,56.84,18.68,0.10,
2019-03-29 00:00:00 UTC,0.02,0.10,0.17,157.68,-57.49,56.84,18.68,0.10
2019-03-30 00:00:00 UTC,0.09,0.10,0.13,100.54,-57.73,79.41,24.99,0.10,
2019-03-30 00:00:00 UTC,0.09,0.10,0.13,100.54,-57.73,79.41,24.99,0.10
2019-03-31 00:00:00 UTC,0.07,0.11,0.15,179.15,-58.49,85.94,25.88,0.11,
2019-03-31 00:00:00 UTC,0.07,0.11,0.15,179.15,-58.49,85.94,25.88,0.11
2019-04-01 00:00:00 UTC,0.11,0.11,0.18,108.01,-58.28,77.55,22.43,0.11,
2019-04-01 00:00:00 UTC,0.11,0.11,0.18,108.01,-58.28,77.55,22.43,0.11
2019-04-02 00:00:00 UTC,0.17,0.20,0.25,108.89,-60.09,72.57,22.72,0.20,
2019-04-02 00:00:00 UTC,0.17,0.20,0.25,108.89,-60.09,72.57,22.72,0.20
2019-04-03 00:00:00 UTC,0.11,0.12,0.19,138.48,-58.99,85.15,27.81,0.12,
2019-04-03 00:00:00 UTC,0.11,0.12,0.19,138.48,-58.99,85.15,27.81,0.12
2019-04-04 00:00:00 UTC,0.16,0.13,0.16,99.24,-59.59,84.43,29.14,0.13,
2019-04-04 00:00:00 UTC,0.16,0.13,0.16,99.24,-59.59,84.43,29.14,0.13
2019-04-05 00:00:00 UTC,0.12,0.18,0.24,106.14,-61.27,84.42,29.05,0.18,
2019-04-05 00:00:00 UTC,0.12,0.18,0.24,106.14,-61.27,84.42,29.05,0.18
2019-04-06 00:00:00 UTC,0.07,0.16,0.17,101.86,-60.55,84.91,29.51,0.16,
2019-04-06 00:00:00 UTC,0.07,0.16,0.17,101.86,-60.55,84.91,29.51,0.16
2019-04-07 00:00:00 UTC,0.09,0.16,0.17,73.40,-62.07,85.19,29.77,0.16,
2019-04-07 00:00:00 UTC,0.09,0.16,0.17,73.40,-62.07,85.19,29.77,0.16
2019-04-08 00:00:00 UTC,0.14,0.16,0.20,87.99,-57.32,85.56,29.10,0.16,
2019-04-08 00:00:00 UTC,0.14,0.16,0.20,87.99,-57.32,85.56,29.10,0.16
2019-04-09 00:00:00 UTC,0.26,0.25,0.23,102.74,-58.11,86.66,29.81,0.25,
2019-04-09 00:00:00 UTC,0.26,0.25,0.23,102.74,-58.11,86.66,29.81,0.25
2019-04-10 00:00:00 UTC,0.24,0.11,0.14,168.77,-58.88,57.93,17.64,0.11,
2019-04-10 00:00:00 UTC,0.24,0.11,0.14,168.77,-58.88,57.93,17.64,0.11
2019-04-11 00:00:00 UTC,0.10,0.08,0.13,113.80,-58.72,69.45,20.31,0.08,
2019-04-11 00:00:00 UTC,0.10,0.08,0.13,113.80,-58.72,69.45,20.31,0.08
2019-04-12 00:00:00 UTC,0.03,0.11,0.14,75.89,-58.63,79.08,23.41,0.11,
2019-04-12 00:00:00 UTC,0.03,0.11,0.14,75.89,-58.63,79.08,23.41,0.11
2019-04-13 00:00:00 UTC,0.06,0.15,0.17,85.67,-59.23,85.91,25.52,0.15,
2019-04-13 00:00:00 UTC,0.06,0.15,0.17,85.67,-59.23,85.91,25.52,0.15
2019-04-14 00:00:00 UTC,0.09,0.12,0.18,146.09,-59.25,47.94,13.75,0.12,
2019-04-14 00:00:00 UTC,0.09,0.12,0.18,146.09,-59.25,47.94,13.75,0.12
2019-04-15 00:00:00 UTC,0.14,0.32,0.30,157.78,-58.21,85.02,26.03,0.32,
2019-04-15 00:00:00 UTC,0.14,0.32,0.30,157.78,-58.21,85.02,26.03,0.32
2019-04-16 00:00:00 UTC,0.10,0.18,0.18,327.64,-57.31,84.77,28.25,0.18,
2019-04-16 00:00:00 UTC,0.10,0.18,0.18,327.64,-57.31,84.77,28.25,0.18
2019-04-17 00:00:00 UTC,0.49,0.07,0.11,408.15,-55.59,83.24,28.55,0.07,
2019-04-17 00:00:00 UTC,0.49,0.07,0.11,408.15,-55.59,83.24,28.55,0.07
2019-04-18 00:00:00 UTC,0.06,0.27,0.20,459.90,-55.83,84.41,29.20,0.27,
2019-04-18 00:00:00 UTC,0.06,0.27,0.20,459.90,-55.83,84.41,29.20,0.27
2019-04-19 00:00:00 UTC,0.31,0.06,0.16,443.00,-54.73,85.34,28.18,0.06,
2019-04-19 00:00:00 UTC,0.31,0.06,0.16,443.00,-54.73,85.34,28.18,0.06
2019-04-20 00:00:00 UTC,0.44,0.17,0.19,737.46,-56.27,84.93,29.61,0.17,
2019-04-20 00:00:00 UTC,0.44,0.17,0.19,737.46,-56.27,84.93,29.61,0.17
2019-04-21 00:00:00 UTC,0.09,0.12,0.20,136.68,-55.50,60.06,20.80,0.12,
2019-04-21 00:00:00 UTC,0.09,0.12,0.20,136.68,-55.50,60.06,20.80,0.12
2019-04-22 00:00:00 UTC,0.12,0.20,0.22,110.28,-54.92,83.55,28.46,0.20,
2019-04-22 00:00:00 UTC,0.12,0.20,0.22,110.28,-54.92,83.55,28.46,0.20
2019-04-23 00:00:00 UTC,0.21,0.26,0.36,70.21,-57.05,70.82,24.65,0.26,
2019-04-23 00:00:00 UTC,0.21,0.26,0.36,70.21,-57.05,70.82,24.65,0.26
2019-04-24 00:00:00 UTC,0.21,0.34,0.30,52.61,-56.80,80.11,28.56,0.34,
2019-04-24 00:00:00 UTC,0.21,0.34,0.30,52.61,-56.80,80.11,28.56,0.34
2019-04-25 00:00:00 UTC,0.06,0.20,0.23,90.45,-55.93,85.78,29.52,0.20,
2019-04-25 00:00:00 UTC,0.06,0.20,0.23,90.45,-55.93,85.78,29.52,0.20
2019-04-26 00:00:00 UTC,0.10,0.19,0.25,93.55,-55.61,84.09,28.92,0.19,
2019-04-26 00:00:00 UTC,0.10,0.19,0.25,93.55,-55.61,84.09,28.92,0.19
2019-04-27 00:00:00 UTC,0.04,0.14,0.17,115.18,-55.07,78.04,26.49,0.14,
2019-04-27 00:00:00 UTC,0.04,0.14,0.17,115.18,-55.07,78.04,26.49,0.14
2019-04-28 00:00:00 UTC,0.02,0.15,0.19,60.87,-54.31,85.84,30.28,0.15,
2019-04-28 00:00:00 UTC,0.02,0.15,0.19,60.87,-54.31,85.84,30.28,0.15
2019-04-29 00:00:00 UTC,0.06,0.14,0.20,96.37,-54.41,58.26,20.17,0.14,
2019-04-29 00:00:00 UTC,0.06,0.14,0.20,96.37,-54.41,58.26,20.17,0.14
2019-04-30 00:00:00 UTC,0.00,0.07,0.12,70.32,-58.27,62.14,22.25,0.07,
2019-04-30 00:00:00 UTC,0.00,0.07,0.12,70.32,-58.27,62.14,22.25,0.07
2019-05-01 00:00:00 UTC,0.08,0.15,0.18,101.98,-55.01,83.91,29.57,0.15,
2019-05-01 00:00:00 UTC,0.08,0.15,0.18,101.98,-55.01,83.91,29.57,0.15
2019-05-02 00:00:00 UTC,0.01,0.10,0.16,113.59,-56.52,72.78,25.04,0.10,
2019-05-02 00:00:00 UTC,0.01,0.10,0.16,113.59,-56.52,72.78,25.04,0.10
2019-05-03 00:00:00 UTC,0.20,0.30,0.19,151.85,-57.47,76.90,26.27,0.30,
2019-05-03 00:00:00 UTC,0.20,0.30,0.19,151.85,-57.47,76.90,26.27,0.30
2019-05-04 00:00:00 UTC,0.00,0.09,0.15,118.44,-56.68,79.11,27.56,0.09,
2019-05-04 00:00:00 UTC,0.00,0.09,0.15,118.44,-56.68,79.11,27.56,0.09
2019-05-05 00:00:00 UTC,0.03,0.13,0.16,102.37,-55.56,83.65,29.19,0.13,
2019-05-05 00:00:00 UTC,0.03,0.13,0.16,102.37,-55.56,83.65,29.19,0.13
2019-05-06 00:00:00 UTC,0.00,0.12,0.16,137.91,-55.62,72.86,25.91,0.12,
2019-05-06 00:00:00 UTC,0.00,0.12,0.16,137.91,-55.62,72.86,25.91,0.12
2019-05-07 00:00:00 UTC,0.13,0.26,0.36,105.28,-55.68,84.43,31.14,0.26,
2019-05-07 00:00:00 UTC,0.13,0.26,0.36,105.28,-55.68,84.43,31.14,0.26
2019-05-08 00:00:00 UTC,0.14,0.10,0.15,121.96,-54.09,85.77,30.74,0.10,
2019-05-08 00:00:00 UTC,0.14,0.10,0.15,121.96,-54.09,85.77,30.74,0.10
2019-05-09 00:00:00 UTC,0.08,0.13,0.20,153.13,-54.17,80.69,30.58,0.13,
2019-05-09 00:00:00 UTC,0.08,0.13,0.20,153.13,-54.17,80.69,30.58,0.13
2019-05-10 00:00:00 UTC,0.01,0.07,0.12,144.75,-56.61,85.68,31.37,0.07,
2019-05-10 00:00:00 UTC,0.01,0.07,0.12,144.75,-56.61,85.68,31.37,0.07
2019-05-11 00:00:00 UTC,0.00,0.04,0.08,211.72,-55.77,85.59,31.06,0.04,
2019-05-11 00:00:00 UTC,0.00,0.04,0.08,211.72,-55.77,85.59,31.06,0.04
2019-05-12 00:00:00 UTC,0.00,0.02,0.06,173.48,-55.61,86.01,32.24,0.02,
2019-05-12 00:00:00 UTC,0.00,0.02,0.06,173.48,-55.61,86.01,32.24,0.02
2019-05-13 00:00:00 UTC,0.06,0.15,0.21,160.00,-57.13,80.44,29.49,0.15,
