created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-09 00:00:00 UTC,36.82,101.84,153.92,32.23,-50.67,84.24,17.49,68.37,
2019-01-10 00:00:00 UTC,,,,,,,,,
2019-01-11 00:00:00 UTC,,,,,,,,,
2019-01-12 00:00:00 UTC,,,,,,,,,
2019-01-13 00:00:00 UTC,,,,,,,,,
2019-01-14 00:00:00 UTC,,,,,,,,,
2019-01-15 00:00:00 UTC,,,,,,,,,
2019-01-16 00:00:00 UTC,,,,,,,,,
2019-01-17 00:00:00 UTC,,,,,,,,,
2019-01-18 00:00:00 UTC,,,,,,,,,
2019-01-19 00:00:00 UTC,1.98,3.91,5.01,26.79,-62.72,90.49,29.12,3.91,
2019-01-20 00:00:00 UTC,1.82,3.19,3.99,775.40,-60.60,91.25,23.95,3.19,
2019-01-21 00:00:00 UTC,1.01,2.16,3.17,2215.12,-62.55,90.76,22.99,2.16,
2019-01-22 00:00:00 UTC,0.14,0.43,0.80,1372.57,-63.21,91.86,16.61,0.43,
2019-01-23 00:00:00 UTC,0.21,0.41,0.67,702.91,-64.84,91.73,13.96,0.41,
2019-01-24 00:00:00 UTC,2.12,3.42,3.98,2101.79,-65.50,92.89,16.62,3.42,
2019-01-25 00:00:00 UTC,0.98,1.77,2.32,3541.23,-64.92,92.98,16.55,1.77,
2019-01-26 00:00:00 UTC,1.12,2.03,2.56,4982.48,-62.12,91.59,14.93,2.03,
2019-01-27 00:00:00 UTC,1.52,2.60,3.15,6422.24,-62.96,92.19,13.83,2.60,
2019-01-28 00:00:00 UTC,4.80,7.08,7.92,7862.33,-64.11,92.04,16.75,7.08,
2019-01-29 00:00:00 UTC,8.18,11.66,12.88,9301.73,-67.58,92.42,23.16,11.64,
2019-01-30 00:00:00 UTC,4.47,6.75,7.79,10742.33,-69.68,92.74,24.02,6.75,
2019-01-31 00:00:00 UTC,4.43,6.63,7.63,12182.54,-63.74,91.63,25.03,6.63,
2019-02-01 00:00:00 UTC,1.57,2.60,3.07,13622.67,-65.68,90.70,23.19,2.60,
2019-02-02 00:00:00 UTC,0.93,1.75,2.21,15061.94,-65.98,90.38,25.16,1.75,
