created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,,,,,,,,,
2019-01-02 00:00:00 UTC,,,,,,,,,
2019-01-03 00:00:00 UTC,,,,,,,,,
2019-01-04 00:00:00 UTC,,,,,,,,,
2019-01-05 00:00:00 UTC,,,,,,,,,
2019-01-06 00:00:00 UTC,,,,,,,,,
2019-01-07 00:00:00 UTC,,,,,,,,,
2019-01-08 00:00:00 UTC,,,,,,,,,
2019-01-09 00:00:00 UTC,,,,,,,,,
2019-01-10 00:00:00 UTC,,,,,,,,,
2019-01-11 00:00:00 UTC,,,,,,,,,
2019-01-12 00:00:00 UTC,,,,,,,,,
2019-01-13 00:00:00 UTC,,,,,,,,,
2019-01-14 00:00:00 UTC,,,,,,,,,
2019-01-15 00:00:00 UTC,,,,,,,,,
2019-01-16 00:00:00 UTC,,,,,,,,,
2019-01-17 00:00:00 UTC,,,,,,,,,
2019-01-18 00:00:00 UTC,,,,,,,,,
2019-01-19 00:00:00 UTC,,,,,,,,,
2019-01-20 00:00:00 UTC,,,,,,,,,
2019-01-21 00:00:00 UTC,,,,,,,,,
2019-01-22 00:00:00 UTC,,,,,,,,,
2019-01-23 00:00:00 UTC,,,,,,,,,
2019-01-24 00:00:00 UTC,,,,,,,,,
2019-01-25 00:00:00 UTC,,,,,,,,,
2019-01-26 00:00:00 UTC,,,,,,,,,
2019-01-27 00:00:00 UTC,,,,,,,,,
2019-01-28 00:00:00 UTC,,,,,,,,,
2019-01-29 00:00:00 UTC,,,,,,,,,
2019-01-30 00:00:00 UTC,,,,,,,,,
2019-01-31 00:00:00 UTC,,,,,,,,,
2019-02-01 00:00:00 UTC,,,,,,,,,
2019-02-02 00:00:00 UTC,,,,,,,,,
2019-02-03 00:00:00 UTC,,,,,,,,,
2019-02-04 00:00:00 UTC,,,,,,,,,
2019-02-05 00:00:00 UTC,,,,,,,,,
2019-02-06 00:00:00 UTC,,,,,,,,,
2019-02-07 00:00:00 UTC,,,,,,,,,
2019-02-08 00:00:00 UTC,,,,,,,,,
2019-02-09 00:00:00 UTC,,,,,,,,,
2019-02-10 00:00:00 UTC,,,,,,,,,
2019-02-11 00:00:00 UTC,,,,,,,,,
2019-02-12 00:00:00 UTC,,,,,,,,,
2019-02-13 00:00:00 UTC,,,,,,,,,
2019-02-14 00:00:00 UTC,,,,,,,,,
2019-02-15 00:00:00 UTC,,,,,,,,,
2019-02-16 00:00:00 UTC,,,,,,,,,
2019-02-17 00:00:00 UTC,,,,,,,,,
2019-02-18 00:00:00 UTC,,,,,,,,,
2019-02-19 00:00:00 UTC,1.22,1.62,1.81,24.20,-42.70,69.86,23.06,1.62,
2019-02-20 00:00:00 UTC,11.68,14.62,15.35,778.00,-40.19,59.13,41.79,13.77,
2019-02-21 00:00:00 UTC,6.19,8.62,9.37,2218.00,-41.20,58.97,48.30,8.57,
2019-02-22 00:00:00 UTC,2.85,3.55,3.79,720.93,-40.33,61.17,29.18,3.39,
2019-02-23 00:00:00 UTC,8.11,10.24,10.90,655.59,-44.65,61.46,33.15,9.98,
2019-02-24 00:00:00 UTC,12.45,16.63,17.81,2082.67,-46.19,63.99,38.57,15.73,
2019-02-25 00:00:00 UTC,12.92,18.35,19.84,3522.17,-46.44,66.01,42.89,18.21,
2019-02-26 00:00:00 UTC,20.47,29.08,31.46,3986.58,-46.84,65.27,50.77,26.83,
2019-02-27 00:00:00 UTC,18.08,30.02,33.41,776.57,-45.88,66.66,51.88,27.40,
2019-02-28 00:00:00 UTC,17.01,31.58,36.38,379.41,-41.71,68.74,57.14,28.61,
2019-03-01 00:00:00 UTC,12.76,25.22,29.22,760.40,-41.63,69.38,57.12,23.67,
2019-03-02 00:00:00 UTC,7.71,11.92,13.13,659.49,-41.67,66.87,61.17,11.82,
2019-03-03 00:00:00 UTC,,,,,,,,,
2019-03-04 00:00:00 UTC,,,,,,,,,
2019-03-05 00:00:00 UTC,,,,,,,,,
2019-03-06 00:00:00 UTC,,,,,,,,,
2019-03-07 00:00:00 UTC,,,,,,,,,
2019-03-08 00:00:00 UTC,,,,,,,,,
2019-03-09 00:00:00 UTC,,,,,,,,,
2019-03-10 00:00:00 UTC,,,,,,,,
2019-03-11 00:00:00 UTC,,,,,,,,,
2019-03-11 00:00:00 UTC,,,,,,,,
2019-03-12 00:00:00 UTC,,,,,,,,,
2019-03-12 00:00:00 UTC,,,,,,,,
2019-03-13 00:00:00 UTC,,,,,,,,,
2019-03-13 00:00:00 UTC,,,,,,,,
2019-03-14 00:00:00 UTC,,,,,,,,,
2019-03-14 00:00:00 UTC,,,,,,,,
2019-03-15 00:00:00 UTC,,,,,,,,,
2019-03-15 00:00:00 UTC,,,,,,,,
2019-03-16 00:00:00 UTC,,,,,,,,,
2019-03-16 00:00:00 UTC,,,,,,,,
2019-03-17 00:00:00 UTC,,,,,,,,,
2019-03-17 00:00:00 UTC,,,,,,,,
2019-03-18 00:00:00 UTC,,,,,,,,,
2019-03-18 00:00:00 UTC,,,,,,,,
2019-03-19 00:00:00 UTC,,,,,,,,,
2019-03-19 00:00:00 UTC,,,,,,,,
2019-03-20 00:00:00 UTC,,,,,,,,,
2019-03-20 00:00:00 UTC,,,,,,,,
2019-03-21 00:00:00 UTC,,,,,,,,,
2019-03-21 00:00:00 UTC,,,,,,,,
2019-03-22 00:00:00 UTC,,,,,,,,,
2019-03-22 00:00:00 UTC,,,,,,,,
2019-03-23 00:00:00 UTC,,,,,,,,,
2019-03-23 00:00:00 UTC,,,,,,,,
2019-03-24 00:00:00 UTC,,,,,,,,,
2019-03-24 00:00:00 UTC,,,,,,,,
2019-03-25 00:00:00 UTC,,,,,,,,,
2019-03-25 00:00:00 UTC,,,,,,,,
2019-03-26 00:00:00 UTC,,,,,,,,,
