created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,0.53,0.89,1.07,357.10,-11.20,54.70,16.66,0.89,
2019-01-02 00:00:00 UTC,0.43,0.70,0.88,878.41,-65.00,58.13,14.78,0.70,
2019-01-03 00:00:00 UTC,0.31,0.62,0.77,1214.75,-40.13,60.45,19.46,0.62,
2019-01-04 00:00:00 UTC,2.08,3.03,3.36,876.16,-47.72,62.81,25.15,3.03,
2019-01-05 00:00:00 UTC,20.20,30.58,34.31,696.62,-49.51,60.74,36.48,29.00,
2019-01-06 00:00:00 UTC,7.12,10.62,11.83,1610.00,-71.46,57.36,61.98,9.97,
2019-01-07 00:00:00 UTC,1.83,3.27,4.08,1550.08,-47.69,59.28,62.83,3.27,
2019-01-08 00:00:00 UTC,7.66,12.42,14.04,1217.03,-1.12,63.91,54.31,12.11,
2019-01-09 00:00:00 UTC,4.80,7.11,8.03,689.53,-1.88,64.58,45.33,7.11,
2019-01-10 00:00:00 UTC,3.15,4.80,5.51,315.40,4.95,64.55,49.40,4.80,
2019-01-11 00:00:00 UTC,12.43,20.86,24.55,492.86,5.78,61.22,59.02,20.21,
2019-01-12 00:00:00 UTC,7.90,14.63,17.90,609.72,-14.13,59.13,61.44,14.01,
2019-01-13 00:00:00 UTC,1.23,1.94,2.18,411.44,-4.62,58.79,52.00,1.94,
2019-01-14 00:00:00 UTC,5.67,8.39,9.26,540.04,-10.85,58.81,57.72,8.37,
2019-01-15 00:00:00 UTC,10.22,17.59,20.68,1202.88,-60.52,57.67,66.81,17.48,
2019-01-16 00:00:00 UTC,2.62,5.24,6.59,1051.55,8.14,60.11,69.79,5.22,
2019-01-17 00:00:00 UTC,0.40,0.81,1.06,1059.01,9.06,64.83,71.36,0.81,
