created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,12.22,17.23,18.73,779.67,20.37,58.75,27.49,15.39,
2019-01-02 00:00:00 UTC,5.70,7.96,8.75,407.31,20.04,58.21,23.47,7.92,
2019-01-03 00:00:00 UTC,4.32,5.87,6.43,249.47,7.28,60.07,32.31,5.87,
2019-01-04 00:00:00 UTC,10.08,13.71,14.74,407.94,-58.27,61.26,41.66,13.69,
2019-01-05 00:00:00 UTC,22.53,31.90,34.07,1564.67,-58.46,61.04,48.78,29.67,
2019-01-06 00:00:00 UTC,10.36,14.57,15.48,1008.75,-58.27,62.25,54.80,14.03,
2019-01-07 00:00:00 UTC,3.84,5.68,6.44,446.67,-58.40,63.04,57.70,5.67,
2019-01-08 00:00:00 UTC,12.01,17.23,18.44,390.04,-58.34,64.81,53.62,16.92,
2019-01-09 00:00:00 UTC,16.79,24.69,26.47,976.00,-57.31,63.83,54.96,23.99,
2019-01-10 00:00:00 UTC,15.23,23.00,24.83,2415.67,-57.18,64.90,56.25,21.46,
2019-01-11 00:00:00 UTC,18.52,32.66,36.59,679.40,-57.50,66.27,54.41,27.42,
2019-01-12 00:00:00 UTC,8.44,13.49,14.62,1759.42,-58.49,64.52,57.62,12.51,
2019-01-13 00:00:00 UTC,9.21,12.32,13.14,878.00,-57.67,62.00,53.51,12.25,
2019-01-14 00:00:00 UTC,9.61,13.19,14.12,2317.33,-56.76,62.13,54.76,12.79,
2019-01-15 00:00:00 UTC,7.37,10.22,10.89,2189.34,-56.58,62.23,60.17,10.22,
2019-01-16 00:00:00 UTC,2.75,3.84,4.18,732.67,-56.70,63.55,64.89,3.83,
2019-01-17 00:00:00 UTC,2.28,3.75,4.29,798.33,-58.00,67.76,67.99,3.75,
2019-01-18 00:00:00 UTC,6.72,11.74,13.63,1828.67,-58.32,67.10,60.66,11.73,
2019-01-19 00:00:00 UTC,7.30,11.66,13.21,1167.19,-57.88,67.48,52.69,11.66,
2019-01-20 00:00:00 UTC,5.75,8.09,8.82,783.86,-58.04,67.41,51.49,7.94,
2019-01-21 00:00:00 UTC,0.63,1.40,1.88,895.62,-57.93,66.02,47.70,1.40,
2019-01-22 00:00:00 UTC,0.33,0.51,0.64,357.33,-58.01,65.40,28.79,0.51,
2019-01-23 00:00:00 UTC,2.74,3.70,4.11,708.46,-57.31,62.70,30.80,3.70,
2019-01-24 00:00:00 UTC,6.56,9.30,10.18,2146.00,-57.87,66.20,41.90,9.23,
2019-01-25 00:00:00 UTC,3.89,5.21,5.74,3129.89,-57.37,67.38,36.98,5.19,
2019-01-26 00:00:00 UTC,2.61,3.58,3.96,349.91,-57.83,68.60,34.58,3.58,
2019-01-27 00:00:00 UTC,7.39,10.12,10.92,644.65,-58.15,69.18,33.75,10.12,
2019-01-28 00:00:00 UTC,26.00,36.96,39.16,344.40,-57.36,67.06,46.05,32.75,
2019-01-29 00:00:00 UTC,31.45,45.06,47.25,264.14,-57.78,69.35,54.30,36.11,
2019-01-30 00:00:00 UTC,15.33,23.23,24.93,1136.67,-58.20,67.93,56.40,22.43,
2019-01-31 00:00:00 UTC,15.05,23.49,25.26,921.10,-57.52,66.34,58.44,22.59,
2019-02-01 00:00:00 UTC,8.43,11.82,12.63,607.45,-56.89,63.85,54.97,11.81,
2019-02-02 00:00:00 UTC,3.68,5.21,5.65,966.38,-58.13,64.64,60.25,5.21,
2019-02-03 00:00:00 UTC,2.49,4.04,4.84,1617.56,-57.69,63.94,58.21,4.03,
2019-02-04 00:00:00 UTC,1.62,2.61,3.16,366.99,-57.49,64.19,59.76,2.61,
2019-02-05 00:00:00 UTC,0.23,0.52,0.81,860.92,-57.58,62.11,51.21,0.52,
2019-02-06 00:00:00 UTC,0.44,0.40,0.51,518.35,-59.21,58.31,34.74,0.40,
2019-02-07 00:00:00 UTC,2.58,3.08,3.36,360.93,-61.44,60.47,30.55,3.08,
2019-02-08 00:00:00 UTC,7.22,9.97,10.82,678.83,-61.70,60.93,38.46,9.97,
2019-02-09 00:00:00 UTC,9.43,13.24,14.22,670.93,-61.51,62.05,47.65,13.21,
2019-02-10 00:00:00 UTC,5.69,7.75,8.41,539.05,-61.48,61.81,53.12,7.75,
2019-02-11 00:00:00 UTC,0.96,1.44,1.64,206.71,-60.99,59.48,34.36,1.44,
2019-02-12 00:00:00 UTC,4.97,6.76,7.38,652.69,-60.77,61.28,38.30,6.76,
2019-02-13 00:00:00 UTC,6.47,8.79,9.54,718.67,-61.17,63.34,41.45,8.79,
2019-02-14 00:00:00 UTC,3.27,4.74,5.26,2144.67,-61.15,64.70,64.01,4.74,
2019-02-15 00:00:00 UTC,2.12,3.57,4.37,1594.69,-60.84,64.24,53.83,3.57,
2019-02-16 00:00:00 UTC,0.30,0.63,0.88,938.16,-61.50,62.00,49.20,0.63,
2019-02-17 00:00:00 UTC,0.70,1.34,1.76,2378.00,-62.04,60.96,45.85,1.34,
2019-02-18 00:00:00 UTC,0.39,0.66,0.86,3818.25,-61.16,60.52,32.58,0.66,
2019-02-19 00:00:00 UTC,1.87,2.41,2.59,5258.33,-60.58,61.28,27.67,2.41,
2019-02-20 00:00:00 UTC,5.50,7.43,7.97,749.59,-59.92,60.12,39.65,7.43,
2019-02-21 00:00:00 UTC,4.38,6.42,6.98,648.86,-60.65,59.68,45.51,6.42,
2019-02-22 00:00:00 UTC,2.41,3.30,3.60,419.86,-59.74,60.13,32.81,3.30,
2019-02-23 00:00:00 UTC,5.82,7.73,8.37,429.31,-59.81,61.01,36.22,7.73,
2019-02-24 00:00:00 UTC,6.40,8.51,9.13,1619.33,-60.74,62.96,42.81,8.51,
2019-02-25 00:00:00 UTC,9.88,13.42,14.27,3059.01,-61.48,64.98,47.77,13.32,
2019-02-26 00:00:00 UTC,15.21,22.98,24.94,968.79,-61.32,64.73,52.92,22.00,
2019-02-27 00:00:00 UTC,8.67,13.50,14.48,1161.19,-61.86,66.85,50.90,12.79,
2019-02-28 00:00:00 UTC,10.19,17.36,18.88,962.36,-59.11,68.42,54.55,16.48,
2019-03-01 00:00:00 UTC,7.69,12.89,13.92,446.29,-58.97,20.24,17.31,12.60,
2019-03-02 00:00:00 UTC,4.75,7.04,7.72,1037.60,-57.02,24.39,22.99,6.92,
2019-03-03 00:00:00 UTC,1.50,2.69,3.40,585.46,-59.65,68.05,60.06,2.69,
2019-03-04 00:00:00 UTC,0.19,0.49,0.74,1523.22,-61.47,67.23,53.40,0.49,
2019-03-05 00:00:00 UTC,6.76,9.87,10.66,374.04,-60.87,65.20,51.15,9.63,
2019-03-06 00:00:00 UTC,6.29,9.05,9.85,1400.67,-59.42,66.70,60.36,9.05,
2019-03-07 00:00:00 UTC,1.03,1.98,2.53,919.05,-59.09,66.77,57.16,1.98,
2019-03-08 00:00:00 UTC,0.55,0.94,1.21,1864.67,-58.74,63.44,46.86,0.94,
2019-03-09 00:00:00 UTC,3.34,5.05,5.84,3304.67,-58.62,63.41,47.93,5.04,
2019-03-10 00:00:00 UTC,2.54,3.50,3.85,4519.44,-58.48,63.52,44.44,3.50
2019-03-11 00:00:00 UTC,4.21,5.75,6.26,779.33,-59.26,64.76,46.26,5.75,
2019-03-11 00:00:00 UTC,4.21,5.75,6.26,779.33,-59.26,64.76,46.26,5.75
2019-03-12 00:00:00 UTC,2.53,3.65,4.12,1409.40,-60.83,70.57,37.33,3.65,
2019-03-12 00:00:00 UTC,2.53,3.65,4.12,1409.40,-60.83,70.57,37.33,3.65
2019-03-13 00:00:00 UTC,2.23,4.13,5.15,825.44,-60.96,67.89,39.46,4.13,
2019-03-13 00:00:00 UTC,2.23,4.13,5.15,825.44,-60.96,67.89,39.46,4.13
2019-03-14 00:00:00 UTC,1.69,2.44,2.83,507.36,-61.42,67.49,28.92,2.44,
2019-03-14 00:00:00 UTC,1.69,2.44,2.83,507.36,-61.42,67.49,28.92,2.44
2019-03-15 00:00:00 UTC,3.61,4.79,5.26,701.17,-66.11,69.24,29.46,4.70,
2019-03-15 00:00:00 UTC,3.61,4.79,5.26,701.17,-66.11,69.24,29.46,4.70
2019-03-16 00:00:00 UTC,2.39,3.31,3.67,401.94,-56.71,69.23,26.80,3.31,
2019-03-16 00:00:00 UTC,2.39,3.31,3.67,401.94,-56.71,69.23,26.80,3.31
2019-03-17 00:00:00 UTC,5.51,7.38,7.94,852.67,-62.60,73.83,34.04,7.34,
2019-03-17 00:00:00 UTC,5.51,7.38,7.94,852.67,-62.60,73.83,34.04,7.34
2019-03-18 00:00:00 UTC,8.75,11.55,12.22,732.31,-59.77,74.13,41.82,11.54,
2019-03-18 00:00:00 UTC,8.75,11.55,12.22,732.31,-59.77,74.13,41.82,11.54
2019-03-19 00:00:00 UTC,18.06,29.80,32.70,993.32,-59.11,70.05,51.77,25.44,
2019-03-19 00:00:00 UTC,18.06,29.80,32.70,993.32,-59.11,70.05,51.77,25.44
