created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-10-24 00:00:00 UTC,2.50,4.72,7.11,113.00,-55.88,79.00,15.70,4.72,
2019-10-24 00:00:00 UTC,2.50,4.72,7.11,113.00,-55.88,79.00,15.70,4.72
2019-10-25 00:00:00 UTC,17.65,49.38,101.63,37.00,-57.14,78.39,15.83,33.61,
2019-10-25 00:00:00 UTC,17.65,49.38,101.63,37.00,-57.14,78.39,15.83,33.61
2019-10-26 00:00:00 UTC,,,,,,,,,
2019-10-26 00:00:00 UTC,,,,,,,,
2019-10-27 00:00:00 UTC,,,,,,,,,
2019-10-27 00:00:00 UTC,,,,,,,,
2019-10-28 00:00:00 UTC,,,,,,,,,
2019-10-28 00:00:00 UTC,,,,,,,,
2019-10-29 00:00:00 UTC,,,,,,,,,
2019-10-29 00:00:00 UTC,,,,,,,,
2019-10-30 00:00:00 UTC,6.60,9.45,11.72,726.00,-70.56,66.44,33.00,9.43,
2019-10-30 00:00:00 UTC,6.60,9.45,11.72,726.00,-70.56,66.44,33.00,9.43
2019-10-31 00:00:00 UTC,1.64,2.33,2.96,2159.00,-69.37,67.46,7.49,2.33,
2019-10-31 00:00:00 UTC,1.64,2.33,2.96,2159.00,-69.37,67.46,7.49,2.33
2019-11-01 00:00:00 UTC,4.51,5.86,6.78,3599.00,-68.29,69.27,14.02,5.76,
2019-11-01 00:00:00 UTC,4.51,5.86,6.78,3599.00,-68.29,69.27,14.02,5.76
2019-11-02 00:00:00 UTC,29.59,39.11,43.13,5039.00,-67.25,64.02,40.01,32.69,
2019-11-02 00:00:00 UTC,29.59,39.11,43.13,5039.00,-67.25,64.02,40.01,32.69
2019-11-03 00:00:00 UTC,22.45,30.53,33.44,6479.00,-66.65,65.92,39.95,27.86,
2019-11-03 00:00:00 UTC,22.45,30.53,33.44,6479.00,-66.65,65.92,39.95,27.86,
2019-11-04 00:00:00 UTC,20.60,28.32,31.57,7919.00,-67.23,65.14,41.01,27.67,
2019-11-05 00:00:00 UTC,21.14,29.62,32.52,9359.00,-66.92,66.05,53.30,28.13,
2019-11-06 00:00:00 UTC,21.18,31.57,36.18,10799.00,-67.11,64.95,61.67,28.65,
2019-11-07 00:00:00 UTC,38.72,72.98,86.67,12239.00,-69.39,68.44,60.27,51.30,
2019-11-08 00:00:00 UTC,27.67,44.19,49.74,13679.00,-70.53,68.66,56.28,36.42,
2019-11-09 00:00:00 UTC,9.12,12.62,14.14,15119.00,-69.07,73.29,35.90,12.23,
2019-11-10 00:00:00 UTC,23.04,35.31,40.51,16559.00,-67.61,67.12,60.24,31.42,
2019-11-11 00:00:00 UTC,32.74,57.91,67.96,17999.00,-69.15,69.32,59.43,43.96,
2019-11-12 00:00:00 UTC,26.16,45.61,53.09,19439.00,-69.11,67.96,62.78,38.63,
2019-11-13 00:00:00 UTC,27.11,50.01,59.85,20879.00,-69.14,67.45,63.36,39.58,
2019-11-14 00:00:00 UTC,24.18,41.01,47.25,22319.00,-69.29,66.86,61.68,35.13,
2019-11-15 00:00:00 UTC,12.78,20.24,23.36,23759.00,-68.66,66.02,62.53,19.76,
2019-11-16 00:00:00 UTC,18.67,29.22,33.26,25199.00,-69.32,65.91,61.43,28.30,
2019-11-17 00:00:00 UTC,11.41,16.00,17.91,26639.00,-69.86,71.37,46.94,15.63,
2019-11-18 00:00:00 UTC,4.64,6.31,7.19,28079.00,-70.03,77.72,16.46,5.39,
2019-11-19 00:00:00 UTC,7.29,10.28,11.66,29519.00,-72.67,71.41,40.91,10.03,
2019-11-20 00:00:00 UTC,3.39,5.63,8.12,30959.00,-72.12,63.57,60.32,5.63,
2019-11-21 00:00:00 UTC,2.66,3.87,4.91,32399.00,-73.85,62.35,52.66,3.87,
2019-11-22 00:00:00 UTC,7.69,10.94,13.53,33839.00,-73.51,63.66,57.05,10.87,
2019-11-23 00:00:00 UTC,5.87,7.75,8.97,35279.00,-72.63,66.76,41.56,7.64,
2019-11-24 00:00:00 UTC,6.25,7.84,8.68,36719.00,-72.49,65.84,33.83,7.84,
2019-11-25 00:00:00 UTC,13.66,17.40,18.97,38159.00,-72.79,62.38,49.67,17.34,
2019-11-26 00:00:00 UTC,5.54,7.66,10.04,39599.00,-73.81,65.11,23.04,7.22,
2019-11-27 00:00:00 UTC,4.76,6.40,7.67,41039.00,-72.75,59.30,47.92,6.37,
2019-11-28 00:00:00 UTC,2.74,3.83,4.73,42479.00,-70.82,53.22,68.38,3.81,
2019-11-29 00:00:00 UTC,4.31,5.55,6.18,43919.00,-73.37,51.95,64.23,5.55,
2019-11-30 00:00:00 UTC,5.05,6.62,7.50,45359.00,-76.20,54.93,55.32,6.62,
2019-12-01 00:00:00 UTC,2.20,2.87,3.24,46799.00,-77.06,59.28,45.30,2.87,
2019-12-02 00:00:00 UTC,5.14,6.72,7.55,48239.00,-76.07,62.34,41.17,6.89,
2019-12-03 00:00:00 UTC,9.53,12.42,13.99,49679.00,-77.03,61.23,54.31,12.29,
2019-12-04 00:00:00 UTC,14.96,19.73,21.94,51119.00,-73.47,63.00,65.14,19.27,
2019-12-05 00:00:00 UTC,5.51,8.10,9.27,52559.00,-72.96,62.84,66.73,8.08,
2019-12-06 00:00:00 UTC,6.44,8.43,9.40,53999.05,-75.24,63.04,60.29,8.43,
2019-12-07 00:00:00 UTC,7.55,9.96,10.95,55439.00,-74.28,65.58,67.41,9.96,
2019-12-08 00:00:00 UTC,4.30,6.00,6.96,56879.00,-76.12,66.13,68.82,6.00,
2019-12-09 00:00:00 UTC,5.34,7.52,9.11,58319.00,-76.70,61.46,62.78,7.52,
2019-12-10 00:00:00 UTC,7.37,9.86,11.23,59759.00,-75.17,61.29,56.76,9.83,
2019-12-11 00:00:00 UTC,13.33,18.04,20.44,61199.00,-75.75,59.98,60.90,17.92,
2019-12-12 00:00:00 UTC,21.95,29.03,31.93,62639.00,-75.13,63.61,59.28,25.29,
2019-12-13 00:00:00 UTC,39.30,54.01,59.60,64079.00,-76.30,63.46,62.21,42.07,
2019-12-14 00:00:00 UTC,33.36,62.65,77.29,65519.00,-75.73,66.63,62.93,45.28,
2019-12-15 00:00:00 UTC,7.59,9.99,11.34,66959.00,-74.87,61.50,41.97,8.44,
2019-12-16 00:00:00 UTC,1.46,2.00,2.40,68399.00,-75.09,60.35,28.58,1.97,
2019-12-17 00:00:00 UTC,1.26,1.88,2.39,69839.00,-74.11,59.32,20.68,1.88,
2019-12-18 00:00:00 UTC,1.22,1.87,2.39,50599.47,-73.67,59.79,18.75,1.87,
2019-12-19 00:00:00 UTC,9.42,12.44,14.19,1136.00,-74.41,56.43,40.88,12.41,
2019-12-20 00:00:00 UTC,4.32,6.03,7.03,2576.00,-74.47,62.79,26.81,6.03,
2019-12-21 00:00:00 UTC,1.41,2.04,2.47,4016.00,-74.31,67.48,20.71,2.04,
2019-12-22 00:00:00 UTC,8.35,11.09,12.67,5456.00,-74.06,62.66,35.91,11.07,
2019-12-23 00:00:00 UTC,2.03,2.94,3.65,6896.00,-71.73,58.63,65.26,2.94,
2019-12-24 00:00:00 UTC,5.42,7.34,8.28,8336.52,-73.39,57.40,62.55,7.34,
2019-12-25 00:00:00 UTC,12.34,16.23,18.23,9776.00,-77.14,56.81,59.25,15.49,
2019-12-26 00:00:00 UTC,1.16,1.62,2.04,11216.00,-73.86,54.92,62.28,1.57,
2019-12-27 00:00:00 UTC,1.42,1.93,2.21,12656.00,-74.10,57.74,44.72,1.93,
2019-12-28 00:00:00 UTC,4.01,5.13,5.71,14096.00,-76.70,57.34,44.06,5.13,
2019-12-29 00:00:00 UTC,14.23,19.03,21.05,15536.00,-75.25,56.84,57.82,18.89,
2019-12-30 00:00:00 UTC,14.65,19.12,21.00,16976.00,-77.18,60.15,46.39,17.09,
2019-12-31 00:00:00 UTC,4.99,6.70,7.55,18416.00,-78.98,65.74,29.02,6.17
