created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,,,,,,,,,
2019-01-02 00:00:00 UTC,,,,,,,,,
2019-01-03 00:00:00 UTC,2.69,3.74,3.97,512.94,-51.95,67.26,18.43,3.74,
2019-01-04 00:00:00 UTC,7.37,10.38,10.88,524.82,-51.86,68.80,20.84,10.12,
2019-01-05 00:00:00 UTC,29.03,43.56,46.20,698.42,-52.34,65.15,37.94,39.33,
2019-01-06 00:00:00 UTC,8.84,12.81,13.51,1352.67,-52.87,64.52,49.47,12.35,
2019-01-07 00:00:00 UTC,4.27,6.56,7.19,1995.65,-53.10,64.82,53.29,6.56,
2019-01-08 00:00:00 UTC,9.42,14.55,15.40,472.97,-52.52,69.72,44.57,14.23,
2019-01-09 00:00:00 UTC,10.72,15.55,16.38,1824.83,-52.20,69.92,41.32,15.46,
2019-01-10 00:00:00 UTC,9.93,14.75,15.65,1405.58,-51.76,69.67,44.48,14.75,
2019-01-11 00:00:00 UTC,21.53,37.98,41.67,1030.09,-51.84,51.93,42.27,34.03,
2019-01-12 00:00:00 UTC,12.29,22.25,24.77,1006.00,-51.85,,,19.62,
2019-01-13 00:00:00 UTC,7.62,10.93,11.62,1537.79,-51.71,22.87,11.93,10.08,
2019-01-14 00:00:00 UTC,7.10,9.92,10.42,871.33,-51.82,64.65,47.16,9.87,
2019-01-15 00:00:00 UTC,3.47,5.30,5.66,1377.00,-51.90,64.00,55.28,5.30,
2019-01-16 00:00:00 UTC,0.91,1.38,1.48,248.45,-51.14,64.79,60.70,1.38,
2019-01-17 00:00:00 UTC,3.44,6.16,6.70,235.19,-50.97,62.79,59.12,6.16,
2019-01-18 00:00:00 UTC,5.81,10.25,11.48,546.66,-51.44,68.97,56.02,10.25,
2019-01-19 00:00:00 UTC,6.19,9.84,10.77,1240.67,-51.15,73.49,42.23,9.82,
2019-01-20 00:00:00 UTC,1.34,1.99,2.15,2680.67,-51.53,76.54,31.70,1.99,
2019-01-21 00:00:00 UTC,1.55,2.41,2.54,967.50,-51.77,71.05,38.10,2.41,
2019-01-22 00:00:00 UTC,1.40,1.87,2.00,404.41,-51.49,70.36,23.36,1.87,
2019-01-23 00:00:00 UTC,2.71,3.80,4.04,762.81,-51.47,70.77,17.65,3.80,
2019-01-24 00:00:00 UTC,5.20,7.60,8.11,301.41,-51.34,73.05,23.97,7.60,
2019-01-25 00:00:00 UTC,1.36,2.01,2.18,482.07,-51.38,76.92,19.43,2.01,
2019-01-26 00:00:00 UTC,1.35,1.95,2.10,627.85,-52.06,1986650.28,15.65,1.95,
2019-01-27 00:00:00 UTC,2.07,2.92,3.09,718.46,-52.03,79.90,16.30,2.92,
2019-01-28 00:00:00 UTC,13.84,21.14,22.33,1279.95,-52.13,54.78,21.27,19.25,
2019-01-29 00:00:00 UTC,40.07,64.05,68.50,454.55,-52.19,52.59,25.76,49.52,
2019-01-30 00:00:00 UTC,21.65,35.64,38.17,543.08,-52.10,71.67,46.95,32.89,
2019-01-31 00:00:00 UTC,17.48,29.37,31.71,641.61,-52.01,67.66,52.93,28.17,
2019-02-01 00:00:00 UTC,8.48,12.19,12.85,381.37,-51.91,65.33,50.14,12.19,
2019-02-02 00:00:00 UTC,2.94,4.46,4.80,346.43,-51.77,65.16,56.39,4.46,
2019-02-03 00:00:00 UTC,5.42,8.32,8.98,1062.00,-51.48,63.84,59.33,8.32,
2019-02-04 00:00:00 UTC,3.65,5.75,6.29,381.63,-51.73,64.12,59.36,5.75,
2019-02-05 00:00:00 UTC,0.65,1.18,1.40,514.04,-51.67,63.37,50.32,1.18,
2019-02-06 00:00:00 UTC,0.94,1.39,1.54,555.94,-52.18,62.83,30.40,1.39,
2019-02-07 00:00:00 UTC,2.62,3.84,4.10,771.33,-52.19,64.34,25.68,3.84,
2019-02-08 00:00:00 UTC,8.29,12.03,12.71,1867.91,-51.70,66.34,26.93,12.03,
2019-02-09 00:00:00 UTC,7.12,10.23,10.86,460.46,-51.89,21.21,12.79,10.23,
2019-02-10 00:00:00 UTC,4.19,6.10,6.55,1590.00,-51.94,,,6.10,
2019-02-11 00:00:00 UTC,,,,,,,,,
2019-02-12 00:00:00 UTC,,,,,,,,,
2019-02-13 00:00:00 UTC,,,,,,,,,
2019-02-14 00:00:00 UTC,,,,,,,,,
2019-02-15 00:00:00 UTC,,,,,,,,,
2019-02-16 00:00:00 UTC,,,,,,,,,
2019-02-17 00:00:00 UTC,,,,,,,,,
2019-02-18 00:00:00 UTC,1.06,1.42,1.50,55.48,-54.20,75.81,17.89,1.42,
2019-02-19 00:00:00 UTC,2.18,2.96,3.14,174.64,-54.49,49.31,15.07,2.96,
2019-02-20 00:00:00 UTC,6.46,8.99,9.49,293.46,-55.27,61.22,35.62,8.99,
2019-02-21 00:00:00 UTC,5.41,7.89,8.37,361.55,-55.14,62.82,40.64,7.89,
2019-02-22 00:00:00 UTC,1.03,1.46,1.58,335.56,-54.02,65.56,23.69,1.46,
2019-02-23 00:00:00 UTC,5.51,7.82,8.28,208.10,-54.50,66.24,24.41,7.80,
2019-02-24 00:00:00 UTC,7.39,10.57,11.14,384.43,-54.23,68.42,27.69,10.57,
2019-02-25 00:00:00 UTC,12.20,17.70,18.78,649.35,-54.30,69.37,33.03,17.63,
2019-02-26 00:00:00 UTC,18.66,27.53,29.16,620.32,-51.73,68.63,40.45,26.55,
2019-02-27 00:00:00 UTC,17.34,29.22,31.44,263.19,-51.17,69.05,44.70,28.03,
2019-02-28 00:00:00 UTC,17.36,31.08,34.09,281.03,-50.76,70.53,49.70,29.71,
2019-03-01 00:00:00 UTC,13.92,26.17,28.77,236.31,-51.32,71.46,50.33,25.53,
2019-03-02 00:00:00 UTC,5.92,9.81,10.66,793.99,-50.56,68.04,56.76,9.81,
