created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,3.86,3.95,4.64,1610.28,-40.11,42.97,11.87,3.71,
2019-01-02 00:00:00 UTC,3.95,4.25,5.38,253.97,-16.07,54.61,15.78,4.06,
2019-01-03 00:00:00 UTC,2.18,2.55,3.65,246.82,-12.08,57.69,24.01,2.55,
2019-01-04 00:00:00 UTC,5.79,7.02,8.36,384.28,-4.32,58.81,28.67,6.98,
2019-01-05 00:00:00 UTC,25.13,34.87,40.21,501.82,-55.46,57.92,54.56,33.43,
2019-01-06 00:00:00 UTC,2.68,3.70,4.67,263.33,-53.50,61.45,58.46,3.43,
2019-01-07 00:00:00 UTC,3.74,5.26,6.58,374.58,-61.44,58.19,68.39,5.26,
2019-01-08 00:00:00 UTC,10.27,15.57,17.91,1141.09,-60.26,60.70,61.65,14.87,
2019-01-09 00:00:00 UTC,5.81,8.18,9.51,1411.88,-62.18,58.53,61.33,8.18,
2019-01-10 00:00:00 UTC,5.49,7.64,8.89,788.43,-60.70,59.65,60.78,7.64,
2019-01-11 00:00:00 UTC,18.91,31.28,39.00,477.75,-62.27,59.82,64.63,28.56,
2019-01-12 00:00:00 UTC,10.06,17.53,23.13,926.26,-59.60,58.21,67.67,16.02,
2019-01-13 00:00:00 UTC,4.52,5.24,5.68,294.61,-60.97,56.08,60.14,4.96,
2019-01-14 00:00:00 UTC,5.34,7.07,7.98,806.60,-58.74,56.79,63.03,7.07,
2019-01-15 00:00:00 UTC,5.07,7.16,8.09,843.86,-58.25,57.59,69.57,7.16,
2019-01-16 00:00:00 UTC,2.34,3.12,3.49,787.14,-59.27,59.55,72.90,3.12,
2019-01-17 00:00:00 UTC,1.80,2.85,3.87,608.62,-59.43,63.87,76.11,2.85,
2019-01-18 00:00:00 UTC,4.40,7.36,10.82,809.23,-58.82,62.00,68.82,7.35,
2019-01-19 00:00:00 UTC,2.66,3.99,5.32,337.31,-60.37,65.44,50.69,3.99,
2019-01-20 00:00:00 UTC,0.95,1.32,1.69,465.41,-57.69,67.87,44.40,1.32,
2019-01-21 00:00:00 UTC,0.79,1.11,1.54,380.82,-57.83,60.62,50.35,1.11,
2019-01-22 00:00:00 UTC,0.52,0.65,0.85,590.01,-58.10,58.47,31.95,0.65,
2019-01-23 00:00:00 UTC,0.78,0.96,1.36,496.55,-57.67,60.97,19.82,0.96,
2019-01-24 00:00:00 UTC,1.98,2.66,3.22,1050.23,-57.81,63.26,34.05,2.66,
2019-01-25 00:00:00 UTC,0.39,0.41,0.60,1446.17,-57.91,67.75,23.33,0.41,
2019-01-26 00:00:00 UTC,0.30,0.42,0.61,516.18,-58.40,71.64,17.88,0.42,
2019-01-27 00:00:00 UTC,0.78,0.74,0.98,538.25,-58.16,70.31,22.89,0.74,
2019-01-28 00:00:00 UTC,7.07,9.84,11.26,520.39,-58.44,65.57,35.89,9.26,
2019-01-29 00:00:00 UTC,32.34,49.05,58.78,458.03,-58.21,67.04,43.50,40.00,
2019-01-30 00:00:00 UTC,17.20,25.91,30.59,375.95,-60.04,63.85,59.57,24.83,
2019-01-31 00:00:00 UTC,16.26,25.75,30.78,513.54,-59.79,61.13,67.38,24.29,
2019-02-01 00:00:00 UTC,5.11,7.38,8.45,332.94,-61.84,57.66,66.16,7.38,
2019-02-02 00:00:00 UTC,3.43,4.86,5.48,1368.57,-62.67,59.20,70.76,4.86,
