created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,7.50,9.70,10.11,1034.61,-75.18,59.71,19.39,9.54,
2019-01-02 00:00:00 UTC,15.51,20.03,20.82,2474.23,-74.99,57.38,24.73,18.58,
2019-01-03 00:00:00 UTC,11.47,14.66,15.24,3913.97,-75.07,59.85,29.27,14.30,
2019-01-04 00:00:00 UTC,20.41,26.98,28.14,5353.33,-73.58,60.55,36.79,25.91,
2019-01-05 00:00:00 UTC,33.45,44.70,46.50,2107.90,-72.85,61.44,45.25,37.86,
2019-01-06 00:00:00 UTC,15.66,20.83,21.67,590.69,-72.92,61.04,57.65,19.30,
2019-01-07 00:00:00 UTC,6.13,8.65,9.26,771.45,-72.32,62.93,55.85,8.50,
2019-01-08 00:00:00 UTC,10.96,14.85,15.57,904.51,-71.95,65.25,50.39,14.55,
2019-01-09 00:00:00 UTC,17.31,23.82,25.05,1355.80,-70.86,65.13,48.62,22.62,
2019-01-10 00:00:00 UTC,27.42,40.09,42.48,1412.53,-71.19,64.53,55.26,34.35,
2019-01-11 00:00:00 UTC,25.47,41.42,45.14,958.47,-71.52,64.80,56.04,33.03,
2019-01-12 00:00:00 UTC,11.76,18.08,19.38,2397.17,-72.15,63.49,59.04,15.90,
2019-01-13 00:00:00 UTC,21.78,29.10,30.31,3838.24,-73.04,61.19,54.54,25.16,
2019-01-14 00:00:00 UTC,10.35,13.66,14.27,2333.49,-72.20,61.82,54.91,13.20,
2019-01-15 00:00:00 UTC,8.24,11.01,11.51,317.21,-71.30,61.27,62.19,11.01,
2019-01-16 00:00:00 UTC,2.33,3.29,3.52,356.64,-71.22,62.15,70.05,3.29,
2019-01-17 00:00:00 UTC,4.60,6.74,7.19,607.27,-72.26,66.63,72.82,6.51,
2019-01-18 00:00:00 UTC,9.50,15.16,16.56,1486.02,-72.77,66.24,64.57,14.97,
2019-01-19 00:00:00 UTC,11.66,17.21,18.42,2416.09,-67.02,66.12,54.72,16.31,
2019-01-20 00:00:00 UTC,10.72,14.56,15.33,376.62,-71.43,69.29,45.64,13.95,
2019-01-21 00:00:00 UTC,1.33,2.19,2.48,933.72,-74.03,66.36,44.49,2.18,
2019-01-22 00:00:00 UTC,4.02,5.38,5.68,1001.39,-18.51,63.02,30.62,5.23,
2019-01-23 00:00:00 UTC,9.15,11.60,12.07,782.99,-29.68,65.16,26.35,11.50,
2019-01-24 00:00:00 UTC,10.98,14.69,15.40,2016.00,-73.03,66.00,36.10,14.22,
2019-01-25 00:00:00 UTC,6.76,8.90,9.38,1332.30,-32.98,69.67,28.69,8.89,
2019-01-26 00:00:00 UTC,9.79,12.88,13.50,826.82,-73.02,68.97,29.89,12.51,
2019-01-27 00:00:00 UTC,11.31,14.88,15.50,378.05,-48.68,72.29,25.15,14.67,
2019-01-28 00:00:00 UTC,24.08,34.57,36.65,1302.29,-73.55,68.44,35.10,30.84,
2019-01-29 00:00:00 UTC,49.38,70.26,73.83,2741.15,-73.71,70.88,44.72,49.85,
2019-01-30 00:00:00 UTC,22.06,32.04,33.76,4181.67,-73.00,69.19,53.91,29.17,
2019-01-31 00:00:00 UTC,19.29,28.71,30.40,1886.51,-14.62,66.10,59.49,26.47,
2019-02-01 00:00:00 UTC,13.08,17.86,18.70,616.52,-53.69,62.98,57.48,17.08,
2019-02-02 00:00:00 UTC,3.77,5.21,5.52,524.28,3.18,63.82,62.73,5.21,
2019-02-03 00:00:00 UTC,5.51,7.65,8.16,489.08,-15.07,62.09,65.15,7.65,
2019-02-04 00:00:00 UTC,4.79,6.81,7.29,1190.30,-55.64,57.39,60.92,6.59,
2019-02-05 00:00:00 UTC,1.15,1.87,2.11,557.77,-57.37,57.61,54.61,1.87,
2019-02-06 00:00:00 UTC,1.10,1.52,1.65,1448.17,-57.92,57.40,36.95,1.52,
2019-02-07 00:00:00 UTC,6.69,8.50,8.84,1067.33,2.89,59.14,33.06,8.44,
2019-02-08 00:00:00 UTC,12.94,17.12,17.89,2610.19,-42.17,62.12,34.51,16.82,
2019-02-09 00:00:00 UTC,13.69,18.31,19.17,3946.42,-74.41,61.54,48.00,17.55,
