created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,8.93,11.94,12.78,9236.36,-59.61,60.56,17.57,11.51,
2019-01-02 00:00:00 UTC,13.00,17.10,18.17,10674.38,-58.46,58.79,23.77,15.79,
2019-01-03 00:00:00 UTC,6.83,8.83,9.44,5176.26,-65.62,61.32,26.96,8.82,
2019-01-04 00:00:00 UTC,12.35,16.70,17.85,1367.68,-63.63,62.35,30.51,16.55,
2019-01-05 00:00:00 UTC,26.61,36.88,39.31,840.67,-65.81,61.25,41.68,34.37,
2019-01-06 00:00:00 UTC,9.14,12.02,12.69,2280.89,-66.59,62.11,54.06,11.51,
2019-01-07 00:00:00 UTC,6.12,8.51,9.31,3720.46,-67.84,63.74,53.57,8.46,
2019-01-08 00:00:00 UTC,7.47,9.98,10.66,1350.61,-65.60,66.17,49.46,9.95,
2019-01-09 00:00:00 UTC,10.64,14.07,14.85,664.38,-64.42,67.05,43.99,13.69,
2019-01-10 00:00:00 UTC,25.53,38.97,42.29,766.55,-65.69,65.13,51.12,34.21,
2019-01-11 00:00:00 UTC,28.44,44.32,48.47,2207.33,-65.12,64.78,54.24,36.34,
2019-01-12 00:00:00 UTC,15.60,24.51,26.89,3647.15,-66.48,63.63,57.16,20.82,
2019-01-13 00:00:00 UTC,10.91,14.08,14.84,5086.99,-58.51,60.62,51.96,13.72,
2019-01-14 00:00:00 UTC,8.64,11.20,11.77,1265.99,-58.83,62.25,51.99,11.07,
2019-01-15 00:00:00 UTC,4.75,6.45,6.87,1978.02,-57.64,61.88,61.24,6.45,
2019-01-16 00:00:00 UTC,1.39,1.90,2.06,3418.14,-56.77,62.87,67.28,1.90,
2019-01-17 00:00:00 UTC,4.12,5.79,6.16,4857.68,-55.24,67.33,69.59,5.73,
2019-01-18 00:00:00 UTC,8.48,12.97,14.38,6298.00,-54.67,66.69,61.16,12.97,
2019-01-19 00:00:00 UTC,11.32,15.60,16.84,7738.01,-53.54,68.51,50.37,15.58,
