created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,1.86,2.47,2.90,504.03,20.08,57.46,18.36,2.47,
2019-01-02 00:00:00 UTC,2.44,3.39,4.06,278.81,-54.98,55.72,22.77,3.33,
2019-01-03 00:00:00 UTC,8.53,10.11,11.03,1350.00,-58.93,58.09,29.09,7.99,
2019-01-04 00:00:00 UTC,6.42,8.60,9.61,910.31,-58.40,59.85,30.22,8.60,
2019-01-05 00:00:00 UTC,19.34,27.78,31.92,1858.00,-58.68,59.72,38.97,26.97,
2019-01-06 00:00:00 UTC,5.96,7.78,8.60,3297.46,-55.50,59.13,56.40,7.78,
2019-01-07 00:00:00 UTC,2.05,3.23,4.25,4737.03,-55.28,61.16,57.27,3.23,
2019-01-08 00:00:00 UTC,3.61,4.93,5.57,6178.00,-55.01,62.88,53.93,4.83,
2019-01-09 00:00:00 UTC,4.51,6.18,6.92,7618.09,-57.03,63.61,47.42,6.17,
2019-01-10 00:00:00 UTC,14.53,20.85,23.69,1995.51,-57.04,63.30,51.23,20.81,
2019-01-11 00:00:00 UTC,21.40,33.95,40.30,709.41,-55.95,61.22,54.85,31.49,
2019-01-12 00:00:00 UTC,11.07,17.75,21.35,2079.33,-56.04,61.23,57.27,17.15,
2019-01-13 00:00:00 UTC,3.60,4.72,5.31,799.96,-56.14,58.83,53.60,4.44,
2019-01-14 00:00:00 UTC,4.03,5.33,5.92,1324.03,-57.19,60.90,51.57,5.33,
2019-01-15 00:00:00 UTC,1.89,2.67,3.11,1033.74,-57.49,60.02,60.86,2.67,
2019-01-16 00:00:00 UTC,1.78,2.49,2.79,497.63,-57.65,62.14,63.64,2.49,
2019-01-17 00:00:00 UTC,2.77,4.12,4.65,682.29,-57.58,66.41,65.91,4.12,
2019-01-18 00:00:00 UTC,5.94,9.31,11.53,446.01,-56.63,63.56,60.77,9.31,
2019-01-19 00:00:00 UTC,3.49,5.16,6.52,388.73,-58.27,65.07,52.42,5.16,
2019-01-20 00:00:00 UTC,0.69,0.98,1.17,615.91,-57.80,68.05,43.63,0.98,
2019-01-21 00:00:00 UTC,2.30,2.74,3.00,1603.33,-58.32,64.10,42.35,2.74,
2019-01-22 00:00:00 UTC,0.89,1.05,1.27,1543.01,-57.28,1992161.55,29.67,1.05,
2019-01-23 00:00:00 UTC,4.19,5.39,6.05,992.44,-57.37,61.24,30.05,5.37,
2019-01-24 00:00:00 UTC,5.64,7.74,8.75,1066.00,-58.95,64.42,30.77,7.69,
2019-01-25 00:00:00 UTC,1.14,1.59,1.90,1122.27,-56.86,66.49,28.10,1.58,
2019-01-26 00:00:00 UTC,2.02,2.79,3.20,1546.00,-57.35,67.32,27.74,2.79,
2019-01-27 00:00:00 UTC,2.40,3.18,3.57,2985.68,-57.39,69.93,24.56,3.08,
2019-01-28 00:00:00 UTC,7.10,9.85,10.94,1720.81,-58.80,67.68,32.91,9.85,
2019-01-29 00:00:00 UTC,23.46,35.72,41.43,377.73,-59.93,70.22,37.36,30.49,
2019-01-30 00:00:00 UTC,24.67,37.27,43.14,784.66,-60.77,67.25,51.37,34.38,
2019-01-31 00:00:00 UTC,22.94,36.92,43.64,423.77,-60.33,63.99,58.00,34.54,
2019-02-01 00:00:00 UTC,5.39,7.38,8.10,1020.67,-59.52,60.27,57.85,7.34,
2019-02-02 00:00:00 UTC,2.68,3.64,4.13,1184.85,-58.66,61.99,60.69,3.64,
2019-02-03 00:00:00 UTC,4.43,6.21,7.16,585.30,-58.69,60.30,62.76,6.21,
2019-02-04 00:00:00 UTC,3.22,4.60,5.49,1610.64,-58.91,61.01,62.97,4.60,
2019-02-05 00:00:00 UTC,1.07,1.51,1.96,2022.55,-64.71,57.97,59.18,1.51,
2019-02-06 00:00:00 UTC,0.20,0.27,0.35,1154.71,-68.05,55.19,36.23,0.27,
2019-02-07 00:00:00 UTC,1.61,2.16,2.47,2594.00,-58.32,55.83,34.03,2.16,
2019-02-08 00:00:00 UTC,7.19,9.99,11.35,3777.78,-57.24,54.97,35.88,9.99,
2019-02-09 00:00:00 UTC,8.24,11.62,13.15,742.00,-56.35,57.71,49.94,11.60,
2019-02-10 00:00:00 UTC,3.39,4.67,5.44,2182.00,-55.70,58.00,55.55,4.53,
2019-02-11 00:00:00 UTC,0.62,0.89,1.15,3622.16,-58.22,55.28,44.05,0.89,
2019-02-12 00:00:00 UTC,2.39,3.18,3.65,1644.31,-58.47,57.99,35.22,3.17,
2019-02-13 00:00:00 UTC,2.28,3.17,3.72,831.39,-57.40,61.79,34.95,3.17,
2019-02-14 00:00:00 UTC,2.06,2.86,3.35,840.41,-53.88,63.25,63.52,2.86,
2019-02-15 00:00:00 UTC,1.58,2.46,3.36,2280.41,-53.87,60.47,56.89,2.46,
2019-02-16 00:00:00 UTC,0.91,1.20,1.45,3720.00,-54.72,58.81,49.82,1.20,
2019-02-17 00:00:00 UTC,0.55,0.92,1.35,1517.79,-53.37,57.26,45.28,0.92,
2019-02-18 00:00:00 UTC,0.58,0.75,0.96,1727.30,-54.82,55.21,42.10,0.75,
2019-02-19 00:00:00 UTC,1.16,1.56,1.79,770.00,-54.41,57.11,29.16,1.56,
2019-02-20 00:00:00 UTC,4.78,6.28,7.00,1051.43,-54.63,55.00,42.66,6.28,
2019-02-21 00:00:00 UTC,6.36,8.36,9.32,1492.50,-56.16,55.88,51.25,8.36,
2019-02-22 00:00:00 UTC,2.29,3.05,3.48,665.56,-56.93,55.51,38.27,3.05,
2019-02-23 00:00:00 UTC,2.73,3.66,4.13,1582.66,-56.34,57.34,34.26,3.66,
