created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,0.16,0.17,0.41,2004.74,-54.51,51.81,14.41,0.17,
2019-01-02 00:00:00 UTC,1.28,1.79,2.18,814.89,-54.35,54.32,14.12,1.79,
2019-01-03 00:00:00 UTC,3.16,4.81,5.74,2254.24,-53.64,54.41,22.44,4.71,
2019-01-04 00:00:00 UTC,3.76,5.65,6.53,2323.70,-53.52,56.96,24.08,5.48,
2019-01-05 00:00:00 UTC,14.88,26.05,30.74,1224.22,-54.13,55.27,32.50,24.75,
2019-01-06 00:00:00 UTC,6.07,8.66,9.68,1270.34,-53.96,54.53,52.19,8.13,
2019-01-07 00:00:00 UTC,2.88,4.91,6.60,831.87,-53.20,56.44,55.81,4.88,
2019-01-08 00:00:00 UTC,1.99,3.20,3.74,778.25,-53.91,58.73,50.32,3.10,
2019-01-09 00:00:00 UTC,2.30,3.66,4.35,1919.97,-53.43,60.21,43.20,3.66,
2019-01-10 00:00:00 UTC,8.02,12.98,14.80,3358.44,-53.99,60.20,45.64,12.63,
2019-01-11 00:00:00 UTC,21.82,41.45,48.48,3163.97,-53.74,57.67,52.00,35.32,
2019-01-12 00:00:00 UTC,11.56,21.84,25.78,115.01,-56.88,56.97,53.27,17.98,
2019-01-13 00:00:00 UTC,1.50,2.34,2.73,70.22,-58.30,49.58,41.81,2.34,
2019-01-14 00:00:00 UTC,4.02,6.15,6.95,302.68,-61.63,56.13,47.46,6.02,
2019-01-15 00:00:00 UTC,3.21,5.38,6.37,1601.29,-64.40,54.97,58.23,5.35,
2019-01-16 00:00:00 UTC,2.99,4.72,5.63,1822.25,-63.34,57.52,62.20,4.60,
2019-01-17 00:00:00 UTC,1.29,2.33,2.97,575.31,-79.64,61.67,64.51,2.33,
2019-01-18 00:00:00 UTC,3.89,7.26,10.12,288.04,-57.41,58.61,59.53,7.26,
2019-01-19 00:00:00 UTC,2.87,5.09,6.66,1316.67,-56.77,62.56,46.29,5.06,
2019-01-20 00:00:00 UTC,0.39,0.66,0.94,2756.67,-55.47,65.51,37.79,0.66,
2019-01-21 00:00:00 UTC,0.80,1.27,1.75,615.04,-55.48,59.27,39.73,1.27,
2019-01-22 00:00:00 UTC,0.91,1.20,1.53,919.59,-54.35,56.93,25.63,1.20,
2019-01-23 00:00:00 UTC,3.58,4.98,5.60,2359.67,-52.79,58.89,19.67,4.98,
2019-01-24 00:00:00 UTC,2.92,4.64,5.43,3799.00,-52.84,62.75,24.01,4.64,
2019-01-25 00:00:00 UTC,0.76,1.26,1.63,1992.52,-52.46,65.96,18.75,1.26,
2019-01-26 00:00:00 UTC,0.39,0.71,0.96,1548.91,-52.15,72.67,10.94,0.71,
2019-01-27 00:00:00 UTC,1.50,2.27,2.73,2665.09,-52.75,68.95,17.86,2.27,
2019-01-28 00:00:00 UTC,7.63,11.83,13.48,850.00,-53.22,65.12,29.85,11.62,
2019-01-29 00:00:00 UTC,11.51,21.14,25.27,2290.25,-52.97,68.89,28.37,16.39,
2019-01-30 00:00:00 UTC,33.82,58.86,67.75,3729.40,-53.09,63.96,47.08,44.29,
2019-01-31 00:00:00 UTC,23.70,46.18,53.90,2768.97,-57.97,58.84,58.43,35.63,
2019-02-01 00:00:00 UTC,4.46,6.85,7.61,520.19,-63.39,56.05,56.41,6.82,
2019-02-02 00:00:00 UTC,4.50,7.09,7.99,1320.29,-69.74,56.41,62.20,7.08,
2019-02-03 00:00:00 UTC,3.34,5.39,6.92,512.73,-58.61,55.01,63.96,5.35,
2019-02-04 00:00:00 UTC,3.00,4.79,6.21,151.73,-61.54,48.14,56.36,4.79,
2019-02-05 00:00:00 UTC,0.33,0.88,1.68,88.15,-69.79,46.62,50.01,0.88,
2019-02-06 00:00:00 UTC,0.43,0.69,1.05,910.22,-81.24,49.30,35.20,0.69,
2019-02-07 00:00:00 UTC,2.11,3.21,3.70,2336.65,-78.73,49.96,32.21,3.21,
2019-02-08 00:00:00 UTC,8.17,13.20,15.26,52.92,-62.68,53.03,34.14,12.92,
2019-02-09 00:00:00 UTC,9.42,15.76,18.09,78.72,-62.66,53.44,49.47,14.47,
2019-02-10 00:00:00 UTC,3.27,4.88,5.81,94.16,-66.08,50.77,53.30,4.88,
2019-02-11 00:00:00 UTC,0.91,1.44,1.89,78.04,-64.15,45.42,39.00,1.44,
2019-02-12 00:00:00 UTC,2.49,4.55,5.70,116.03,-66.28,54.38,28.93,4.16,
2019-02-13 00:00:00 UTC,1.17,2.04,2.60,84.77,-66.03,58.78,26.72,2.04,
2019-02-14 00:00:00 UTC,1.97,3.23,4.41,324.55,-54.87,58.84,64.66,3.23,
2019-02-15 00:00:00 UTC,1.27,2.50,4.06,585.88,-58.16,55.41,58.33,2.50,
2019-02-16 00:00:00 UTC,1.54,2.43,3.02,93.47,-62.08,50.96,46.29,2.43,
2019-02-17 00:00:00 UTC,1.23,2.10,2.93,62.25,-62.71,49.39,41.29,2.10,
2019-02-18 00:00:00 UTC,0.98,1.56,2.08,624.27,-64.21,49.50,37.69,1.56,
2019-02-19 00:00:00 UTC,1.73,2.45,2.77,2052.33,-60.33,52.18,25.30,2.45,
2019-02-20 00:00:00 UTC,4.91,7.03,7.94,3491.67,-66.05,49.01,43.55,6.92,
2019-02-21 00:00:00 UTC,4.77,7.23,8.35,3949.58,-66.19,49.70,50.63,7.16,
2019-02-22 00:00:00 UTC,1.09,1.66,2.02,416.17,-56.44,51.72,27.25,1.64,
2019-02-23 00:00:00 UTC,2.41,3.59,4.15,518.85,-58.77,52.06,33.21,3.59,
2019-02-24 00:00:00 UTC,8.34,12.94,14.80,1907.00,-61.40,56.65,30.52,12.94,
2019-02-25 00:00:00 UTC,9.17,15.85,18.61,2774.49,-60.77,59.23,32.94,15.63,
2019-02-26 00:00:00 UTC,16.24,26.39,30.12,872.48,-73.18,59.68,42.84,23.31,
2019-02-27 00:00:00 UTC,27.91,51.66,59.55,772.67,-55.57,60.40,48.85,41.32,
2019-02-28 00:00:00 UTC,15.55,30.51,35.53,654.85,-54.40,63.27,55.15,26.90,
2019-03-01 00:00:00 UTC,13.93,28.24,32.78,404.90,-54.06,62.56,56.11,26.84,
2019-03-02 00:00:00 UTC,10.65,21.21,25.30,588.17,-54.42,60.82,61.66,19.02,
2019-03-03 00:00:00 UTC,2.96,5.28,6.87,1937.16,-56.48,60.79,63.18,5.28,
2019-03-04 00:00:00 UTC,5.75,9.07,10.05,750.68,-55.57,60.57,54.68,9.06,
2019-03-05 00:00:00 UTC,11.13,18.61,21.07,2123.34,-54.69,60.41,48.94,17.70,
2019-03-06 00:00:00 UTC,5.69,9.50,11.14,457.09,-70.07,59.71,55.35,8.88,
2019-03-07 00:00:00 UTC,2.92,5.14,6.67,1104.71,-83.42,59.85,60.89,5.14,
2019-03-08 00:00:00 UTC,0.46,1.08,1.84,1400.80,-68.49,56.13,47.46,1.08,
2019-03-09 00:00:00 UTC,2.43,3.96,5.20,1095.69,-54.66,54.38,48.91,3.96,
2019-03-10 00:00:00 UTC,2.61,4.05,4.87,360.84,-56.41,53.97,45.96,4.05
2019-03-11 00:00:00 UTC,3.55,5.21,5.99,329.62,-54.73,54.10,49.46,5.21,
2019-03-11 00:00:00 UTC,3.55,5.21,5.99,329.62,-54.73,54.10,49.46,5.21
2019-03-12 00:00:00 UTC,2.46,3.74,4.37,528.01,-52.73,62.75,37.64,3.74,
2019-03-12 00:00:00 UTC,2.46,3.74,4.37,528.01,-52.73,62.75,37.64,3.74
2019-03-13 00:00:00 UTC,1.99,3.94,6.15,327.12,-53.44,60.99,35.58,3.93,
2019-03-13 00:00:00 UTC,1.99,3.94,6.15,327.12,-53.44,60.99,35.58,3.93
2019-03-14 00:00:00 UTC,0.74,1.15,1.56,703.50,-53.44,62.55,17.79,1.15,
2019-03-14 00:00:00 UTC,0.74,1.15,1.56,703.50,-53.44,62.55,17.79,1.15
