created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,1.00,1.42,1.52,265.86,-81.59,62.74,12.52,1.42,
2019-01-02 00:00:00 UTC,2.32,3.40,3.63,448.41,-78.96,61.06,15.75,3.37,
2019-01-03 00:00:00 UTC,2.32,3.35,3.56,1579.34,-78.48,63.17,21.91,3.31,
2019-01-04 00:00:00 UTC,8.76,12.01,12.59,754.37,-78.73,63.10,29.93,12.00,
2019-01-05 00:00:00 UTC,22.29,32.56,34.42,1769.64,-79.11,63.46,42.18,31.67,
2019-01-06 00:00:00 UTC,8.13,11.74,12.36,453.81,-78.45,61.86,56.50,11.16,
2019-01-07 00:00:00 UTC,3.48,5.50,6.01,1649.00,-79.91,63.20,60.58,5.50,
2019-01-08 00:00:00 UTC,10.52,16.36,17.39,1178.97,-80.12,66.88,52.18,16.09,
2019-01-09 00:00:00 UTC,10.20,15.21,16.15,1687.53,-80.30,65.51,51.73,14.93,
2019-01-10 00:00:00 UTC,8.11,11.94,12.70,1122.59,-80.63,65.72,55.82,11.94,
2019-01-11 00:00:00 UTC,16.43,30.12,33.51,1052.29,-79.15,65.58,56.77,27.79,
2019-01-12 00:00:00 UTC,9.70,17.46,19.36,402.13,-79.61,64.32,59.19,16.25,
2019-01-13 00:00:00 UTC,2.72,3.89,4.11,1552.67,-79.97,63.79,47.71,3.89,
2019-01-14 00:00:00 UTC,8.99,13.36,14.32,2992.67,-79.08,63.95,52.21,12.54,
2019-01-15 00:00:00 UTC,6.01,8.86,9.35,1263.49,-80.54,63.29,60.98,8.86,
2019-01-16 00:00:00 UTC,1.95,2.90,3.09,713.78,-81.98,63.94,66.39,2.90,
2019-01-17 00:00:00 UTC,2.50,4.42,4.86,1578.47,-75.44,66.92,73.08,4.42,
2019-01-18 00:00:00 UTC,5.46,9.78,10.94,279.50,-83.77,66.22,63.25,9.78,
2019-01-19 00:00:00 UTC,7.10,11.24,12.21,974.00,-83.61,68.81,52.46,11.20,
2019-01-20 00:00:00 UTC,2.90,4.37,4.71,451.54,-84.07,71.17,43.83,4.37,
2019-01-21 00:00:00 UTC,3.62,5.50,5.95,800.86,-81.68,66.09,47.37,5.23,
2019-01-22 00:00:00 UTC,0.47,0.70,0.76,331.22,-84.28,65.47,26.97,0.70,
2019-01-23 00:00:00 UTC,0.88,1.29,1.41,739.64,-82.65,67.36,18.32,1.29,
2019-01-24 00:00:00 UTC,5.32,7.56,8.01,1184.18,-82.14,68.55,33.39,7.56,
2019-01-25 00:00:00 UTC,1.76,2.51,2.68,927.63,-82.25,71.79,25.56,2.51,
2019-01-26 00:00:00 UTC,1.93,2.94,3.18,231.61,-83.80,72.68,24.43,2.90,
2019-01-27 00:00:00 UTC,3.16,4.51,4.79,998.00,-83.58,73.06,23.91,4.51,
2019-01-28 00:00:00 UTC,14.03,20.47,21.65,689.89,-83.50,69.17,34.41,18.84,
2019-01-29 00:00:00 UTC,37.06,54.40,57.30,245.57,-83.01,69.90,48.91,43.93,
2019-01-30 00:00:00 UTC,15.22,23.77,25.38,840.87,-82.18,68.12,56.98,23.43,
2019-01-31 00:00:00 UTC,15.96,26.73,28.90,352.84,-66.36,66.89,59.26,25.76,
2019-02-01 00:00:00 UTC,6.93,10.40,11.02,228.81,-21.16,64.90,54.47,10.40,
2019-02-02 00:00:00 UTC,2.93,4.65,4.99,247.52,-35.53,63.90,64.38,4.65,
2019-02-03 00:00:00 UTC,5.20,7.98,8.60,204.63,-81.00,62.95,65.28,7.97,
2019-02-04 00:00:00 UTC,1.68,2.70,3.00,882.53,-80.24,62.49,65.41,2.70,
2019-02-05 00:00:00 UTC,0.21,0.44,0.57,323.29,-81.83,60.15,55.77,0.44,
2019-02-06 00:00:00 UTC,0.23,0.35,0.41,1054.98,-82.04,57.07,35.13,0.35,
2019-02-07 00:00:00 UTC,2.15,3.17,3.35,2228.57,-82.69,60.66,27.85,3.15,
2019-02-08 00:00:00 UTC,6.45,9.35,9.90,638.60,-83.72,62.29,31.41,9.26,
2019-02-09 00:00:00 UTC,7.02,9.96,10.52,939.33,-82.51,61.22,48.75,9.96,
2019-02-10 00:00:00 UTC,3.95,5.66,6.02,597.44,-86.31,61.42,55.52,5.66,
2019-02-11 00:00:00 UTC,1.89,2.76,2.93,312.89,-85.08,59.22,33.50,2.76,
2019-02-12 00:00:00 UTC,4.68,6.54,6.89,531.83,-84.15,63.53,31.35,6.54,
2019-02-13 00:00:00 UTC,5.57,7.79,8.22,567.67,-83.82,65.20,33.72,7.79,
2019-02-14 00:00:00 UTC,2.90,4.67,5.08,412.35,-80.81,64.14,68.14,4.67,
2019-02-15 00:00:00 UTC,1.98,3.37,3.78,592.51,-79.59,62.71,57.22,3.37,
2019-02-16 00:00:00 UTC,0.68,1.12,1.28,590.76,-79.85,60.02,53.58,1.12,
2019-02-17 00:00:00 UTC,0.38,0.74,0.93,764.79,-79.75,59.92,47.05,0.74,
2019-02-18 00:00:00 UTC,0.43,0.46,0.55,504.12,-80.10,59.25,31.92,0.46,
2019-02-19 00:00:00 UTC,1.89,2.56,2.68,502.64,-79.06,60.38,26.36,2.56,
2019-02-20 00:00:00 UTC,5.32,7.36,7.71,1318.13,-79.52,59.76,38.26,7.36,
2019-02-21 00:00:00 UTC,3.55,5.17,5.52,761.42,-81.91,59.01,47.25,5.17,
2019-02-22 00:00:00 UTC,0.68,1.05,1.14,743.16,-80.87,59.59,28.69,1.05,
2019-02-23 00:00:00 UTC,4.04,5.66,5.94,465.74,-80.87,61.32,31.75,5.66,
2019-02-24 00:00:00 UTC,3.32,4.84,5.14,552.62,-83.11,62.35,36.43,4.84,
2019-02-25 00:00:00 UTC,9.88,13.83,14.56,776.31,-84.07,64.55,44.95,13.78,
2019-02-26 00:00:00 UTC,13.26,19.22,20.29,561.01,-84.76,64.09,51.67,19.02,
2019-02-27 00:00:00 UTC,12.16,20.03,21.59,301.68,-82.63,65.16,53.47,19.07,
2019-02-28 00:00:00 UTC,10.75,19.62,21.71,700.38,-82.38,66.88,60.16,19.22,
2019-03-01 00:00:00 UTC,8.26,15.21,16.71,776.49,-81.95,66.51,62.87,15.21,
2019-03-02 00:00:00 UTC,3.53,5.87,6.42,617.52,-80.92,65.59,65.75,5.87,
2019-03-03 00:00:00 UTC,1.03,2.11,2.49,589.09,-81.42,65.72,66.93,2.11,
2019-03-04 00:00:00 UTC,1.33,2.09,2.30,1256.32,-79.64,64.97,57.83,2.09,
2019-03-05 00:00:00 UTC,3.37,4.78,5.06,2230.07,-80.16,63.67,52.88,4.78,
2019-03-06 00:00:00 UTC,,,,,,,,,
2019-03-07 00:00:00 UTC,,,,,,,,,
2019-03-08 00:00:00 UTC,0.32,0.53,0.67,110.21,-68.83,60.62,48.80,0.52,
2019-03-09 00:00:00 UTC,1.60,2.62,2.91,209.62,-73.91,62.78,46.59,2.62,
2019-03-10 00:00:00 UTC,2.08,3.27,3.54,147.79,-75.79,62.15,45.92,3.27
2019-03-11 00:00:00 UTC,3.53,5.32,5.69,268.79,-79.29,64.26,46.35,5.32,
2019-03-11 00:00:00 UTC,3.53,5.32,5.69,268.79,-79.29,64.26,46.35,5.32
2019-03-12 00:00:00 UTC,2.33,3.42,3.68,132.80,-67.46,69.34,35.26,3.42,
2019-03-12 00:00:00 UTC,2.33,3.42,3.68,132.80,-67.46,69.34,35.26,3.42
2019-03-13 00:00:00 UTC,1.74,3.40,3.90,297.43,-75.88,67.98,35.44,3.40,
2019-03-13 00:00:00 UTC,1.74,3.40,3.90,297.43,-75.88,67.98,35.44,3.40
2019-03-14 00:00:00 UTC,0.45,0.77,0.88,130.38,-64.72,68.90,18.57,0.77,
2019-03-14 00:00:00 UTC,0.45,0.77,0.88,130.38,-64.72,68.90,18.57,0.77
2019-03-15 00:00:00 UTC,0.87,1.34,1.46,627.55,-81.37,71.32,18.07,1.32,
2019-03-15 00:00:00 UTC,0.87,1.34,1.46,627.55,-81.37,71.32,18.07,1.32
2019-03-16 00:00:00 UTC,0.57,0.96,1.04,1596.47,-82.72,76.72,13.26,0.96,
2019-03-16 00:00:00 UTC,0.57,0.96,1.04,1596.47,-82.72,76.72,13.26,0.96
2019-03-17 00:00:00 UTC,2.90,4.10,4.33,134.02,-73.19,77.15,22.35,4.10,
2019-03-17 00:00:00 UTC,2.90,4.10,4.33,134.02,-73.19,77.15,22.35,4.10
2019-03-18 00:00:00 UTC,9.50,13.04,13.62,250.51,-74.48,75.11,35.84,12.95,
2019-03-18 00:00:00 UTC,9.50,13.04,13.62,250.51,-74.48,75.11,35.84,12.95
2019-03-19 00:00:00 UTC,17.20,26.18,28.01,150.23,-63.04,68.71,52.63,24.38,
2019-03-19 00:00:00 UTC,17.20,26.18,28.01,150.23,-63.04,68.71,52.63,24.38
2019-03-20 00:00:00 UTC,6.63,9.29,9.72,279.64,-71.02,67.97,54.11,9.29,
2019-03-20 00:00:00 UTC,6.63,9.29,9.72,279.64,-71.02,67.97,54.11,9.29
2019-03-21 00:00:00 UTC,0.85,1.59,1.81,116.20,-71.49,64.21,52.03,1.59,
2019-03-21 00:00:00 UTC,0.85,1.59,1.81,116.20,-71.49,64.21,52.03,1.59
2019-03-22 00:00:00 UTC,2.12,3.34,3.63,374.71,-77.67,64.34,50.71,3.34,
2019-03-22 00:00:00 UTC,2.12,3.34,3.63,374.71,-77.67,64.34,50.71,3.34
2019-03-23 00:00:00 UTC,2.75,4.27,4.65,351.88,-65.32,66.59,53.84,4.27,
2019-03-23 00:00:00 UTC,2.75,4.27,4.65,351.88,-65.32,66.59,53.84,4.27
2019-03-24 00:00:00 UTC,7.19,12.05,13.03,419.47,-84.68,2055074.91,55.28,12.04,
2019-03-24 00:00:00 UTC,7.19,12.05,13.03,419.47,-84.68,2055074.91,55.28,12.04
2019-03-25 00:00:00 UTC,8.85,14.23,15.32,1688.67,-85.16,67.39,52.45,14.22,
2019-03-25 00:00:00 UTC,8.85,14.23,15.32,1688.67,-85.16,67.39,52.45,14.22
2019-03-26 00:00:00 UTC,8.42,13.46,14.51,2263.64,-86.44,68.12,48.63,13.42,
2019-03-26 00:00:00 UTC,8.42,13.46,14.51,2263.64,-86.44,68.12,48.63,13.42
2019-03-27 00:00:00 UTC,6.54,11.73,12.93,540.45,-85.68,67.72,55.51,11.73,
2019-03-27 00:00:00 UTC,6.54,11.73,12.93,540.45,-85.68,67.72,55.51,11.73
2019-03-28 00:00:00 UTC,1.69,2.79,3.05,1803.97,-86.43,66.72,58.64,2.79,
2019-03-28 00:00:00 UTC,1.69,2.79,3.05,1803.97,-86.43,66.72,58.64,2.79
2019-03-29 00:00:00 UTC,1.63,2.86,3.24,2380.82,-84.89,67.92,43.24,2.86,
2019-03-29 00:00:00 UTC,1.63,2.86,3.24,2380.82,-84.89,67.92,43.24,2.86
2019-03-30 00:00:00 UTC,4.03,5.82,6.25,198.65,-85.46,72.97,30.90,5.82,
2019-03-30 00:00:00 UTC,4.03,5.82,6.25,198.65,-85.46,72.97,30.90,5.82
2019-03-31 00:00:00 UTC,4.22,6.12,6.50,1079.83,-84.44,77.53,25.08,6.12,
2019-03-31 00:00:00 UTC,4.22,6.12,6.50,1079.83,-84.44,77.53,25.08,6.12
2019-04-01 00:00:00 UTC,7.20,10.23,10.80,1666.95,-85.31,77.83,26.41,10.20,
2019-04-01 00:00:00 UTC,7.20,10.23,10.80,1666.95,-85.31,77.83,26.41,10.20
2019-04-02 00:00:00 UTC,8.05,11.48,12.13,251.51,-84.38,71.77,50.39,11.43,
2019-04-02 00:00:00 UTC,8.05,11.48,12.13,251.51,-84.38,71.77,50.39,11.43
2019-04-03 00:00:00 UTC,1.08,1.83,2.02,1401.53,-84.44,68.43,51.69,1.83,
2019-04-03 00:00:00 UTC,1.08,1.83,2.02,1401.53,-84.44,68.43,51.69,1.83
2019-04-04 00:00:00 UTC,0.87,1.42,1.55,600.15,-84.61,67.41,52.63,1.40,
2019-04-04 00:00:00 UTC,0.87,1.42,1.55,600.15,-84.61,67.41,52.63,1.40
2019-04-05 00:00:00 UTC,1.25,2.29,2.58,402.15,-84.50,66.33,50.51,1.96,
2019-04-05 00:00:00 UTC,1.25,2.29,2.58,402.15,-84.50,66.33,50.51,1.96
2019-04-06 00:00:00 UTC,1.75,2.55,2.71,624.68,-84.63,67.71,55.05,2.55,
2019-04-06 00:00:00 UTC,1.75,2.55,2.71,624.68,-84.63,67.71,55.05,2.55
2019-04-07 00:00:00 UTC,5.48,8.56,9.14,155.61,-84.64,70.93,53.70,8.56,
2019-04-07 00:00:00 UTC,5.48,8.56,9.14,155.61,-84.64,70.93,53.70,8.56
2019-04-08 00:00:00 UTC,6.44,9.34,9.95,216.85,-84.74,74.44,46.48,9.33,
2019-04-08 00:00:00 UTC,6.44,9.34,9.95,216.85,-84.74,74.44,46.48,9.33
2019-04-09 00:00:00 UTC,5.86,9.48,10.29,175.39,-84.69,76.38,46.59,9.48,
2019-04-09 00:00:00 UTC,5.86,9.48,10.29,175.39,-84.69,76.38,46.59,9.48
2019-04-10 00:00:00 UTC,0.40,0.72,0.86,486.89,-83.53,72.59,23.64,0.71,
2019-04-10 00:00:00 UTC,0.40,0.72,0.86,486.89,-83.53,72.59,23.64,0.71
2019-04-11 00:00:00 UTC,1.84,3.08,3.45,352.73,-81.26,73.26,28.05,3.08,
2019-04-11 00:00:00 UTC,1.84,3.08,3.45,352.73,-81.26,73.26,28.05,3.08
2019-04-12 00:00:00 UTC,2.68,4.34,4.78,1096.40,-82.05,73.15,31.86,4.34,
2019-04-12 00:00:00 UTC,2.68,4.34,4.78,1096.40,-82.05,73.15,31.86,4.34
2019-04-13 00:00:00 UTC,4.51,7.42,8.16,386.15,-81.54,71.67,42.31,7.42,
2019-04-13 00:00:00 UTC,4.51,7.42,8.16,386.15,-81.54,71.67,42.31,7.42
2019-04-14 00:00:00 UTC,7.92,13.94,15.23,497.02,-80.47,68.11,55.70,13.93,
2019-04-14 00:00:00 UTC,7.92,13.94,15.23,497.02,-80.47,68.11,55.70,13.93
