created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,14.33,19.26,20.86,1938.88,-72.28,58.58,19.90,17.71,
2019-01-02 00:00:00 UTC,13.45,19.28,21.50,380.53,-42.74,57.34,21.53,18.33,
2019-01-03 00:00:00 UTC,8.68,11.86,13.03,263.57,-46.32,60.53,26.64,11.77,
2019-01-04 00:00:00 UTC,16.38,22.51,24.23,653.44,-57.43,60.37,41.59,21.91,
2019-01-05 00:00:00 UTC,31.40,43.24,46.22,1288.52,-73.47,61.66,45.87,37.23,
2019-01-06 00:00:00 UTC,16.69,22.90,24.28,2221.19,-76.28,61.18,55.48,21.46,
2019-01-07 00:00:00 UTC,4.84,7.44,9.02,559.54,-76.92,62.53,56.15,7.44,
2019-01-08 00:00:00 UTC,13.31,19.09,20.79,718.26,-75.83,65.52,50.46,18.56,
2019-01-09 00:00:00 UTC,24.70,37.08,40.26,484.91,-69.24,63.90,56.94,33.76,
2019-01-10 00:00:00 UTC,18.35,27.86,30.74,479.34,-59.53,64.20,57.22,23.89,
2019-01-11 00:00:00 UTC,21.03,39.25,45.70,435.43,-47.26,64.78,53.96,31.84,
2019-01-12 00:00:00 UTC,12.11,20.05,21.98,1080.36,-49.07,63.31,57.84,17.57,
2019-01-13 00:00:00 UTC,17.76,24.11,25.81,775.05,-35.04,61.38,54.53,22.03,
2019-01-14 00:00:00 UTC,12.32,16.83,18.15,872.48,-74.24,61.74,53.40,16.35,
2019-01-15 00:00:00 UTC,9.78,13.72,14.64,572.00,-46.89,62.56,58.89,13.72,
2019-01-16 00:00:00 UTC,4.81,6.63,7.14,566.23,-44.73,63.36,65.01,6.63,
2019-01-17 00:00:00 UTC,6.67,10.27,11.54,509.57,-31.72,67.78,66.65,8.90,
2019-01-18 00:00:00 UTC,6.59,13.08,17.24,363.44,-51.25,67.53,59.04,12.96,
2019-01-19 00:00:00 UTC,8.13,13.29,16.11,357.50,-43.67,66.60,51.69,13.28,
2019-01-20 00:00:00 UTC,6.93,9.86,11.16,969.17,-61.66,68.62,45.40,9.73,
2019-01-21 00:00:00 UTC,0.59,1.41,2.24,699.59,-45.26,64.02,47.62,1.41,
2019-01-22 00:00:00 UTC,0.81,1.16,1.40,283.68,-45.48,63.96,26.13,1.16,
2019-01-23 00:00:00 UTC,9.04,12.51,13.93,573.80,-50.58,61.09,30.19,12.51,
2019-01-24 00:00:00 UTC,10.67,15.06,16.45,768.97,-41.26,65.20,39.66,14.89,
2019-01-25 00:00:00 UTC,8.05,11.10,12.21,837.48,-46.14,66.65,32.28,11.10,
2019-01-26 00:00:00 UTC,8.15,11.27,12.46,641.76,-43.17,67.51,33.48,11.25,
2019-01-27 00:00:00 UTC,18.11,24.89,26.97,1701.85,-54.81,68.29,31.41,23.59,
2019-01-28 00:00:00 UTC,38.67,54.86,58.53,2794.89,-63.16,66.54,46.02,43.47,
2019-01-29 00:00:00 UTC,37.52,53.09,56.12,844.15,-58.82,68.66,53.36,40.22,
2019-01-30 00:00:00 UTC,20.67,30.32,32.96,593.69,-37.39,66.28,57.79,27.87,
2019-01-31 00:00:00 UTC,16.18,24.72,27.03,549.87,-47.04,65.45,58.69,23.37,
2019-02-01 00:00:00 UTC,12.32,17.62,18.82,650.55,-45.96,65.21,51.79,17.26,
2019-02-02 00:00:00 UTC,4.92,6.94,7.62,588.10,-46.39,63.99,60.16,6.94,
2019-02-03 00:00:00 UTC,2.74,4.64,6.00,576.15,-45.87,63.58,57.87,4.63,
2019-02-04 00:00:00 UTC,1.85,3.19,4.20,482.85,-55.96,64.08,57.92,3.19,
2019-02-05 00:00:00 UTC,0.40,0.84,1.44,1413.86,-41.85,59.99,51.90,0.84,
2019-02-06 00:00:00 UTC,0.22,0.44,0.64,682.20,-38.85,56.21,32.26,0.44,
2019-02-07 00:00:00 UTC,4.69,6.22,6.80,307.22,-56.16,58.21,29.48,6.22,
2019-02-08 00:00:00 UTC,11.59,16.27,17.61,603.33,-38.10,59.35,36.03,16.27,
2019-02-09 00:00:00 UTC,16.91,24.94,27.53,1152.77,-36.62,59.44,49.35,21.77,
2019-02-10 00:00:00 UTC,9.05,12.21,13.30,585.22,-25.48,61.28,51.76,11.99,
2019-02-11 00:00:00 UTC,1.50,2.16,2.56,322.23,-43.77,57.81,33.02,2.16,
2019-02-12 00:00:00 UTC,7.17,9.91,10.93,1013.81,-77.71,60.70,35.00,9.90,
2019-02-13 00:00:00 UTC,9.05,12.66,13.91,473.85,-76.65,63.36,39.31,12.54,
2019-02-14 00:00:00 UTC,7.55,11.01,12.24,484.27,-75.02,63.40,65.62,9.91,
2019-02-15 00:00:00 UTC,2.25,4.08,5.51,1654.00,-73.97,64.60,51.53,4.04,
2019-02-16 00:00:00 UTC,0.51,0.87,1.28,3094.56,-74.35,60.38,47.31,0.87,
2019-02-17 00:00:00 UTC,0.35,0.99,1.70,1926.11,-75.53,59.17,46.56,0.99,
2019-02-18 00:00:00 UTC,1.03,1.51,1.87,789.66,-76.94,57.70,32.47,1.51,
2019-02-19 00:00:00 UTC,3.15,4.07,4.39,1186.13,-59.73,58.19,26.55,4.07,
2019-02-20 00:00:00 UTC,7.62,10.16,10.98,991.34,-39.60,59.02,37.23,10.16,
2019-02-21 00:00:00 UTC,5.80,8.58,9.46,929.72,-61.19,57.96,45.34,8.58,
2019-02-22 00:00:00 UTC,7.69,10.48,11.41,509.46,-38.77,56.12,37.65,10.24,
2019-02-23 00:00:00 UTC,10.70,14.48,15.75,885.25,-46.74,57.15,38.80,14.41,
2019-02-24 00:00:00 UTC,10.99,14.98,16.05,1048.23,-49.82,61.01,41.77,14.93,
2019-02-25 00:00:00 UTC,14.27,19.24,20.64,850.40,-45.89,62.70,48.85,18.97,
2019-02-26 00:00:00 UTC,14.63,21.95,24.23,1294.94,-59.91,63.72,54.41,21.43,
2019-02-27 00:00:00 UTC,9.39,14.58,15.80,775.25,-54.37,64.96,51.91,13.63,
2019-02-28 00:00:00 UTC,12.47,21.85,24.28,1013.72,-52.80,2970307.33,54.84,20.34,
2019-03-01 00:00:00 UTC,6.99,11.43,12.34,340.13,-53.48,67.97,55.11,11.30,
