created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,,,,,,,,,
2019-01-02 00:00:00 UTC,,,,,,,,,
2019-01-03 00:00:00 UTC,,,,,,,,,
2019-01-04 00:00:00 UTC,,,,,,,,,
2019-01-05 00:00:00 UTC,,,,,,,,,
2019-01-06 00:00:00 UTC,,,,,,,,,
2019-01-07 00:00:00 UTC,,,,,,,,,
2019-01-08 00:00:00 UTC,,,,,,,,,
2019-01-09 00:00:00 UTC,24.66,34.51,37.36,148.58,-75.39,68.26,43.32,30.94,
2019-01-10 00:00:00 UTC,23.96,35.18,38.73,332.44,-76.70,61.42,55.86,32.43,
2019-01-11 00:00:00 UTC,23.91,39.38,45.09,1181.77,-77.29,60.81,58.31,33.32,
2019-01-12 00:00:00 UTC,12.54,19.82,22.37,1176.07,-77.82,60.51,59.36,17.29,
2019-01-13 00:00:00 UTC,10.58,13.89,14.81,1547.23,-77.65,58.79,53.44,13.77,
2019-01-14 00:00:00 UTC,9.59,12.91,13.83,1128.10,-77.07,59.86,53.49,12.85,
2019-01-15 00:00:00 UTC,9.13,12.88,13.87,782.18,-81.17,59.41,62.77,12.86,
2019-01-16 00:00:00 UTC,3.06,4.49,4.90,722.68,-78.74,59.83,69.58,4.36,
2019-01-17 00:00:00 UTC,5.05,8.09,8.97,193.72,-74.44,64.86,71.23,8.09,
2019-01-18 00:00:00 UTC,8.15,13.43,15.45,708.81,-75.77,64.71,61.83,13.42,
2019-01-19 00:00:00 UTC,8.03,12.05,13.48,2143.23,-76.25,65.29,50.84,11.90,
2019-01-20 00:00:00 UTC,8.89,11.97,12.85,544.09,-76.11,68.35,43.70,11.14,
2019-01-21 00:00:00 UTC,3.13,4.81,5.53,596.61,-77.65,1986634.57,46.92,4.79,
2019-01-22 00:00:00 UTC,2.15,3.03,3.35,686.11,-76.20,60.93,30.97,3.03,
2019-01-23 00:00:00 UTC,7.11,9.44,10.11,1050.24,-74.91,60.33,28.85,9.37,
2019-01-24 00:00:00 UTC,8.06,11.07,11.99,2489.96,-76.44,63.11,34.29,11.06,
2019-01-25 00:00:00 UTC,4.37,6.05,6.61,1733.51,-76.25,66.15,26.58,6.02,
2019-01-26 00:00:00 UTC,6.92,9.28,9.99,654.81,-75.86,67.03,26.56,9.13,
2019-01-27 00:00:00 UTC,8.95,11.90,12.75,380.90,-76.52,68.26,25.63,11.23,
2019-01-28 00:00:00 UTC,19.89,27.86,30.33,635.79,-76.40,67.04,32.39,26.07,
2019-01-29 00:00:00 UTC,56.16,81.35,89.05,713.54,-78.78,70.07,41.47,55.90,
2019-01-30 00:00:00 UTC,24.43,36.43,39.72,1924.89,-82.09,67.45,53.86,32.69,
2019-01-31 00:00:00 UTC,23.01,36.79,41.02,759.33,-82.32,63.21,61.01,32.61,
2019-02-01 00:00:00 UTC,8.57,12.21,13.21,766.94,-80.41,61.62,55.09,12.17,
2019-02-02 00:00:00 UTC,4.12,6.05,6.58,1916.23,-75.97,61.05,63.78,6.05,
2019-02-03 00:00:00 UTC,8.53,12.54,13.79,3356.34,-75.16,59.42,67.04,12.42,
2019-02-04 00:00:00 UTC,4.67,7.10,7.95,4797.60,-75.82,60.34,66.18,7.10,
2019-02-05 00:00:00 UTC,1.56,2.59,3.07,6236.17,-80.25,58.19,59.40,2.58,
2019-02-06 00:00:00 UTC,1.08,1.65,1.86,312.86,-79.84,55.71,35.81,1.65,
2019-02-07 00:00:00 UTC,4.27,5.88,6.34,618.47,-77.37,57.25,32.55,5.88,
2019-02-08 00:00:00 UTC,9.87,13.99,15.18,1099.21,-78.12,59.81,34.61,13.96,
2019-02-09 00:00:00 UTC,14.50,20.33,22.00,500.31,-76.86,59.27,48.34,19.92,
2019-02-10 00:00:00 UTC,6.73,9.19,9.94,443.71,-76.52,59.10,54.11,9.06,
2019-02-11 00:00:00 UTC,1.32,1.97,2.20,778.53,-77.35,57.26,37.00,1.97,
2019-02-12 00:00:00 UTC,6.36,8.87,9.56,565.04,-75.41,60.23,33.76,8.67,
2019-02-13 00:00:00 UTC,8.61,11.59,12.49,1012.70,-76.18,63.05,32.42,11.43,
2019-02-14 00:00:00 UTC,3.09,4.76,5.35,692.17,-75.19,61.37,68.36,4.76,
2019-02-15 00:00:00 UTC,4.14,6.49,7.44,754.42,-80.49,62.40,54.50,6.48,
2019-02-16 00:00:00 UTC,1.02,1.77,2.10,2193.19,-78.29,60.58,48.96,1.77,
2019-02-17 00:00:00 UTC,1.40,2.50,3.02,3634.33,-76.71,58.93,46.24,2.50,
2019-02-18 00:00:00 UTC,1.70,2.55,2.83,1429.58,-78.31,58.80,35.86,2.55,
2019-02-19 00:00:00 UTC,2.87,3.94,4.26,715.90,-78.18,58.63,29.75,3.92,
2019-02-20 00:00:00 UTC,7.64,10.11,10.76,710.39,-77.88,56.46,40.56,10.10,
2019-02-21 00:00:00 UTC,9.20,12.71,13.61,1691.75,-83.67,56.87,51.56,12.71,
2019-02-22 00:00:00 UTC,7.31,9.94,10.71,516.49,-82.27,57.09,41.75,9.94,
2019-02-23 00:00:00 UTC,7.60,10.24,10.96,919.88,-80.29,60.27,31.30,10.23,
2019-02-24 00:00:00 UTC,16.44,22.08,23.52,1466.55,-77.85,63.40,35.84,21.81,
2019-02-25 00:00:00 UTC,14.98,20.11,21.58,2213.80,-77.27,65.34,39.49,20.05,
2019-02-26 00:00:00 UTC,23.32,32.71,35.51,625.64,-78.20,64.78,47.72,29.76,
2019-02-27 00:00:00 UTC,20.58,32.06,35.78,894.65,-78.87,66.71,48.64,29.86,
2019-02-28 00:00:00 UTC,18.55,30.03,34.15,827.12,-76.90,67.41,53.30,27.52,
2019-03-01 00:00:00 UTC,17.35,30.19,34.95,1055.90,-77.10,69.05,54.01,27.69,
