created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-25 00:00:00 UTC,2.69,8.00,11.65,42.34,-52.78,78.32,19.32,5.51,
2019-01-26 00:00:00 UTC,20.64,62.63,93.99,32.00,-53.00,78.71,18.83,42.66,
2019-01-27 00:00:00 UTC,,,,,,,,,
2019-01-28 00:00:00 UTC,,,,,,,,,
2019-01-29 00:00:00 UTC,,,,,,,,,
2019-01-30 00:00:00 UTC,,,,,,,,,
2019-01-31 00:00:00 UTC,,,,,,,,,
2019-02-01 00:00:00 UTC,,,,,,,,,
2019-02-02 00:00:00 UTC,,,,,,,,,
2019-02-03 00:00:00 UTC,,,,,,,,,
2019-02-04 00:00:00 UTC,,,,,,,,,
2019-02-05 00:00:00 UTC,,,,,,,,,
2019-02-06 00:00:00 UTC,,,,,,,,,
2019-02-07 00:00:00 UTC,,,,,,,,,
2019-02-08 00:00:00 UTC,,,,,,,,,
2019-02-09 00:00:00 UTC,,,,,,,,,
2019-02-10 00:00:00 UTC,,,,,,,,,
2019-02-11 00:00:00 UTC,,,,,,,,,
2019-02-12 00:00:00 UTC,,,,,,,,,
2019-02-13 00:00:00 UTC,,,,,,,,,
2019-02-14 00:00:00 UTC,,,,,,,,,
2019-02-15 00:00:00 UTC,,,,,,,,,
2019-02-16 00:00:00 UTC,,,,,,,,,
2019-02-17 00:00:00 UTC,,,,,,,,,
2019-02-18 00:00:00 UTC,,,,,,,,,
2019-02-19 00:00:00 UTC,,,,,,,,,
2019-02-20 00:00:00 UTC,,,,,,,,,
2019-02-21 00:00:00 UTC,,,,,,,,,
2019-02-22 00:00:00 UTC,,,,,,,,,
2019-02-23 00:00:00 UTC,5.89,7.96,8.28,118.89,-53.38,68.07,17.96,7.96,
2019-02-24 00:00:00 UTC,9.98,13.82,14.55,453.91,-29.23,56.99,35.34,13.82,
2019-02-25 00:00:00 UTC,11.75,17.12,18.10,641.69,-57.12,60.53,38.92,16.84,
2019-02-26 00:00:00 UTC,16.84,24.74,26.08,276.73,0.80,60.87,46.36,22.48,
2019-02-27 00:00:00 UTC,21.40,37.54,39.92,927.21,-55.74,63.00,51.04,34.06,
2019-02-28 00:00:00 UTC,18.64,34.30,36.77,727.59,-58.07,65.74,55.29,30.72,
2019-03-01 00:00:00 UTC,13.67,25.92,27.71,814.04,-62.62,66.07,55.99,24.32,
2019-03-02 00:00:00 UTC,9.96,17.26,18.39,1175.01,-67.06,63.48,60.96,17.21,
2019-03-03 00:00:00 UTC,2.17,3.82,4.33,251.25,11.59,64.76,61.57,3.82,
2019-03-04 00:00:00 UTC,3.27,4.73,5.01,527.68,-26.87,63.28,54.59,4.73,
2019-03-05 00:00:00 UTC,11.75,17.86,18.79,1875.33,-64.42,62.18,52.03,17.30,
2019-03-06 00:00:00 UTC,7.20,10.76,11.42,3315.33,-64.22,61.27,63.15,10.71,
2019-03-07 00:00:00 UTC,3.20,5.04,5.57,4755.99,-64.22,62.36,62.43,5.04,
2019-03-08 00:00:00 UTC,0.51,0.96,1.21,6195.33,-64.20,59.22,48.50,0.96,
2019-03-09 00:00:00 UTC,3.21,4.56,5.01,4170.87,-23.34,56.73,49.71,4.56,
2019-03-10 00:00:00 UTC,4.60,6.44,6.89,415.83,26.62,57.29,47.50,6.42
2019-03-11 00:00:00 UTC,6.84,9.22,9.69,509.96,25.94,58.11,49.02,9.14,
2019-03-11 00:00:00 UTC,6.84,9.22,9.69,509.96,25.94,58.11,49.02,9.14
2019-03-12 00:00:00 UTC,2.24,3.10,3.30,509.48,27.50,66.51,34.84,3.10,
2019-03-12 00:00:00 UTC,2.24,3.10,3.30,509.48,27.50,66.51,34.84,3.10
2019-03-13 00:00:00 UTC,1.63,2.98,3.67,358.34,27.15,63.55,34.95,2.98,
2019-03-13 00:00:00 UTC,1.63,2.98,3.67,358.34,27.15,63.55,34.95,2.98
2019-03-14 00:00:00 UTC,1.22,1.91,2.17,1312.33,-48.14,62.53,27.58,1.91,
2019-03-14 00:00:00 UTC,1.22,1.91,2.17,1312.33,-48.14,62.53,27.58,1.91
2019-03-15 00:00:00 UTC,1.54,2.24,2.49,2146.72,-47.21,63.66,24.28,2.24,
2019-03-15 00:00:00 UTC,1.54,2.24,2.49,2146.72,-47.21,63.66,24.28,2.24
2019-03-16 00:00:00 UTC,0.71,0.99,1.10,711.09,-34.54,72.74,12.19,0.96,
2019-03-16 00:00:00 UTC,0.71,0.99,1.10,711.09,-34.54,72.74,12.19,0.96
2019-03-17 00:00:00 UTC,4.25,5.79,6.20,1058.38,14.55,72.85,23.81,5.79,
2019-03-17 00:00:00 UTC,4.25,5.79,6.20,1058.38,14.55,72.85,23.81,5.79
2019-03-18 00:00:00 UTC,7.51,10.26,10.86,2485.33,-60.91,73.47,31.46,10.26,
2019-03-18 00:00:00 UTC,7.51,10.26,10.86,2485.33,-60.91,73.47,31.46,10.26
2019-03-19 00:00:00 UTC,20.91,31.62,33.21,3925.33,-61.65,68.63,43.75,28.74,
2019-03-19 00:00:00 UTC,20.91,31.62,33.21,3925.33,-61.65,68.63,43.75,28.74
2019-03-20 00:00:00 UTC,9.54,13.13,13.75,5366.00,-60.58,63.71,54.20,13.09,
2019-03-20 00:00:00 UTC,9.54,13.13,13.75,5366.00,-60.58,63.71,54.20,13.09
2019-03-21 00:00:00 UTC,3.68,5.61,6.15,540.74,23.29,60.59,55.74,5.61,
2019-03-21 00:00:00 UTC,3.68,5.61,6.15,540.74,23.29,60.59,55.74,5.61
2019-03-22 00:00:00 UTC,5.62,8.25,8.85,257.01,15.45,59.83,55.16,8.24,
2019-03-22 00:00:00 UTC,5.62,8.25,8.85,257.01,15.45,59.83,55.16,8.24
2019-03-23 00:00:00 UTC,7.84,12.13,12.96,408.07,25.90,63.25,52.45,12.13,
2019-03-23 00:00:00 UTC,7.84,12.13,12.96,408.07,25.90,63.25,52.45,12.13
2019-03-24 00:00:00 UTC,9.20,14.72,15.61,362.62,23.95,63.94,52.83,14.71,
2019-03-24 00:00:00 UTC,9.20,14.72,15.61,362.62,23.95,63.94,52.83,14.71
2019-03-25 00:00:00 UTC,13.11,20.66,21.93,736.35,-33.75,66.94,46.68,20.45,
2019-03-25 00:00:00 UTC,13.11,20.66,21.93,736.35,-33.75,66.94,46.68,20.45
2019-03-26 00:00:00 UTC,11.54,17.72,18.88,511.15,26.30,67.45,40.49,17.64,
2019-03-26 00:00:00 UTC,11.54,17.72,18.88,511.15,26.30,67.45,40.49,17.64
2019-03-27 00:00:00 UTC,9.61,17.77,19.30,891.76,-51.41,66.42,47.23,17.49,
2019-03-27 00:00:00 UTC,9.61,17.77,19.30,891.76,-51.41,66.42,47.23,17.49
2019-03-28 00:00:00 UTC,2.94,3.93,4.21,943.77,-32.88,66.21,50.22,3.89,
2019-03-28 00:00:00 UTC,2.94,3.93,4.21,943.77,-32.88,66.21,50.22,3.89
2019-03-29 00:00:00 UTC,2.30,3.66,4.21,1037.55,-31.35,65.02,42.71,3.65,
2019-03-29 00:00:00 UTC,2.30,3.66,4.21,1037.55,-31.35,65.02,42.71,3.65
2019-03-30 00:00:00 UTC,5.23,6.84,7.31,398.83,-29.50,68.49,30.59,6.69,
2019-03-30 00:00:00 UTC,5.23,6.84,7.31,398.83,-29.50,68.49,30.59,6.69
2019-03-31 00:00:00 UTC,4.15,5.64,6.03,628.79,-28.41,71.87,26.56,5.64,
2019-03-31 00:00:00 UTC,4.15,5.64,6.03,628.79,-28.41,71.87,26.56,5.64
2019-04-01 00:00:00 UTC,4.70,6.24,6.64,614.39,-48.58,74.94,25.66,6.24,
2019-04-01 00:00:00 UTC,4.70,6.24,6.64,614.39,-48.58,74.94,25.66,6.24
2019-04-02 00:00:00 UTC,8.12,11.13,11.83,1370.46,-37.27,70.84,37.78,11.12,
2019-04-02 00:00:00 UTC,8.12,11.13,11.83,1370.46,-37.27,70.84,37.78,11.12
2019-04-03 00:00:00 UTC,3.80,5.42,5.84,479.03,24.91,66.49,47.81,5.42,
2019-04-03 00:00:00 UTC,3.80,5.42,5.84,479.03,24.91,66.49,47.81,5.42
2019-04-04 00:00:00 UTC,5.60,9.21,9.76,1021.82,-25.04,64.66,52.93,9.17,
2019-04-04 00:00:00 UTC,5.60,9.21,9.76,1021.82,-25.04,64.66,52.93,9.17
2019-04-05 00:00:00 UTC,1.23,1.86,2.07,1602.58,-33.57,64.84,48.21,1.84,
2019-04-05 00:00:00 UTC,1.23,1.86,2.07,1602.58,-33.57,64.84,48.21,1.84
2019-04-06 00:00:00 UTC,4.94,6.69,6.99,1064.72,-55.21,61.90,46.98,6.69,
2019-04-06 00:00:00 UTC,4.94,6.69,6.99,1064.72,-55.21,61.90,46.98,6.69
2019-04-07 00:00:00 UTC,5.27,7.19,7.60,487.37,16.60,57.34,37.09,7.17,
2019-04-07 00:00:00 UTC,5.27,7.19,7.60,487.37,16.60,57.34,37.09,7.17
2019-04-08 00:00:00 UTC,6.03,7.86,8.28,284.30,5.91,77.10,34.39,7.86,
2019-04-08 00:00:00 UTC,6.03,7.86,8.28,284.30,5.91,77.10,34.39,7.86
2019-04-09 00:00:00 UTC,6.58,9.87,10.62,298.75,26.97,75.71,38.51,9.87,
2019-04-09 00:00:00 UTC,6.58,9.87,10.62,298.75,26.97,75.71,38.51,9.87
2019-04-10 00:00:00 UTC,0.16,0.23,0.35,731.12,-2.86,69.44,20.68,0.23,
2019-04-10 00:00:00 UTC,0.16,0.23,0.35,731.12,-2.86,69.44,20.68,0.23
2019-04-11 00:00:00 UTC,1.69,2.42,2.69,704.60,2.83,71.79,20.08,2.42,
2019-04-11 00:00:00 UTC,1.69,2.42,2.69,704.60,2.83,71.79,20.08,2.42
2019-04-12 00:00:00 UTC,2.06,2.95,3.21,146.10,25.55,71.06,26.09,2.95,
2019-04-12 00:00:00 UTC,2.06,2.95,3.21,146.10,25.55,71.06,26.09,2.95
2019-04-13 00:00:00 UTC,3.73,5.23,5.74,685.17,26.59,72.12,31.24,5.23,
