created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,47.97,66.42,70.79,239.16,-70.49,58.00,21.38,47.36,
2019-01-02 00:00:00 UTC,29.97,41.83,44.85,289.35,-71.21,59.01,24.57,31.52,
2019-01-03 00:00:00 UTC,8.83,11.69,12.47,573.93,-76.46,64.90,22.29,11.51,
2019-01-04 00:00:00 UTC,16.47,23.48,25.33,654.59,-73.62,62.73,36.52,21.85,
2019-01-05 00:00:00 UTC,31.86,45.52,48.80,523.31,-72.18,60.37,44.14,40.03,
2019-01-06 00:00:00 UTC,8.92,13.38,14.59,534.31,-69.22,65.38,47.66,12.43,
2019-01-07 00:00:00 UTC,5.14,7.53,8.25,444.96,-75.03,64.36,52.32,7.50,
2019-01-08 00:00:00 UTC,13.35,19.14,20.60,205.17,-70.66,64.75,52.53,18.43,
2019-01-09 00:00:00 UTC,20.99,30.26,32.69,267.92,-72.30,64.01,50.53,28.88,
2019-01-10 00:00:00 UTC,24.49,37.70,41.27,612.25,-75.85,65.34,53.09,33.99,
2019-01-11 00:00:00 UTC,20.78,35.86,41.09,978.62,-67.74,65.10,52.64,31.45,
2019-01-12 00:00:00 UTC,7.23,11.55,12.86,253.99,-70.18,65.84,53.49,10.38,
2019-01-13 00:00:00 UTC,16.43,22.43,23.83,817.24,-77.52,60.39,54.42,21.52,
2019-01-14 00:00:00 UTC,8.35,11.47,12.24,494.74,-74.98,62.20,53.06,11.33,
2019-01-15 00:00:00 UTC,9.10,12.79,13.63,1229.80,-75.68,61.19,60.57,12.79,
2019-01-16 00:00:00 UTC,2.72,3.83,4.13,425.16,-66.07,63.77,64.37,3.83,
2019-01-17 00:00:00 UTC,4.71,7.36,8.07,380.42,-70.09,67.55,66.93,7.36,
2019-01-18 00:00:00 UTC,8.30,13.91,15.80,440.29,-71.87,66.35,60.57,13.91,
2019-01-19 00:00:00 UTC,10.49,16.01,17.85,177.85,-72.52,69.00,48.48,15.26,
2019-01-20 00:00:00 UTC,10.72,15.02,16.20,143.28,-72.03,71.40,40.84,14.04,
2019-01-21 00:00:00 UTC,0.99,1.69,1.98,185.08,-74.15,65.69,43.98,1.69,
2019-01-22 00:00:00 UTC,2.93,3.92,4.20,186.31,-76.78,48.35,20.67,3.92,
2019-01-23 00:00:00 UTC,8.93,11.81,12.58,749.80,-70.62,66.72,25.08,11.78,
2019-01-24 00:00:00 UTC,11.69,16.51,17.78,745.76,-58.48,66.78,34.43,15.49,
2019-01-25 00:00:00 UTC,8.62,11.59,12.34,310.95,-55.16,67.09,30.94,11.55,
2019-01-26 00:00:00 UTC,9.26,12.86,13.84,148.84,-75.84,69.61,28.38,12.68,
2019-01-27 00:00:00 UTC,12.30,17.18,18.39,377.29,-77.33,73.23,24.08,14.53,
2019-01-28 00:00:00 UTC,25.43,39.21,43.21,671.34,-80.47,71.86,29.31,33.01,
2019-01-29 00:00:00 UTC,51.69,77.12,83.58,1235.68,-82.02,70.99,44.39,53.72,
2019-01-30 00:00:00 UTC,18.75,29.23,31.86,2548.95,-80.06,68.98,52.36,27.55,
2019-01-31 00:00:00 UTC,17.05,27.90,30.71,185.31,-78.44,66.39,56.66,26.56,
2019-02-01 00:00:00 UTC,11.74,16.94,18.24,195.63,-78.84,63.62,53.47,16.65,
2019-02-02 00:00:00 UTC,3.66,5.40,5.86,133.20,-79.35,64.39,60.16,5.28,
2019-02-03 00:00:00 UTC,9.22,13.09,14.10,454.98,-78.28,61.75,61.96,13.09,
2019-02-04 00:00:00 UTC,4.72,6.94,7.62,319.77,-79.04,63.14,61.16,6.94,
2019-02-05 00:00:00 UTC,1.12,1.73,1.99,332.33,-79.00,61.22,55.65,1.73,
2019-02-06 00:00:00 UTC,0.85,1.27,1.47,695.57,-78.13,54.72,35.40,1.27,
2019-02-07 00:00:00 UTC,4.47,5.98,6.36,825.36,-75.25,59.93,29.51,5.98,
2019-02-08 00:00:00 UTC,11.82,16.74,17.97,716.76,-75.90,62.54,33.97,16.73,
2019-02-09 00:00:00 UTC,12.82,18.28,19.58,204.16,-74.12,61.17,44.99,18.18,
2019-02-10 00:00:00 UTC,8.63,11.73,12.51,119.85,-79.78,61.01,53.01,11.68,
2019-02-11 00:00:00 UTC,1.74,2.39,2.63,136.10,-74.73,58.17,37.12,2.39,
2019-02-12 00:00:00 UTC,7.58,10.63,11.43,925.34,-79.68,61.79,33.55,10.59,
2019-02-13 00:00:00 UTC,8.83,12.24,13.11,2327.00,-78.25,64.75,36.14,12.23,
2019-02-14 00:00:00 UTC,3.90,5.73,6.26,3407.72,-79.67,64.40,62.83,5.39,
2019-02-15 00:00:00 UTC,4.65,6.93,7.67,395.08,-81.15,64.81,51.20,6.91,
2019-02-16 00:00:00 UTC,0.89,1.44,1.68,703.05,-75.86,61.44,47.75,1.44,
2019-02-17 00:00:00 UTC,2.03,3.19,3.64,170.17,-77.05,60.75,45.74,3.19,
2019-02-18 00:00:00 UTC,1.70,2.33,2.55,555.52,-79.21,59.23,34.03,2.33,
