created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,,,,,,,,,
2019-01-02 00:00:00 UTC,,,,,,,,,
2019-01-03 00:00:00 UTC,,,,,,,,,
2019-01-04 00:00:00 UTC,,,,,,,,,
2019-01-05 00:00:00 UTC,,,,,,,,,
2019-01-06 00:00:00 UTC,,,,,,,,,
2019-01-07 00:00:00 UTC,,,,,,,,,
2019-01-08 00:00:00 UTC,,,,,,,,,
2019-01-09 00:00:00 UTC,,,,,,,,,
2019-01-10 00:00:00 UTC,,,,,,,,,
2019-01-11 00:00:00 UTC,,,,,,,,,
2019-01-12 00:00:00 UTC,,,,,,,,,
2019-01-13 00:00:00 UTC,,,,,,,,,
2019-01-14 00:00:00 UTC,,,,,,,,,
2019-01-15 00:00:00 UTC,3.06,4.58,5.14,41.50,-50.44,-223.00,43.67,4.58,
2019-01-16 00:00:00 UTC,2.67,3.72,4.10,120.76,-2.03,-223.00,52.46,3.72,
2019-01-17 00:00:00 UTC,5.36,8.08,8.84,229.32,-0.90,-223.00,52.39,8.08,
2019-01-18 00:00:00 UTC,7.82,13.39,15.64,166.49,-32.82,-221.43,47.10,13.39,
2019-01-19 00:00:00 UTC,11.08,16.74,19.02,91.79,-60.07,-211.52,36.79,16.31,
2019-01-20 00:00:00 UTC,10.60,14.68,16.03,151.33,-58.83,-223.00,33.93,14.03,
2019-01-21 00:00:00 UTC,1.79,3.01,3.70,117.64,-22.67,-217.37,37.07,3.01,
2019-01-22 00:00:00 UTC,6.05,7.95,8.63,308.43,-62.84,-223.00,26.61,7.88,
2019-01-23 00:00:00 UTC,12.92,17.20,18.74,127.88,-24.85,-223.00,27.19,17.19,
2019-01-24 00:00:00 UTC,11.77,16.13,17.58,95.07,-41.41,-223.00,30.79,16.04,
2019-01-25 00:00:00 UTC,9.94,13.51,14.75,89.65,-56.76,-223.00,27.45,13.45,
2019-01-26 00:00:00 UTC,11.97,16.52,18.03,80.95,-55.50,-223.00,27.00,15.95,
2019-01-27 00:00:00 UTC,19.40,27.12,29.71,68.18,-39.25,-223.00,23.77,22.96,
2019-01-28 00:00:00 UTC,29.65,43.07,47.71,159.05,-4.60,-223.00,29.71,36.71,
2019-01-29 00:00:00 UTC,60.49,86.31,92.97,120.52,12.19,-223.00,37.67,59.29,
2019-01-30 00:00:00 UTC,20.99,31.28,33.82,129.83,7.21,-174.10,34.47,29.59,
2019-01-31 00:00:00 UTC,19.82,31.22,34.49,99.78,8.05,-223.00,46.81,29.28,
2019-02-01 00:00:00 UTC,12.76,18.11,19.60,170.65,14.23,-223.00,42.05,17.89,
2019-02-02 00:00:00 UTC,5.18,7.50,8.08,109.49,6.33,-223.00,47.07,7.50,
2019-02-03 00:00:00 UTC,7.57,10.68,11.77,251.92,-16.38,-223.00,48.12,10.67,
2019-02-04 00:00:00 UTC,5.80,8.39,9.33,256.95,16.37,-223.00,48.15,8.39,
2019-02-05 00:00:00 UTC,1.30,2.06,2.47,183.95,6.78,-223.00,42.46,2.06,
2019-02-06 00:00:00 UTC,0.77,1.15,1.33,399.08,-61.85,-223.00,29.05,1.15,
2019-02-07 00:00:00 UTC,5.49,7.41,8.05,222.04,-62.34,-219.06,25.22,7.41,
2019-02-08 00:00:00 UTC,14.07,19.42,21.15,530.53,-61.70,-223.00,30.65,19.35,
2019-02-09 00:00:00 UTC,15.94,22.06,23.96,147.41,-61.54,-223.00,38.41,21.78,
2019-02-10 00:00:00 UTC,11.10,14.88,16.05,281.83,-61.78,-223.00,42.02,14.60,
2019-02-11 00:00:00 UTC,2.44,3.50,3.98,147.30,-62.38,-223.00,30.15,3.42,
2019-02-12 00:00:00 UTC,9.16,12.82,14.09,290.21,-62.61,-218.03,28.60,12.72,
2019-02-13 00:00:00 UTC,13.41,18.93,20.92,142.31,-62.88,-209.54,28.90,17.42,
2019-02-14 00:00:00 UTC,3.60,5.33,5.92,344.88,-62.01,-223.00,50.97,5.33,
2019-02-15 00:00:00 UTC,4.84,7.46,8.72,448.37,-61.32,-223.00,41.99,7.45,
2019-02-16 00:00:00 UTC,0.86,1.47,1.82,262.96,-61.39,-223.00,37.81,1.47,
2019-02-17 00:00:00 UTC,1.55,2.63,3.22,390.83,-61.23,-223.00,36.39,2.63,
2019-02-18 00:00:00 UTC,2.08,2.89,3.27,538.59,-61.44,-223.00,29.22,2.87,
2019-02-19 00:00:00 UTC,4.19,5.46,5.90,624.33,-61.39,-223.00,26.48,5.46,
2019-02-20 00:00:00 UTC,10.16,13.67,14.79,351.63,-58.37,-223.00,32.31,13.30,
2019-02-21 00:00:00 UTC,8.73,12.21,13.23,401.86,-59.11,-223.00,38.28,12.21,
2019-02-22 00:00:00 UTC,10.05,13.30,14.31,239.74,-57.98,-223.00,32.91,13.28,
2019-02-23 00:00:00 UTC,10.04,13.40,14.44,180.01,-62.98,-223.00,28.45,13.34,
2019-02-24 00:00:00 UTC,16.88,23.07,24.77,198.06,-62.24,-223.00,32.53,22.96,
2019-02-25 00:00:00 UTC,17.46,23.36,25.11,145.06,-62.35,-223.00,35.46,22.87,
2019-02-26 00:00:00 UTC,21.66,31.42,34.32,278.88,-62.51,-223.00,40.12,29.82,
2019-02-27 00:00:00 UTC,15.83,24.82,27.16,189.76,-62.54,-223.00,39.45,23.34,
2019-02-28 00:00:00 UTC,13.12,22.36,25.66,110.03,-61.93,-168.65,31.95,21.47,
2019-03-01 00:00:00 UTC,13.63,25.10,29.09,245.73,-58.55,-223.00,42.42,24.11,
2019-03-02 00:00:00 UTC,5.61,8.89,9.98,125.76,-59.32,-223.00,47.72,8.89,
2019-03-03 00:00:00 UTC,3.79,6.80,8.06,297.40,-61.71,-223.00,45.53,6.80,
