created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,70.28,96.43,103.28,490.62,-65.39,58.89,21.93,66.16,
2019-01-02 00:00:00 UTC,43.88,60.48,65.00,316.51,-64.29,56.85,25.45,44.75,
2019-01-03 00:00:00 UTC,20.61,28.15,30.19,586.36,-63.98,59.76,26.53,24.78,
2019-01-04 00:00:00 UTC,25.28,34.57,36.58,1601.89,-65.61,60.80,37.43,31.41,
2019-01-05 00:00:00 UTC,42.58,59.45,63.06,562.52,-63.25,62.07,42.09,46.51,
2019-01-06 00:00:00 UTC,20.22,28.24,29.70,286.85,-67.56,60.75,58.12,25.59,
2019-01-07 00:00:00 UTC,11.21,16.05,17.32,666.81,-63.96,63.15,56.47,14.60,
2019-01-08 00:00:00 UTC,15.14,21.05,22.36,532.11,-63.53,65.85,49.55,19.55,
2019-01-09 00:00:00 UTC,32.48,46.80,49.85,636.72,-64.40,64.75,51.39,40.19,
2019-01-10 00:00:00 UTC,32.29,48.46,51.84,346.32,-62.58,63.93,56.46,39.73,
2019-01-11 00:00:00 UTC,26.70,45.63,50.70,426.33,-64.91,64.29,56.08,37.07,
2019-01-12 00:00:00 UTC,14.25,22.90,24.70,707.73,-64.13,63.67,59.12,19.40,
2019-01-13 00:00:00 UTC,23.22,31.40,33.10,1119.91,-63.12,61.62,54.44,27.11,
2019-01-14 00:00:00 UTC,20.06,27.49,29.08,880.99,-62.19,62.13,54.17,23.29,
2019-01-15 00:00:00 UTC,11.90,16.48,17.35,494.63,-64.16,61.99,61.94,16.25,
2019-01-16 00:00:00 UTC,5.68,7.67,8.09,396.64,-63.65,63.02,68.71,7.27,
2019-01-17 00:00:00 UTC,5.64,8.45,9.04,399.25,-63.84,66.98,72.46,8.32,
2019-01-18 00:00:00 UTC,14.55,23.29,25.96,414.80,-62.95,67.03,63.21,21.77,
2019-01-19 00:00:00 UTC,16.70,24.60,26.80,570.43,-60.81,68.01,50.12,21.39,
2019-01-20 00:00:00 UTC,12.35,17.28,18.45,244.31,-65.29,69.93,41.77,16.39,
2019-01-21 00:00:00 UTC,4.30,6.72,7.58,322.54,-62.19,64.50,47.66,5.92,
2019-01-22 00:00:00 UTC,13.86,19.74,21.17,542.76,-63.09,63.03,28.79,15.59,
2019-01-23 00:00:00 UTC,19.67,27.23,29.30,305.71,-62.83,62.64,29.38,24.67,
2019-01-24 00:00:00 UTC,15.98,22.62,24.28,315.67,-63.50,65.68,35.44,21.12,
2019-01-25 00:00:00 UTC,13.26,18.57,20.05,1002.38,-64.85,67.68,30.60,17.55,
2019-01-26 00:00:00 UTC,15.33,21.27,22.81,395.24,-62.66,67.90,29.58,19.47,
2019-01-27 00:00:00 UTC,24.94,34.21,36.24,563.62,-63.60,69.53,25.60,27.72,
