created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,1.24,1.87,2.17,582.45,-37.78,79.76,25.60,1.86,
2019-01-02 00:00:00 UTC,54.39,86.32,99.31,504.96,-38.46,80.94,23.74,59.01,
2019-01-03 00:00:00 UTC,2.29,3.17,3.51,1516.53,-38.56,80.74,23.57,3.15,
2019-01-04 00:00:00 UTC,2.38,3.47,3.96,2932.74,-38.38,81.27,23.93,3.47,
2019-01-05 00:00:00 UTC,4.89,6.61,7.17,388.02,-38.38,80.85,26.20,6.61,
2019-01-06 00:00:00 UTC,1.96,2.86,3.29,1638.40,-38.00,81.04,26.47,2.86,
2019-01-07 00:00:00 UTC,0.64,1.26,1.70,3040.40,-37.78,81.50,29.08,1.26,
2019-01-08 00:00:00 UTC,2.02,2.92,3.30,2827.97,-38.63,84.62,29.21,2.92,
2019-01-09 00:00:00 UTC,2.65,3.69,4.11,603.31,-38.40,84.86,29.68,3.69,
2019-01-10 00:00:00 UTC,2.72,3.71,4.13,639.52,-37.24,84.53,30.17,3.71,
2019-01-11 00:00:00 UTC,3.53,4.92,5.40,319.59,-38.42,84.24,31.38,4.92,
2019-01-12 00:00:00 UTC,3.57,5.07,5.52,415.00,-38.30,84.70,30.87,5.07,
2019-01-13 00:00:00 UTC,2.39,3.85,4.62,1714.98,-39.78,82.80,37.34,3.84,
2019-01-14 00:00:00 UTC,1.98,2.77,3.10,768.51,-38.16,81.84,34.96,2.77,
2019-01-15 00:00:00 UTC,3.30,4.26,4.55,537.49,-40.03,81.48,33.37,4.22,
2019-01-16 00:00:00 UTC,0.45,0.83,1.09,635.73,-39.33,81.14,34.18,0.83,
2019-01-17 00:00:00 UTC,4.51,6.02,6.59,1789.41,-40.97,80.33,37.55,5.48,
2019-01-18 00:00:00 UTC,3.22,5.01,5.97,3225.06,-41.91,80.89,38.57,5.01,
2019-01-19 00:00:00 UTC,3.12,4.61,5.31,2625.18,-41.94,82.36,35.95,4.61,
2019-01-20 00:00:00 UTC,1.87,2.77,3.24,666.80,-38.50,83.74,34.11,2.77,
2019-01-21 00:00:00 UTC,9.66,12.82,13.58,696.61,-38.73,83.89,34.16,10.05,
2019-01-22 00:00:00 UTC,0.51,0.85,1.09,328.04,-38.15,83.03,31.69,0.85,
2019-01-23 00:00:00 UTC,0.13,0.27,0.43,450.52,-38.48,82.24,29.62,0.27,
2019-01-24 00:00:00 UTC,1.89,2.76,3.21,326.91,-38.37,83.09,30.37,2.75,
2019-01-25 00:00:00 UTC,1.09,1.68,2.01,1423.96,-36.54,85.02,29.68,1.68,
2019-01-26 00:00:00 UTC,0.84,1.29,1.50,819.54,-36.04,85.46,28.86,1.29,
2019-01-27 00:00:00 UTC,0.95,1.43,1.71,1416.21,-36.74,87.56,30.81,1.42,
2019-01-28 00:00:00 UTC,1.95,2.94,3.34,379.60,-36.50,87.95,27.47,2.94,
2019-01-29 00:00:00 UTC,3.54,4.58,4.90,378.52,-35.41,85.95,29.96,4.58,
2019-01-30 00:00:00 UTC,2.36,3.28,3.66,1372.87,-35.92,84.69,31.19,3.28,
2019-01-31 00:00:00 UTC,2.34,3.24,3.59,2813.00,-36.17,84.34,32.23,3.23,
2019-02-01 00:00:00 UTC,0.77,1.20,1.47,1068.12,-36.08,81.80,32.33,1.18,
2019-02-02 00:00:00 UTC,0.49,0.79,0.95,1228.01,-36.31,83.63,31.96,0.79,
2019-02-03 00:00:00 UTC,0.50,0.90,1.15,1195.20,-37.34,83.12,32.19,0.90,
2019-02-04 00:00:00 UTC,1.99,3.67,4.76,873.36,-37.83,81.59,33.19,3.20,
2019-02-05 00:00:00 UTC,0.69,1.12,1.36,1151.41,-37.81,81.29,30.76,1.12,
2019-02-06 00:00:00 UTC,0.54,0.76,0.88,815.43,-37.60,81.59,25.67,0.76,
2019-02-07 00:00:00 UTC,0.21,0.30,0.39,770.82,-36.19,83.77,23.53,0.30,
2019-02-08 00:00:00 UTC,0.73,1.08,1.26,1220.03,-35.78,82.11,25.38,1.08,
2019-02-09 00:00:00 UTC,0.39,0.63,0.80,622.80,-37.89,82.55,29.21,0.63,
2019-02-10 00:00:00 UTC,0.48,0.87,1.09,697.99,-37.93,82.12,32.61,0.87,
2019-02-11 00:00:00 UTC,0.33,0.59,0.74,482.29,-37.78,80.74,28.79,0.59,
2019-02-12 00:00:00 UTC,0.48,0.90,1.16,381.62,-37.69,81.33,28.13,0.90,
2019-02-13 00:00:00 UTC,1.13,2.08,2.67,490.32,-34.31,80.76,29.93,2.08,
2019-02-14 00:00:00 UTC,0.28,0.51,0.72,821.95,-33.98,80.87,31.82,0.51,
2019-02-15 00:00:00 UTC,1.76,3.16,4.09,2210.92,-34.62,80.48,33.32,3.11,
2019-02-16 00:00:00 UTC,0.18,0.37,0.49,221.76,-36.71,79.66,30.65,0.37,
2019-02-17 00:00:00 UTC,0.72,1.45,1.92,802.23,-35.02,80.69,30.31,1.45,
2019-02-18 00:00:00 UTC,2.22,3.11,3.47,618.54,-34.94,80.43,28.29,3.10,
2019-02-19 00:00:00 UTC,0.35,0.72,0.94,335.90,-35.78,80.92,26.11,0.72,
2019-02-20 00:00:00 UTC,0.74,1.34,1.71,322.68,-36.24,80.36,27.01,1.34,
2019-02-21 00:00:00 UTC,0.57,0.97,1.21,631.52,-35.83,79.63,28.56,0.97,
2019-02-22 00:00:00 UTC,0.26,0.28,0.38,263.23,-35.62,80.10,26.09,0.28,
2019-02-23 00:00:00 UTC,1.50,2.16,2.44,863.33,-35.87,80.82,25.46,2.09,
2019-02-24 00:00:00 UTC,0.79,1.19,1.39,471.44,-35.55,81.66,25.99,1.19,
2019-02-25 00:00:00 UTC,2.23,3.17,3.52,724.90,-34.31,81.83,26.99,3.17,
2019-02-26 00:00:00 UTC,3.25,4.40,4.81,1309.60,-34.25,82.37,32.34,4.16,
2019-02-27 00:00:00 UTC,2.49,3.47,3.77,2364.20,-34.71,82.25,32.72,3.46,
2019-02-28 00:00:00 UTC,1.56,2.34,2.62,889.44,-34.77,81.12,32.43,2.34,
2019-03-01 00:00:00 UTC,0.83,1.41,1.60,753.05,-34.84,81.79,34.59,1.41,
2019-03-02 00:00:00 UTC,0.44,0.80,1.01,773.19,-34.21,81.26,35.67,0.80,
2019-03-03 00:00:00 UTC,0.45,0.82,1.09,629.02,-34.43,80.38,37.60,0.82,
2019-03-04 00:00:00 UTC,0.50,0.72,0.84,715.82,-34.58,80.84,37.32,0.72,
2019-03-05 00:00:00 UTC,4.00,5.39,5.83,536.04,-34.92,81.28,35.24,4.95,
2019-03-06 00:00:00 UTC,0.44,0.82,1.09,538.21,-35.10,80.99,36.03,0.82,
2019-03-07 00:00:00 UTC,0.41,0.56,0.77,486.53,-34.80,79.69,36.83,0.56,
2019-03-08 00:00:00 UTC,4.43,6.91,7.99,360.02,-35.54,80.24,32.40,5.98,
2019-03-09 00:00:00 UTC,2.73,4.73,6.02,1360.54,-35.16,80.55,32.00,4.69,
2019-03-10 00:00:00 UTC,0.52,0.75,0.91,569.84,-35.62,80.06,30.61,0.75
2019-03-11 00:00:00 UTC,2.54,4.44,5.56,1740.60,-35.84,80.13,32.08,4.28,
2019-03-11 00:00:00 UTC,2.54,4.44,5.56,1740.60,-35.84,80.13,32.08,4.28
2019-03-12 00:00:00 UTC,1.04,1.71,2.13,1818.17,-35.73,80.32,32.99,1.71,
2019-03-12 00:00:00 UTC,1.04,1.71,2.13,1818.17,-35.73,80.32,32.99,1.71
2019-03-13 00:00:00 UTC,2.20,3.74,4.79,1309.87,-35.76,82.83,32.66,3.63,
2019-03-13 00:00:00 UTC,2.20,3.74,4.79,1309.87,-35.76,82.83,32.66,3.63
2019-03-14 00:00:00 UTC,1.37,1.83,2.05,1525.64,-37.95,83.31,29.57,1.77,
2019-03-14 00:00:00 UTC,1.37,1.83,2.05,1525.64,-37.95,83.31,29.57,1.77
2019-03-15 00:00:00 UTC,0.41,0.78,1.04,568.72,-36.76,83.57,27.73,0.78,
2019-03-15 00:00:00 UTC,0.41,0.78,1.04,568.72,-36.76,83.57,27.73,0.78
2019-03-16 00:00:00 UTC,7.06,8.95,9.42,549.22,-36.83,85.52,26.89,7.43,
2019-03-16 00:00:00 UTC,7.06,8.95,9.42,549.22,-36.83,85.52,26.89,7.43
2019-03-17 00:00:00 UTC,1.46,2.13,2.47,745.86,-37.28,86.39,26.43,2.11,
2019-03-17 00:00:00 UTC,1.46,2.13,2.47,745.86,-37.28,86.39,26.43,2.11
2019-03-18 00:00:00 UTC,2.51,3.41,3.77,2185.80,-37.27,88.54,27.71,3.41,
2019-03-18 00:00:00 UTC,2.51,3.41,3.77,2185.80,-37.27,88.54,27.71,3.41
2019-03-19 00:00:00 UTC,4.88,6.78,7.35,3626.33,-37.57,87.69,29.43,6.77,
2019-03-19 00:00:00 UTC,4.88,6.78,7.35,3626.33,-37.57,87.69,29.43,6.77
2019-03-20 00:00:00 UTC,2.20,2.88,3.18,2268.62,-36.94,84.81,31.22,2.88,
2019-03-20 00:00:00 UTC,2.20,2.88,3.18,2268.62,-36.94,84.81,31.22,2.88
2019-03-21 00:00:00 UTC,0.48,0.78,1.01,443.63,-36.10,83.42,29.87,0.78,
2019-03-21 00:00:00 UTC,0.48,0.78,1.01,443.63,-36.10,83.42,29.87,0.78
2019-03-22 00:00:00 UTC,0.73,1.22,1.55,1129.75,-38.38,82.34,30.98,1.22,
2019-03-22 00:00:00 UTC,0.73,1.22,1.55,1129.75,-38.38,82.34,30.98,1.22
2019-03-23 00:00:00 UTC,1.16,1.76,2.10,2564.69,-38.55,83.31,31.07,1.76,
2019-03-23 00:00:00 UTC,1.16,1.76,2.10,2564.69,-38.55,83.31,31.07,1.76
2019-03-24 00:00:00 UTC,3.52,5.07,5.68,424.73,-40.39,83.16,33.07,5.00,
2019-03-24 00:00:00 UTC,3.52,5.07,5.68,424.73,-40.39,83.16,33.07,5.00
2019-03-25 00:00:00 UTC,4.05,5.87,6.56,290.40,-40.50,83.53,32.80,5.87,
2019-03-25 00:00:00 UTC,4.05,5.87,6.56,290.40,-40.50,83.53,32.80,5.87
2019-03-26 00:00:00 UTC,4.33,6.00,6.55,629.01,-38.48,83.12,35.29,5.98,
2019-03-26 00:00:00 UTC,4.33,6.00,6.55,629.01,-38.48,83.12,35.29,5.98
2019-03-27 00:00:00 UTC,2.69,3.88,4.30,774.67,-41.00,83.39,33.03,3.73,
2019-03-27 00:00:00 UTC,2.69,3.88,4.30,774.67,-41.00,83.39,33.03,3.73
2019-03-28 00:00:00 UTC,0.53,0.94,1.21,393.41,-37.05,82.40,34.06,0.94,
2019-03-28 00:00:00 UTC,0.53,0.94,1.21,393.41,-37.05,82.40,34.06,0.94
2019-03-29 00:00:00 UTC,0.83,1.56,2.05,1605.01,-37.29,83.02,32.16,1.56,
2019-03-29 00:00:00 UTC,0.83,1.56,2.05,1605.01,-37.29,83.02,32.16,1.56
2019-03-30 00:00:00 UTC,1.43,2.15,2.53,452.23,-37.65,84.38,30.45,2.15,
2019-03-30 00:00:00 UTC,1.43,2.15,2.53,452.23,-37.65,84.38,30.45,2.15
2019-03-31 00:00:00 UTC,1.55,2.24,2.56,566.49,-37.64,87.74,29.18,2.24,
2019-03-31 00:00:00 UTC,1.55,2.24,2.56,566.49,-37.64,87.74,29.18,2.24
2019-04-01 00:00:00 UTC,4.29,5.77,6.28,845.67,-38.90,88.53,27.93,5.72,
2019-04-01 00:00:00 UTC,4.29,5.77,6.28,845.67,-38.90,88.53,27.93,5.72
2019-04-02 00:00:00 UTC,2.28,3.21,3.69,395.50,-38.75,87.73,30.02,3.21,
2019-04-02 00:00:00 UTC,2.28,3.21,3.69,395.50,-38.75,87.73,30.02,3.21
2019-04-03 00:00:00 UTC,0.65,1.05,1.34,667.73,-38.76,85.94,31.51,1.05,
2019-04-03 00:00:00 UTC,0.65,1.05,1.34,667.73,-38.76,85.94,31.51,1.05
2019-04-04 00:00:00 UTC,0.56,0.93,1.10,1289.75,-39.32,84.10,31.77,0.93,
2019-04-04 00:00:00 UTC,0.56,0.93,1.10,1289.75,-39.32,84.10,31.77,0.93
2019-04-05 00:00:00 UTC,0.72,1.02,1.28,551.30,-38.98,81.88,31.57,1.02,
2019-04-05 00:00:00 UTC,0.72,1.02,1.28,551.30,-38.98,81.88,31.57,1.02
2019-04-06 00:00:00 UTC,0.70,1.05,1.28,1660.67,-39.23,81.90,32.25,1.05,
2019-04-06 00:00:00 UTC,0.70,1.05,1.28,1660.67,-39.23,81.90,32.25,1.05
2019-04-07 00:00:00 UTC,2.02,3.19,3.92,3100.67,-39.29,84.33,36.96,3.19,
2019-04-07 00:00:00 UTC,2.02,3.19,3.92,3100.67,-39.29,84.33,36.96,3.19
2019-04-08 00:00:00 UTC,4.13,5.83,6.49,1365.50,-39.47,85.14,34.28,5.45,
2019-04-08 00:00:00 UTC,4.13,5.83,6.49,1365.50,-39.47,85.14,34.28,5.45
2019-04-09 00:00:00 UTC,2.07,3.24,3.82,820.27,-39.22,87.33,34.24,3.24,
2019-04-09 00:00:00 UTC,2.07,3.24,3.82,820.27,-39.22,87.33,34.24,3.24
2019-04-10 00:00:00 UTC,0.19,0.41,0.58,685.91,-39.27,86.27,29.37,0.41,
2019-04-10 00:00:00 UTC,0.19,0.41,0.58,685.91,-39.27,86.27,29.37,0.41
2019-04-11 00:00:00 UTC,0.29,0.66,0.97,1190.12,-39.17,85.26,27.09,0.66,
2019-04-11 00:00:00 UTC,0.29,0.66,0.97,1190.12,-39.17,85.26,27.09,0.66
2019-04-12 00:00:00 UTC,2.70,4.92,6.50,572.17,-39.34,85.22,29.08,4.57,
2019-04-12 00:00:00 UTC,2.70,4.92,6.50,572.17,-39.34,85.22,29.08,4.57
2019-04-13 00:00:00 UTC,2.04,3.18,3.89,859.96,-39.42,86.23,31.45,3.18,
2019-04-13 00:00:00 UTC,2.04,3.18,3.89,859.96,-39.42,86.23,31.45,3.18
2019-04-14 00:00:00 UTC,2.92,4.62,5.41,667.58,-39.79,86.62,30.71,4.62,
2019-04-14 00:00:00 UTC,2.92,4.62,5.41,667.58,-39.79,86.62,30.71,4.62
2019-04-15 00:00:00 UTC,3.98,5.54,6.15,866.33,-39.56,85.34,30.71,5.54,
2019-04-15 00:00:00 UTC,3.98,5.54,6.15,866.33,-39.56,85.34,30.71,5.54
2019-04-16 00:00:00 UTC,3.32,4.66,5.36,1432.19,-39.44,83.27,31.55,4.60,
2019-04-16 00:00:00 UTC,3.32,4.66,5.36,1432.19,-39.44,83.27,31.55,4.60
2019-04-17 00:00:00 UTC,1.61,2.55,3.08,2493.35,-39.24,82.48,32.05,2.55,
2019-04-17 00:00:00 UTC,1.61,2.55,3.08,2493.35,-39.24,82.48,32.05,2.55
2019-04-18 00:00:00 UTC,3.10,4.31,4.93,878.00,-39.25,83.41,32.44,4.31,
2019-04-18 00:00:00 UTC,3.10,4.31,4.93,878.00,-39.25,83.41,32.44,4.31
2019-04-19 00:00:00 UTC,7.13,10.35,11.42,2318.41,-39.23,84.68,33.22,9.95,
2019-04-19 00:00:00 UTC,7.13,10.35,11.42,2318.41,-39.23,84.68,33.22,9.95
2019-04-20 00:00:00 UTC,3.26,4.40,4.69,2981.65,-39.07,81.21,33.11,4.40,
2019-04-20 00:00:00 UTC,3.26,4.40,4.69,2981.65,-39.07,81.21,33.11,4.40
2019-04-21 00:00:00 UTC,1.19,1.59,1.77,318.23,-39.02,79.98,32.24,1.59,
2019-04-21 00:00:00 UTC,1.19,1.59,1.77,318.23,-39.02,79.98,32.24,1.59
2019-04-22 00:00:00 UTC,1.99,3.06,3.76,1296.67,-39.25,81.22,32.05,3.06,
2019-04-22 00:00:00 UTC,1.99,3.06,3.76,1296.67,-39.25,81.22,32.05,3.06
2019-04-23 00:00:00 UTC,3.86,5.75,6.82,489.63,-39.05,84.14,34.21,5.74,
2019-04-23 00:00:00 UTC,3.86,5.75,6.82,489.63,-39.05,84.14,34.21,5.74
2019-04-24 00:00:00 UTC,4.79,7.05,8.13,1438.82,-39.15,82.91,35.38,7.05,
2019-04-24 00:00:00 UTC,4.79,7.05,8.13,1438.82,-39.15,82.91,35.38,7.05
2019-04-25 00:00:00 UTC,6.15,9.79,11.20,510.54,-39.51,83.87,38.57,9.79,
2019-04-25 00:00:00 UTC,6.15,9.79,11.20,510.54,-39.51,83.87,38.57,9.79
2019-04-26 00:00:00 UTC,5.03,7.74,8.58,850.76,-39.28,84.44,35.46,7.74,
2019-04-26 00:00:00 UTC,5.03,7.74,8.58,850.76,-39.28,84.44,35.46,7.74
2019-04-27 00:00:00 UTC,4.72,7.01,7.80,1075.33,-39.49,83.14,36.25,7.00,
2019-04-27 00:00:00 UTC,4.72,7.01,7.80,1075.33,-39.49,83.14,36.25,7.00
2019-04-28 00:00:00 UTC,3.02,4.35,4.76,2515.33,-39.22,83.33,35.66,4.35,
2019-04-28 00:00:00 UTC,3.02,4.35,4.76,2515.33,-39.22,83.33,35.66,4.35
2019-04-29 00:00:00 UTC,1.52,2.35,2.78,3955.98,-39.20,82.89,34.65,2.35,
