created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,18.69,26.31,30.94,974.83,-50.36,60.79,16.26,24.13,
2019-01-02 00:00:00 UTC,8.73,11.78,13.60,2415.22,-50.32,60.22,19.65,11.76,
2019-01-03 00:00:00 UTC,8.08,10.67,12.37,3520.23,-50.60,63.05,23.38,10.67,
2019-01-04 00:00:00 UTC,14.12,19.12,21.47,320.98,-52.29,63.79,26.70,18.74,
2019-01-05 00:00:00 UTC,31.24,44.88,50.01,655.19,-51.59,62.54,38.72,41.44,
2019-01-06 00:00:00 UTC,11.81,16.62,18.35,1978.70,-53.69,62.02,51.66,16.10,
2019-01-07 00:00:00 UTC,3.85,5.81,7.57,3418.33,-54.63,63.47,52.26,5.76,
2019-01-08 00:00:00 UTC,11.92,16.67,18.44,4858.33,-54.46,66.59,47.15,16.46,
2019-01-09 00:00:00 UTC,12.20,16.81,18.79,2298.05,-54.95,66.61,44.04,16.64,
2019-01-10 00:00:00 UTC,17.46,25.34,28.56,573.39,-55.18,67.25,45.95,24.88,
2019-01-11 00:00:00 UTC,28.45,46.75,54.82,861.38,-53.98,65.25,50.28,39.12,
2019-01-12 00:00:00 UTC,14.29,24.32,29.07,833.81,-56.51,64.43,51.66,21.05,
2019-01-13 00:00:00 UTC,16.76,22.60,25.29,912.03,-55.88,61.45,48.05,20.80,
2019-01-14 00:00:00 UTC,7.78,10.52,11.66,2352.67,-55.57,62.57,46.90,10.20,
2019-01-15 00:00:00 UTC,5.56,7.57,8.43,1335.99,-55.14,61.09,57.57,7.57,
2019-01-16 00:00:00 UTC,1.13,1.50,1.74,1440.24,-55.95,62.16,62.99,1.50,
2019-01-17 00:00:00 UTC,4.04,6.28,7.14,476.99,-55.41,66.67,66.08,6.27,
2019-01-18 00:00:00 UTC,6.74,10.96,14.81,548.83,-57.34,67.33,55.34,10.96,
2019-01-19 00:00:00 UTC,8.90,13.40,16.75,1421.36,-56.28,70.23,46.13,13.33,
2019-01-20 00:00:00 UTC,5.43,7.27,8.30,846.58,-53.69,1990326.32,36.64,7.27,
2019-01-21 00:00:00 UTC,2.67,3.91,5.08,818.00,-51.77,67.72,39.00,3.89,
2019-01-22 00:00:00 UTC,1.52,1.99,2.45,726.56,-49.57,66.05,25.32,1.99,
2019-01-23 00:00:00 UTC,6.61,8.76,10.15,1355.07,-52.26,65.45,25.75,8.70,
2019-01-24 00:00:00 UTC,8.55,11.79,13.55,528.30,-53.79,68.43,30.57,11.79,
2019-01-25 00:00:00 UTC,4.52,6.05,7.06,336.16,-52.77,71.01,25.47,5.94,
