created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,7.46,11.18,12.83,293.78,-6.40,60.68,12.52,10.88,
2019-01-02 00:00:00 UTC,5.86,8.71,9.97,275.90,-37.48,60.45,15.99,8.49,
2019-01-03 00:00:00 UTC,8.28,12.14,13.86,736.24,-25.76,60.98,22.40,11.74,
2019-01-04 00:00:00 UTC,14.61,21.55,24.43,600.74,-57.77,60.70,28.21,20.48,
2019-01-05 00:00:00 UTC,30.53,46.01,51.94,226.40,-29.61,60.98,38.92,41.08,
2019-01-06 00:00:00 UTC,10.74,16.51,18.62,704.74,-20.22,61.36,51.72,15.95,
2019-01-07 00:00:00 UTC,4.84,7.93,9.58,829.24,-14.61,62.66,52.98,7.52,
2019-01-08 00:00:00 UTC,12.84,19.76,22.24,1803.55,-74.89,65.28,48.38,19.15,
2019-01-09 00:00:00 UTC,12.71,19.00,21.50,2023.48,-56.67,65.20,46.29,18.71,
2019-01-10 00:00:00 UTC,13.64,21.07,24.07,379.59,-62.79,64.82,48.79,20.73,
2019-01-11 00:00:00 UTC,22.37,38.70,46.27,269.45,-21.85,63.62,52.21,33.63,
2019-01-12 00:00:00 UTC,16.95,31.15,38.65,270.68,-63.56,62.44,55.27,26.44,
2019-01-13 00:00:00 UTC,10.91,15.68,17.48,519.56,-53.78,62.20,46.66,15.34,
2019-01-14 00:00:00 UTC,8.63,12.63,14.17,822.04,-46.64,62.12,47.99,12.56,
2019-01-15 00:00:00 UTC,6.32,10.06,11.53,513.20,-5.87,61.34,56.48,9.27,
2019-01-16 00:00:00 UTC,3.42,5.67,6.59,1823.99,7.23,62.97,61.55,4.88,
2019-01-17 00:00:00 UTC,5.15,8.92,10.41,1088.87,8.36,65.86,67.85,8.22,
2019-01-18 00:00:00 UTC,6.30,11.22,13.98,803.67,-74.26,66.18,56.38,10.87,
2019-01-19 00:00:00 UTC,8.61,14.11,16.95,2007.38,-78.93,68.52,47.37,13.85,
2019-01-20 00:00:00 UTC,7.46,11.18,12.68,451.38,-59.71,69.81,39.08,11.00,
2019-01-21 00:00:00 UTC,2.33,3.89,4.78,1070.97,-71.28,66.55,36.91,3.69,
2019-01-22 00:00:00 UTC,2.14,3.31,3.85,343.43,-80.71,65.47,23.19,3.05,
2019-01-23 00:00:00 UTC,6.74,10.14,11.60,236.43,-81.14,64.20,23.02,9.68,
