created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,10.63,14.31,15.61,3081.08,-72.18,62.15,17.90,13.81,
2019-01-02 00:00:00 UTC,13.74,18.05,19.56,398.49,-72.18,60.34,21.61,17.88,
2019-01-03 00:00:00 UTC,10.51,13.71,14.82,1399.45,-76.95,63.72,24.57,13.64,
2019-01-04 00:00:00 UTC,19.70,26.70,29.07,903.33,-70.68,64.26,31.61,26.04,
2019-01-05 00:00:00 UTC,36.01,49.22,53.58,535.05,-69.08,62.89,41.08,41.82,
2019-01-06 00:00:00 UTC,13.84,18.97,20.60,705.01,-67.59,63.39,51.17,17.85,
2019-01-07 00:00:00 UTC,5.60,8.24,9.47,2134.68,-68.05,63.79,52.10,8.23,
2019-01-08 00:00:00 UTC,9.25,12.94,14.28,3575.33,-68.09,67.73,45.38,12.85,
2019-01-09 00:00:00 UTC,16.64,23.10,25.30,4706.16,-71.48,68.68,42.35,21.60,
2019-01-10 00:00:00 UTC,30.83,45.39,50.67,797.45,-72.45,65.40,51.69,38.72,
2019-01-11 00:00:00 UTC,24.61,40.80,47.61,2237.47,-71.73,65.23,52.98,34.45,
2019-01-12 00:00:00 UTC,12.48,19.56,22.28,790.57,-70.35,64.09,54.81,17.22,
2019-01-13 00:00:00 UTC,18.48,24.81,26.72,472.25,-69.04,63.27,48.89,23.11,
2019-01-14 00:00:00 UTC,10.45,14.17,15.35,1343.63,-70.07,63.51,49.59,13.94,
2019-01-15 00:00:00 UTC,7.31,10.43,11.47,474.97,-67.79,62.60,57.18,10.43,
2019-01-16 00:00:00 UTC,1.81,2.74,3.09,653.82,-68.44,63.14,64.12,2.74,
2019-01-17 00:00:00 UTC,3.41,5.31,6.03,766.00,-69.02,67.33,66.89,5.31,
2019-01-18 00:00:00 UTC,9.60,15.93,19.01,2206.00,-66.63,67.52,58.85,15.52,
2019-01-19 00:00:00 UTC,10.77,16.22,18.52,888.52,-66.14,14.67,10.71,15.08,
2019-01-20 00:00:00 UTC,9.71,13.55,15.00,1859.67,-67.87,,,13.20,
2019-01-21 00:00:00 UTC,1.31,2.35,3.02,592.99,-68.04,61.57,35.33,2.35,
2019-01-22 00:00:00 UTC,5.41,7.41,8.12,1068.27,-70.08,65.90,27.86,6.92,
2019-01-23 00:00:00 UTC,9.37,12.14,13.10,663.10,-69.72,67.19,24.15,12.14,
