created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,12.05,15.66,16.33,60.66,-42.91,68.63,38.92,15.64,
2019-01-02 00:00:00 UTC,7.49,9.60,10.00,176.68,-45.22,67.70,16.43,9.40,
2019-01-03 00:00:00 UTC,10.45,13.62,14.23,92.21,-44.39,67.32,20.85,13.42,
2019-01-04 00:00:00 UTC,16.31,22.66,23.75,146.67,-44.57,70.55,27.28,21.26,
2019-01-05 00:00:00 UTC,29.32,39.89,41.81,149.57,-46.00,65.37,40.82,36.42,
2019-01-06 00:00:00 UTC,29.03,40.46,42.48,325.68,-46.06,65.16,55.97,33.60,
2019-01-07 00:00:00 UTC,3.92,5.69,6.13,64.03,-46.69,64.17,61.61,5.66,
2019-01-08 00:00:00 UTC,4.67,6.57,6.99,47.51,-48.71,73.56,37.93,6.57,
2019-01-09 00:00:00 UTC,20.82,30.01,31.83,60.84,-47.96,72.91,42.22,27.63,
2019-01-10 00:00:00 UTC,17.35,25.42,27.13,64.50,-50.94,67.65,53.63,23.52,
2019-01-11 00:00:00 UTC,23.03,40.04,44.99,133.30,-51.89,66.15,54.14,32.19,
2019-01-12 00:00:00 UTC,13.13,20.32,21.94,99.70,-49.88,65.65,55.79,18.28,
2019-01-13 00:00:00 UTC,17.87,23.83,24.90,51.76,-49.46,68.49,44.92,20.83,
2019-01-14 00:00:00 UTC,8.78,12.24,12.87,138.66,-49.92,62.85,57.28,11.99,
2019-01-15 00:00:00 UTC,5.51,8.07,8.59,280.35,-50.41,64.53,57.43,8.06,
2019-01-16 00:00:00 UTC,3.42,4.67,4.92,264.43,-50.71,64.14,71.84,4.67,
2019-01-17 00:00:00 UTC,1.77,2.68,2.91,199.54,-52.52,67.62,74.60,2.68,
2019-01-18 00:00:00 UTC,9.66,14.86,16.04,234.85,-52.75,72.20,54.24,14.86,
2019-01-19 00:00:00 UTC,3.43,5.58,6.19,171.99,-51.60,76.36,38.62,5.52,
2019-01-20 00:00:00 UTC,7.37,10.29,10.86,65.38,-51.24,79.40,32.87,10.25,
2019-01-21 00:00:00 UTC,0.60,0.37,0.43,235.44,-50.29,70.72,23.82,0.37,
2019-01-22 00:00:00 UTC,4.03,5.35,5.62,96.99,-50.67,70.70,21.77,5.35,
2019-01-23 00:00:00 UTC,7.87,10.09,10.51,90.93,-51.69,74.48,16.75,10.09,
