created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,34.76,48.83,53.12,2925.75,-51.95,59.34,22.39,37.88,
2019-01-02 00:00:00 UTC,9.73,13.50,14.85,397.42,-31.73,58.40,24.20,13.49,
2019-01-03 00:00:00 UTC,9.09,12.49,13.70,115.78,-35.42,60.21,26.65,12.30,
2019-01-04 00:00:00 UTC,13.42,18.72,20.20,359.12,-32.40,61.37,31.93,18.46,
2019-01-05 00:00:00 UTC,33.87,49.85,54.30,329.73,-45.92,60.71,41.03,42.73,
2019-01-06 00:00:00 UTC,11.29,16.51,17.79,336.71,-33.09,61.34,52.14,15.97,
2019-01-07 00:00:00 UTC,3.50,5.45,6.39,263.11,-34.15,61.94,54.75,5.45,
2019-01-08 00:00:00 UTC,12.41,18.12,19.57,403.57,-44.11,63.33,51.59,17.90,
2019-01-09 00:00:00 UTC,11.99,17.09,18.52,184.27,-31.02,66.55,45.26,16.92,
2019-01-10 00:00:00 UTC,17.06,25.57,27.90,315.16,-31.81,65.13,49.70,25.03,
2019-01-11 00:00:00 UTC,28.03,47.65,53.73,229.69,-33.89,62.80,53.64,38.12,
2019-01-12 00:00:00 UTC,11.91,20.84,23.83,138.07,-35.66,63.10,54.17,18.34,
2019-01-13 00:00:00 UTC,13.43,18.39,19.70,246.56,-33.77,60.54,50.89,18.20,
2019-01-14 00:00:00 UTC,8.20,11.33,12.13,366.21,-34.45,61.59,50.31,11.31,
2019-01-15 00:00:00 UTC,5.52,7.93,8.55,493.66,-34.28,60.58,58.53,7.93,
2019-01-16 00:00:00 UTC,1.49,2.15,2.37,320.93,-37.76,61.13,64.92,2.15,
2019-01-17 00:00:00 UTC,4.02,6.47,7.04,223.34,-35.58,66.06,67.31,6.47,
2019-01-18 00:00:00 UTC,6.01,9.98,11.74,267.26,-50.35,69.55,51.21,9.97,
2019-01-19 00:00:00 UTC,7.88,12.35,14.26,162.04,-38.66,68.56,49.43,12.28,
2019-01-20 00:00:00 UTC,3.96,5.72,6.25,311.14,-50.30,72.19,39.68,5.72,
2019-01-21 00:00:00 UTC,1.53,2.43,2.83,165.65,-47.54,69.00,34.48,2.43,
2019-01-22 00:00:00 UTC,2.76,3.66,4.00,336.52,-41.40,68.08,25.26,3.66,
2019-01-23 00:00:00 UTC,7.38,10.10,10.98,316.54,-26.74,64.93,29.05,10.10,
2019-01-24 00:00:00 UTC,9.33,13.22,14.49,176.29,-34.39,65.50,36.40,13.16,
2019-01-25 00:00:00 UTC,5.92,8.31,9.22,280.04,-39.89,65.00,33.93,8.24,
2019-01-26 00:00:00 UTC,6.69,9.18,9.96,169.17,-42.60,69.33,28.35,9.18,
2019-01-27 00:00:00 UTC,8.22,11.38,12.34,115.20,-35.09,70.73,28.61,11.38,
2019-01-28 00:00:00 UTC,16.38,23.83,25.81,443.51,-26.00,68.07,32.60,22.60,
2019-01-29 00:00:00 UTC,46.24,71.00,77.51,238.55,-28.12,70.90,40.93,51.52,
2019-01-30 00:00:00 UTC,20.25,32.03,35.24,234.39,-35.09,68.00,50.25,29.12,
2019-01-31 00:00:00 UTC,19.38,32.40,36.19,169.26,-34.02,64.36,56.75,29.70,
2019-02-01 00:00:00 UTC,8.77,12.57,13.48,146.50,-42.05,61.52,53.38,12.56,
2019-02-02 00:00:00 UTC,1.97,2.86,3.21,266.93,-47.06,61.39,62.97,2.86,
2019-02-03 00:00:00 UTC,5.44,8.20,9.11,269.97,-38.67,61.09,62.10,8.20,
2019-02-04 00:00:00 UTC,3.93,6.00,6.82,326.68,-23.97,61.71,61.36,6.00,
2019-02-05 00:00:00 UTC,0.60,1.15,1.52,360.36,-19.60,60.63,53.80,1.15,
2019-02-06 00:00:00 UTC,0.84,1.20,1.43,427.07,-24.03,57.84,36.52,1.20,
2019-02-07 00:00:00 UTC,3.55,5.00,5.50,653.62,-38.09,55.04,37.00,5.00,
2019-02-08 00:00:00 UTC,12.40,18.11,19.67,462.83,-34.87,62.80,33.54,18.10,
2019-02-09 00:00:00 UTC,10.19,14.62,15.98,636.49,-39.72,61.63,43.06,14.61,
2019-02-10 00:00:00 UTC,3.88,5.46,5.98,605.63,-46.42,61.33,49.56,5.46,
2019-02-11 00:00:00 UTC,1.29,1.59,1.79,269.99,-45.10,54.90,38.57,1.59,
