created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,22.23,30.57,32.29,292.73,-51.44,61.14,19.32,27.67,
2019-01-02 00:00:00 UTC,9.97,13.44,14.21,545.27,-51.61,57.24,25.42,13.34,
2019-01-03 00:00:00 UTC,11.04,14.98,15.90,119.23,-51.36,59.36,28.73,14.95,
2019-01-04 00:00:00 UTC,12.01,15.95,16.92,8.89,-66.74,65.81,25.26,15.94,
2019-01-05 00:00:00 UTC,32.02,45.74,48.80,167.12,-53.77,61.66,41.35,41.21,
2019-01-06 00:00:00 UTC,13.50,20.28,21.90,301.02,-58.40,61.36,52.11,19.89,
2019-01-07 00:00:00 UTC,3.58,5.46,6.02,221.14,-56.02,64.91,50.48,5.38,
2019-01-08 00:00:00 UTC,14.21,20.60,22.16,185.16,-57.89,65.89,48.49,19.89,
2019-01-09 00:00:00 UTC,12.64,17.89,19.13,151.07,-54.65,67.00,44.41,17.74,
2019-01-10 00:00:00 UTC,17.04,25.02,26.93,216.47,-53.22,67.51,46.47,24.68,
2019-01-11 00:00:00 UTC,26.34,43.90,49.10,204.82,-54.56,63.40,53.33,38.15,
2019-01-12 00:00:00 UTC,11.94,19.83,22.17,266.87,-53.56,65.41,50.97,17.97,
2019-01-13 00:00:00 UTC,13.38,17.91,18.87,972.27,-69.46,61.75,47.82,17.59,
2019-01-14 00:00:00 UTC,8.74,12.12,12.94,2263.70,-70.62,64.93,45.49,11.67,
2019-01-15 00:00:00 UTC,9.09,13.43,14.73,2642.20,-68.30,62.87,55.79,11.40,
2019-01-16 00:00:00 UTC,3.73,5.83,6.49,234.28,-52.78,65.03,57.95,4.65,
2019-01-17 00:00:00 UTC,6.85,11.76,13.37,221.75,-58.59,69.12,61.71,9.92,
2019-01-18 00:00:00 UTC,7.17,11.52,12.84,274.55,-70.13,69.54,52.07,11.52,
2019-01-19 00:00:00 UTC,8.17,12.63,13.87,588.69,-66.22,70.03,47.86,12.56,
2019-01-20 00:00:00 UTC,5.89,8.01,8.49,942.29,-71.76,70.93,40.03,7.99,
2019-01-21 00:00:00 UTC,4.31,6.24,6.74,2232.10,-73.07,67.98,39.11,6.03,
2019-01-22 00:00:00 UTC,2.04,2.70,2.89,754.21,-63.15,66.44,26.26,2.69,
2019-01-23 00:00:00 UTC,8.02,10.76,11.41,1902.44,-64.38,65.37,27.66,10.73,
