created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,0.39,0.62,0.73,222.41,-75.51,67.17,12.95,0.62,
2019-01-02 00:00:00 UTC,0.91,1.33,1.53,273.13,-74.61,63.53,14.77,1.33,
2019-01-03 00:00:00 UTC,1.23,1.71,1.89,314.57,-74.61,66.29,21.03,1.71,
2019-01-04 00:00:00 UTC,9.05,13.12,14.48,263.16,-74.80,65.96,27.79,12.84,
2019-01-05 00:00:00 UTC,19.87,28.72,30.68,130.16,-74.72,62.13,40.76,28.27,
2019-01-06 00:00:00 UTC,7.28,10.24,10.87,137.32,-73.50,65.41,47.34,9.75,
2019-01-07 00:00:00 UTC,3.61,5.38,6.10,170.15,-73.07,64.47,53.40,5.38,
2019-01-08 00:00:00 UTC,10.64,15.23,16.05,285.82,-70.16,68.53,48.16,14.74,
2019-01-09 00:00:00 UTC,6.52,9.52,10.23,119.57,-71.70,68.23,44.78,9.46,
2019-01-10 00:00:00 UTC,5.38,7.62,8.25,345.80,-75.37,68.29,45.73,7.62,
2019-01-11 00:00:00 UTC,15.06,27.86,31.75,172.08,-74.63,67.46,49.41,24.99,
2019-01-12 00:00:00 UTC,10.13,19.05,22.31,82.59,-74.04,66.12,56.92,16.82,
2019-01-13 00:00:00 UTC,2.31,3.23,3.49,239.46,-73.16,63.32,47.96,3.23,
2019-01-14 00:00:00 UTC,7.92,11.02,11.79,107.01,-75.02,62.09,52.44,10.87,
2019-01-15 00:00:00 UTC,5.25,7.68,8.21,78.34,-74.84,62.33,58.24,7.68,
2019-01-16 00:00:00 UTC,2.14,3.14,3.43,96.23,-73.91,63.52,63.19,3.14,
2019-01-17 00:00:00 UTC,2.70,4.70,5.49,124.62,-72.61,65.23,73.49,4.70,
2019-01-18 00:00:00 UTC,4.14,7.71,9.44,127.30,-73.50,68.70,57.61,7.71,
2019-01-19 00:00:00 UTC,5.21,8.34,9.59,132.86,-75.04,73.93,43.81,8.18,
2019-01-20 00:00:00 UTC,1.46,2.20,2.50,162.48,-74.61,73.56,38.94,2.20,
2019-01-21 00:00:00 UTC,2.09,3.20,3.67,132.10,-75.52,67.80,40.42,3.16,
2019-01-22 00:00:00 UTC,0.46,0.63,0.74,117.23,-74.53,70.29,23.97,0.63,
2019-01-23 00:00:00 UTC,0.77,1.04,1.17,192.41,-72.44,69.83,17.91,1.04,
2019-01-24 00:00:00 UTC,4.33,6.16,6.72,140.90,-70.75,71.78,29.55,6.15,
2019-01-25 00:00:00 UTC,0.51,0.77,0.92,146.97,-71.35,75.29,21.58,0.77,
2019-01-26 00:00:00 UTC,0.73,1.13,1.29,146.50,-70.54,75.32,18.66,1.13,
2019-01-27 00:00:00 UTC,1.01,1.44,1.60,152.12,-71.31,77.29,19.72,1.44,
2019-01-28 00:00:00 UTC,10.57,16.26,17.79,165.47,-72.42,70.18,30.39,14.87,
2019-01-29 00:00:00 UTC,25.99,37.59,39.84,103.37,-71.39,67.44,35.54,32.48,
2019-01-30 00:00:00 UTC,14.30,21.78,23.50,156.45,-71.78,69.12,49.13,21.37,
2019-01-31 00:00:00 UTC,14.83,24.33,26.59,225.43,-73.18,65.96,57.48,23.63,
2019-02-01 00:00:00 UTC,6.69,9.79,10.49,165.21,-76.91,63.53,54.98,9.77,
2019-02-02 00:00:00 UTC,3.64,5.45,5.95,82.15,-74.84,62.29,65.67,5.45,
2019-02-03 00:00:00 UTC,4.61,7.05,7.99,110.25,-72.02,61.99,65.29,6.99,
2019-02-04 00:00:00 UTC,1.91,2.95,3.47,166.31,-71.18,61.78,64.77,2.95,
2019-02-05 00:00:00 UTC,0.23,0.44,0.68,180.96,-71.69,61.52,53.39,0.44,
2019-02-06 00:00:00 UTC,0.35,0.59,0.77,115.55,-71.70,59.77,34.07,0.59,
2019-02-07 00:00:00 UTC,1.81,2.54,2.75,100.09,-76.05,63.79,28.31,2.54,
2019-02-08 00:00:00 UTC,5.45,7.67,8.24,174.24,-76.20,64.43,31.81,7.64,
2019-02-09 00:00:00 UTC,4.54,6.54,7.10,157.43,-76.08,64.66,42.05,6.54,
2019-02-10 00:00:00 UTC,2.60,3.84,4.28,162.93,-75.95,53.90,44.64,3.84,
2019-02-11 00:00:00 UTC,1.63,2.34,2.55,112.37,-74.78,62.05,33.77,2.34,
2019-02-12 00:00:00 UTC,3.93,5.46,5.90,127.49,-75.76,64.54,31.72,5.46,
2019-02-13 00:00:00 UTC,4.39,6.10,6.63,161.42,-76.89,63.32,35.73,6.10,
2019-02-14 00:00:00 UTC,2.59,3.95,4.57,186.19,-76.11,63.60,64.93,3.95,
2019-02-15 00:00:00 UTC,2.00,3.35,4.12,149.11,-76.22,61.70,57.85,3.35,
2019-02-16 00:00:00 UTC,0.44,0.79,1.02,155.42,-76.03,62.05,52.22,0.79,
2019-02-17 00:00:00 UTC,0.36,0.73,1.04,164.43,-76.72,61.35,43.97,0.73,
2019-02-18 00:00:00 UTC,0.21,0.39,0.53,160.19,-74.62,63.11,30.35,0.39,
2019-02-19 00:00:00 UTC,1.55,2.04,2.21,210.01,-73.60,64.65,24.85,2.04,
2019-02-20 00:00:00 UTC,6.34,8.42,8.92,375.54,-76.22,59.68,37.70,8.30,
2019-02-21 00:00:00 UTC,3.11,4.51,4.98,259.38,-73.62,29.16,24.66,4.51,
2019-02-22 00:00:00 UTC,0.78,1.08,1.20,185.61,-74.17,64.37,26.49,1.08,
2019-02-23 00:00:00 UTC,3.86,5.46,5.97,69.75,-74.63,63.11,31.49,5.45,
2019-02-24 00:00:00 UTC,3.99,5.55,5.99,183.09,-72.74,65.33,32.78,5.54,
2019-02-25 00:00:00 UTC,9.28,12.95,13.87,170.91,-72.53,67.56,37.69,12.66,
2019-02-26 00:00:00 UTC,14.58,21.66,23.76,146.76,-71.98,65.92,44.72,21.15,
2019-02-27 00:00:00 UTC,10.22,16.36,17.58,155.75,-72.14,64.62,49.99,15.43,
2019-02-28 00:00:00 UTC,14.67,26.84,29.74,79.72,-74.95,68.57,55.96,25.63,
2019-03-01 00:00:00 UTC,9.75,16.43,17.91,96.11,-74.94,68.56,53.76,16.42,
2019-03-02 00:00:00 UTC,4.65,7.37,8.13,89.08,-74.79,65.22,61.46,7.36,
2019-03-03 00:00:00 UTC,1.10,2.06,2.67,81.17,-75.17,67.63,60.04,2.06,
2019-03-04 00:00:00 UTC,1.60,2.24,2.50,105.96,-75.42,68.51,49.09,2.24,
2019-03-05 00:00:00 UTC,7.46,11.24,12.06,298.95,-75.34,65.84,48.06,10.82,
2019-03-06 00:00:00 UTC,6.09,8.95,9.73,110.26,-76.69,65.06,59.62,8.95,
2019-03-07 00:00:00 UTC,1.28,2.33,2.91,152.18,-74.85,66.87,57.42,2.33,
2019-03-08 00:00:00 UTC,0.51,0.87,1.13,61.41,-73.75,56.05,41.21,0.87,
2019-03-09 00:00:00 UTC,1.76,2.87,3.47,107.91,-75.54,64.29,42.00,2.87,
2019-03-10 00:00:00 UTC,1.44,2.18,2.49,93.95,-77.28,63.89,42.14,2.18
2019-03-11 00:00:00 UTC,2.99,4.22,4.62,118.57,-76.57,55.33,38.65,4.22,
2019-03-11 00:00:00 UTC,2.99,4.22,4.62,118.57,-76.57,55.33,38.65,4.22
2019-03-12 00:00:00 UTC,3.43,4.64,5.07,100.57,-76.30,72.72,30.42,4.62,
2019-03-12 00:00:00 UTC,3.43,4.64,5.07,100.57,-76.30,72.72,30.42,4.62
2019-03-13 00:00:00 UTC,1.80,3.26,4.19,143.25,-75.50,74.15,31.46,3.26,
2019-03-13 00:00:00 UTC,1.80,3.26,4.19,143.25,-75.50,74.15,31.46,3.26
2019-03-14 00:00:00 UTC,0.44,0.72,0.87,123.41,-73.87,72.40,17.20,0.72,
2019-03-14 00:00:00 UTC,0.44,0.72,0.87,123.41,-73.87,72.40,17.20,0.72
2019-03-15 00:00:00 UTC,0.84,1.26,1.44,116.73,-73.44,74.00,17.99,1.25,
2019-03-15 00:00:00 UTC,0.84,1.26,1.44,116.73,-73.44,74.00,17.99,1.25
