created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,29.48,36.64,41.43,830.56,-70.59,58.28,23.25,29.74,
2019-01-02 00:00:00 UTC,11.64,14.70,17.04,2053.51,-73.82,57.36,25.73,13.91,
2019-01-03 00:00:00 UTC,10.00,12.28,13.88,3180.99,-69.06,53.86,34.60,12.05,
2019-01-04 00:00:00 UTC,15.90,20.23,23.45,539.41,-70.16,62.48,31.48,18.95,
2019-01-05 00:00:00 UTC,32.86,41.95,48.21,1699.80,-71.47,59.16,46.14,36.44,
2019-01-06 00:00:00 UTC,14.32,18.44,21.35,3139.89,-68.65,60.31,59.55,16.87,
2019-01-07 00:00:00 UTC,4.78,6.58,8.07,4579.42,-67.50,61.60,60.25,6.20,
2019-01-08 00:00:00 UTC,14.28,18.43,21.20,6018.48,-67.30,64.36,55.57,17.19,
2019-01-09 00:00:00 UTC,14.80,19.49,23.08,5978.14,-64.21,64.83,52.21,18.39,
2019-01-10 00:00:00 UTC,18.11,23.94,28.00,403.06,-61.54,66.73,52.01,21.96,
2019-01-11 00:00:00 UTC,21.59,29.67,35.89,669.11,-67.32,57.61,59.03,25.86,
2019-01-12 00:00:00 UTC,20.01,27.65,35.31,276.02,-60.48,63.12,58.65,22.70,
2019-01-13 00:00:00 UTC,15.68,20.13,23.56,470.01,-63.23,52.57,52.64,18.61,
2019-01-14 00:00:00 UTC,8.91,10.90,12.09,325.37,-61.07,61.17,53.37,10.87,
2019-01-15 00:00:00 UTC,7.00,8.77,9.87,265.69,-62.43,60.04,65.91,8.74,
2019-01-16 00:00:00 UTC,1.21,1.62,1.85,249.99,-66.12,60.48,69.18,1.62,
2019-01-17 00:00:00 UTC,3.22,4.38,5.16,466.28,-50.35,20.56,22.52,4.38,
2019-01-18 00:00:00 UTC,8.04,11.60,14.56,319.87,-65.83,65.54,63.91,11.58,
2019-01-19 00:00:00 UTC,11.29,15.31,18.81,213.87,-72.02,67.16,55.37,14.56,
2019-01-20 00:00:00 UTC,8.50,10.83,12.55,526.17,-69.99,66.95,49.59,10.05,
2019-01-21 00:00:00 UTC,5.24,7.05,8.54,146.64,-65.60,64.46,47.53,6.45,
2019-01-22 00:00:00 UTC,2.51,3.22,3.83,156.20,-68.91,59.16,34.75,2.88,
2019-01-23 00:00:00 UTC,7.90,9.76,11.11,391.88,-64.80,62.86,31.23,9.57,
2019-01-24 00:00:00 UTC,10.89,15.06,18.67,957.84,-71.19,78.54,24.78,12.99,
2019-01-25 00:00:00 UTC,7.92,10.49,12.69,785.43,-70.20,72.85,27.37,9.11,
2019-01-26 00:00:00 UTC,14.40,19.90,24.80,444.32,-66.97,82.47,20.02,16.12,
2019-01-27 00:00:00 UTC,13.17,18.80,25.03,1412.37,-72.14,69.77,29.84,16.12,
2019-01-28 00:00:00 UTC,16.40,20.72,23.85,2738.88,-75.46,65.30,36.74,19.52,
2019-01-29 00:00:00 UTC,52.51,69.52,82.94,629.16,-73.57,70.74,44.44,49.63,
2019-01-30 00:00:00 UTC,25.75,35.36,42.06,1929.86,-71.96,68.79,54.59,30.94,
2019-01-31 00:00:00 UTC,20.73,28.63,34.57,334.69,-71.44,63.93,61.78,26.55,
