created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-12-16 00:00:00 UTC,12.67,42.78,74.67,42.40,-51.08,75.21,17.63,29.43,
2019-12-17 00:00:00 UTC,,,,,,,,,
2019-12-18 00:00:00 UTC,,,,,,,,,
2019-12-19 00:00:00 UTC,,,,,,,,,
2019-12-20 00:00:00 UTC,,,,,,,,,
2019-12-21 00:00:00 UTC,,,,,,,,,
2019-12-22 00:00:00 UTC,,,,,,,,,
2019-12-23 00:00:00 UTC,,,,,,,,,
2019-12-24 00:00:00 UTC,,,,,,,,,
2019-12-25 00:00:00 UTC,,,,,,,,,
2019-12-26 00:00:00 UTC,,,,,,,,,
2019-12-27 00:00:00 UTC,,,,,,,,,
2019-12-28 00:00:00 UTC,2.43,3.67,4.30,11.33,-78.53,71.07,38.87,3.67,
2019-12-29 00:00:00 UTC,19.24,29.20,31.59,741.00,-77.22,57.93,53.57,27.20,
2019-12-30 00:00:00 UTC,13.41,20.19,21.88,2181.00,-76.15,60.83,44.44,18.97,
2019-12-31 00:00:00 UTC,7.87,11.50,12.67,3621.00,-75.03,60.42,40.76,11.40
