created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,1.60,2.26,2.46,554.49,-72.94,59.33,15.45,2.26,
2019-01-02 00:00:00 UTC,5.49,7.66,8.14,358.08,-73.99,57.61,20.61,7.37,
2019-01-03 00:00:00 UTC,4.60,6.10,6.43,616.72,-71.50,59.57,24.37,6.10,
2019-01-04 00:00:00 UTC,6.70,9.42,10.01,465.43,-70.23,61.43,26.40,9.25,
2019-01-05 00:00:00 UTC,16.33,24.52,26.37,585.25,-70.32,59.93,34.36,23.55,
2019-01-06 00:00:00 UTC,6.72,9.11,9.58,371.96,-69.21,53.46,49.06,9.09,
2019-01-07 00:00:00 UTC,2.52,3.97,4.39,319.35,-69.25,57.22,49.08,3.97,
2019-01-08 00:00:00 UTC,3.73,5.21,5.54,560.34,-69.10,64.34,49.47,5.17,
2019-01-09 00:00:00 UTC,4.30,6.09,6.48,224.15,-68.74,64.89,43.63,6.08,
2019-01-10 00:00:00 UTC,13.37,20.08,21.66,1276.73,-67.93,64.44,47.57,19.72,
2019-01-11 00:00:00 UTC,20.80,33.98,37.37,508.35,-68.17,62.51,50.77,30.30,
2019-01-12 00:00:00 UTC,12.53,20.40,22.38,403.65,-68.25,63.00,52.49,18.29,
2019-01-13 00:00:00 UTC,5.15,6.99,7.36,880.86,-69.03,59.48,50.08,6.62,
2019-01-14 00:00:00 UTC,5.33,7.37,7.84,413.35,-68.52,61.12,48.11,7.18,
2019-01-15 00:00:00 UTC,2.76,3.95,4.20,581.53,-70.99,59.92,58.56,3.93,
2019-01-16 00:00:00 UTC,1.98,2.90,3.09,330.29,-70.54,62.55,61.61,2.90,
2019-01-17 00:00:00 UTC,1.36,2.03,2.20,1044.67,-69.64,65.97,65.83,2.03,
2019-01-18 00:00:00 UTC,6.34,10.18,11.17,476.26,-71.37,63.41,60.00,10.17,
2019-01-19 00:00:00 UTC,3.38,5.13,5.57,207.78,-71.10,67.18,48.58,5.12,
2019-01-20 00:00:00 UTC,2.38,3.32,3.55,452.94,-72.15,69.68,40.22,3.24,
2019-01-21 00:00:00 UTC,2.64,3.85,4.20,272.47,-72.44,66.08,39.02,3.85,
2019-01-22 00:00:00 UTC,0.77,1.10,1.19,326.09,-71.69,58.93,23.84,1.10,
2019-01-23 00:00:00 UTC,4.17,5.52,5.84,593.05,-71.43,63.39,26.12,5.52,
2019-01-24 00:00:00 UTC,3.06,4.29,4.56,1855.34,-71.40,66.33,26.61,4.29,
2019-01-25 00:00:00 UTC,1.42,2.09,2.28,650.95,-69.69,68.86,25.36,2.09,
2019-01-26 00:00:00 UTC,2.06,2.91,3.13,401.94,-69.89,71.03,22.45,2.89,
2019-01-27 00:00:00 UTC,2.65,3.75,4.02,1401.38,-71.82,72.49,21.08,3.74,
2019-01-28 00:00:00 UTC,6.22,8.68,9.21,785.50,-14.09,72.23,28.21,8.55,
2019-01-29 00:00:00 UTC,14.07,22.83,25.23,277.71,17.64,71.55,33.12,18.59,
2019-01-30 00:00:00 UTC,25.85,41.55,45.24,221.30,13.13,69.34,47.84,35.75,
2019-01-31 00:00:00 UTC,22.82,40.15,44.95,355.05,9.45,65.13,55.75,34.38,
2019-02-01 00:00:00 UTC,5.95,8.47,9.01,274.65,15.72,62.41,52.78,8.47,
2019-02-02 00:00:00 UTC,3.65,5.11,5.46,203.85,7.05,62.79,56.79,5.11,
2019-02-03 00:00:00 UTC,4.89,7.00,7.52,172.77,0.89,59.98,62.07,6.93,
2019-02-04 00:00:00 UTC,1.98,3.02,3.35,255.53,-44.08,60.53,62.26,3.02,
2019-02-05 00:00:00 UTC,0.93,1.43,1.60,563.86,-78.85,58.32,55.41,1.43,
2019-02-06 00:00:00 UTC,0.31,0.47,0.56,312.29,-75.82,55.57,34.38,0.47,
2019-02-07 00:00:00 UTC,2.82,3.99,4.27,323.52,-74.23,56.92,32.87,3.97,
2019-02-08 00:00:00 UTC,7.80,11.19,11.99,394.11,-70.64,58.74,33.76,10.95,
2019-02-09 00:00:00 UTC,9.50,14.02,15.08,772.14,-70.74,59.04,46.00,14.02,
2019-02-10 00:00:00 UTC,3.12,4.44,4.75,1494.63,-71.79,58.48,52.20,4.41,
2019-02-11 00:00:00 UTC,1.60,2.30,2.50,1083.59,-72.04,55.12,45.43,2.30,
2019-02-12 00:00:00 UTC,2.43,3.27,3.51,940.89,-71.83,59.70,30.27,3.27,
2019-02-13 00:00:00 UTC,2.65,3.79,4.08,512.17,-73.99,62.01,31.57,3.79,
2019-02-14 00:00:00 UTC,1.69,2.40,2.56,543.89,-74.09,62.83,63.40,2.40,
2019-02-15 00:00:00 UTC,2.32,3.55,3.94,1184.79,-71.52,60.16,54.74,3.55,
2019-02-16 00:00:00 UTC,1.23,1.86,1.98,380.81,-72.25,59.01,48.44,1.86,
2019-02-17 00:00:00 UTC,2.95,4.40,4.83,660.79,-72.67,56.90,42.05,4.17,
2019-02-18 00:00:00 UTC,3.48,4.81,5.12,1373.88,-70.99,55.14,41.29,4.56,
2019-02-19 00:00:00 UTC,1.93,2.59,2.74,694.33,-71.86,56.50,29.95,2.59,
2019-02-20 00:00:00 UTC,6.04,8.16,8.57,305.71,-74.40,56.32,39.15,8.02,
2019-02-21 00:00:00 UTC,4.98,6.51,6.85,463.53,-74.93,57.49,45.80,6.51,
2019-02-22 00:00:00 UTC,2.49,3.36,3.59,528.10,-71.90,57.38,32.37,3.36,
2019-02-23 00:00:00 UTC,3.72,5.13,5.45,843.92,-73.15,58.31,31.75,5.12,
2019-02-24 00:00:00 UTC,9.79,13.66,14.50,295.94,-72.03,62.19,30.52,13.63,
2019-02-25 00:00:00 UTC,9.28,13.90,14.97,611.62,-72.11,64.23,32.48,13.77,
2019-02-26 00:00:00 UTC,15.78,23.17,24.84,637.40,-73.15,64.65,41.34,20.63,
2019-02-27 00:00:00 UTC,22.11,36.32,39.78,810.78,-71.89,66.32,44.53,34.14,
2019-02-28 00:00:00 UTC,18.15,32.14,35.86,657.49,-71.75,67.73,51.44,30.11,
2019-03-01 00:00:00 UTC,15.53,27.76,30.86,775.36,-72.18,68.03,52.34,26.75,
2019-03-02 00:00:00 UTC,9.43,15.92,17.67,2215.33,-72.34,66.21,57.78,15.84,
2019-03-03 00:00:00 UTC,3.50,5.51,6.07,2755.69,-75.18,62.69,57.64,5.51,
2019-03-04 00:00:00 UTC,5.09,7.91,8.57,422.63,-73.57,63.30,53.53,7.91,
2019-03-05 00:00:00 UTC,8.09,12.06,12.99,698.15,-71.75,63.73,48.01,11.80,
2019-03-06 00:00:00 UTC,5.60,8.45,9.12,1131.33,-74.40,64.13,56.97,8.10,
2019-03-07 00:00:00 UTC,4.13,6.73,7.41,603.03,-71.97,62.91,60.67,6.73,
2019-03-08 00:00:00 UTC,0.47,0.82,0.98,1045.67,-70.63,60.48,44.95,0.82,
2019-03-09 00:00:00 UTC,2.37,3.58,3.95,839.82,-71.90,60.83,44.86,3.58,
2019-03-10 00:00:00 UTC,2.33,3.33,3.59,352.89,-72.83,60.33,42.04,3.33
2019-03-11 00:00:00 UTC,3.88,5.32,5.66,947.33,-72.54,61.23,43.60,5.32,
2019-03-11 00:00:00 UTC,3.88,5.32,5.66,947.33,-72.54,61.23,43.60,5.32
2019-03-12 00:00:00 UTC,4.82,6.83,7.28,1362.81,-73.24,67.63,40.80,6.83,
2019-03-12 00:00:00 UTC,4.82,6.83,7.28,1362.81,-73.24,67.63,40.80,6.83
2019-03-13 00:00:00 UTC,2.75,5.05,6.04,582.91,-74.15,67.16,41.69,5.05,
2019-03-13 00:00:00 UTC,2.75,5.05,6.04,582.91,-74.15,67.16,41.69,5.05
2019-03-14 00:00:00 UTC,2.04,3.12,3.46,227.65,-77.05,65.90,31.62,3.09,
2019-03-14 00:00:00 UTC,2.04,3.12,3.46,227.65,-77.05,65.90,31.62,3.09
2019-03-15 00:00:00 UTC,1.75,2.53,2.73,544.05,-77.94,68.29,22.12,2.53,
2019-03-15 00:00:00 UTC,1.75,2.53,2.73,544.05,-77.94,68.29,22.12,2.53
2019-03-16 00:00:00 UTC,0.31,0.47,0.55,521.38,-78.47,75.99,13.27,0.47,
2019-03-16 00:00:00 UTC,0.31,0.47,0.55,521.38,-78.47,75.99,13.27,0.47
2019-03-17 00:00:00 UTC,1.54,2.27,2.47,821.03,-74.40,76.74,21.29,2.27,
2019-03-17 00:00:00 UTC,1.54,2.27,2.47,821.03,-74.40,76.74,21.29,2.27
2019-03-18 00:00:00 UTC,6.07,8.68,9.26,782.00,-75.57,76.39,28.20,8.54,
2019-03-18 00:00:00 UTC,6.07,8.68,9.26,782.00,-75.57,76.39,28.20,8.54
2019-03-19 00:00:00 UTC,8.71,11.98,12.66,741.86,-74.91,71.98,35.93,11.88,
2019-03-19 00:00:00 UTC,8.71,11.98,12.66,741.86,-74.91,71.98,35.93,11.88
2019-03-20 00:00:00 UTC,7.93,11.18,11.78,364.80,-75.33,66.23,49.43,11.18,
2019-03-20 00:00:00 UTC,7.93,11.18,11.78,364.80,-75.33,66.23,49.43,11.18
2019-03-21 00:00:00 UTC,3.80,5.82,6.36,650.61,-75.61,62.31,54.47,5.82,
2019-03-21 00:00:00 UTC,3.80,5.82,6.36,650.61,-75.61,62.31,54.47,5.82
2019-03-22 00:00:00 UTC,5.57,8.09,8.69,992.80,-77.51,63.22,48.70,8.09,
2019-03-22 00:00:00 UTC,5.57,8.09,8.69,992.80,-77.51,63.22,48.70,8.09
2019-03-23 00:00:00 UTC,8.61,13.33,14.48,522.53,-76.21,65.75,47.44,13.33,
2019-03-23 00:00:00 UTC,8.61,13.33,14.48,522.53,-76.21,65.75,47.44,13.33
2019-03-24 00:00:00 UTC,8.01,11.93,12.78,456.49,-75.15,66.57,46.87,11.93,
2019-03-24 00:00:00 UTC,8.01,11.93,12.78,456.49,-75.15,66.57,46.87,11.93
2019-03-25 00:00:00 UTC,9.87,14.54,15.50,331.22,-75.03,71.34,38.94,14.54,
2019-03-25 00:00:00 UTC,9.87,14.54,15.50,331.22,-75.03,71.34,38.94,14.54
2019-03-26 00:00:00 UTC,9.91,15.14,16.33,292.12,-73.92,70.82,31.71,15.04,
2019-03-26 00:00:00 UTC,9.91,15.14,16.33,292.12,-73.92,70.82,31.71,15.04
2019-03-27 00:00:00 UTC,9.94,17.12,19.03,689.28,-75.20,69.09,40.77,17.08,
2019-03-27 00:00:00 UTC,9.94,17.12,19.03,689.28,-75.20,69.09,40.77,17.08
2019-03-28 00:00:00 UTC,2.04,3.18,3.44,295.95,-76.06,38.62,28.97,3.18,
2019-03-28 00:00:00 UTC,2.04,3.18,3.44,295.95,-76.06,38.62,28.97,3.18
2019-03-29 00:00:00 UTC,2.22,3.52,3.90,409.42,-75.49,67.65,39.82,3.52,
2019-03-29 00:00:00 UTC,2.22,3.52,3.90,409.42,-75.49,67.65,39.82,3.52
2019-03-30 00:00:00 UTC,2.59,3.75,4.07,589.44,-75.41,71.48,30.49,3.75,
2019-03-30 00:00:00 UTC,2.59,3.75,4.07,589.44,-75.41,71.48,30.49,3.75
2019-03-31 00:00:00 UTC,2.86,3.94,4.22,668.07,-75.29,76.08,23.65,3.94,
2019-03-31 00:00:00 UTC,2.86,3.94,4.22,668.07,-75.29,76.08,23.65,3.94
2019-04-01 00:00:00 UTC,4.67,6.12,6.44,832.28,-75.58,78.19,24.52,5.95,
2019-04-01 00:00:00 UTC,4.67,6.12,6.44,832.28,-75.58,78.19,24.52,5.95
2019-04-02 00:00:00 UTC,6.90,9.48,10.08,1463.00,-76.76,73.15,34.29,9.48,
2019-04-02 00:00:00 UTC,6.90,9.48,10.08,1463.00,-76.76,73.15,34.29,9.48
2019-04-03 00:00:00 UTC,4.49,6.55,7.05,2901.92,-76.29,67.62,45.56,6.55,
2019-04-03 00:00:00 UTC,4.49,6.55,7.05,2901.92,-76.29,67.62,45.56,6.55
2019-04-04 00:00:00 UTC,6.28,10.21,11.20,1598.39,-75.35,65.85,50.46,10.20,
2019-04-04 00:00:00 UTC,6.28,10.21,11.20,1598.39,-75.35,65.85,50.46,10.20
2019-04-05 00:00:00 UTC,2.53,3.80,4.11,705.17,-77.44,65.60,50.51,3.80,
2019-04-05 00:00:00 UTC,2.53,3.80,4.11,705.17,-77.44,65.60,50.51,3.80
2019-04-06 00:00:00 UTC,6.03,8.37,8.83,946.00,-76.40,68.61,47.68,8.37,
