created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,0.62,0.67,0.78,271.99,-52.92,55.70,18.95,0.67,
2019-01-02 00:00:00 UTC,3.41,5.16,5.92,240.06,-52.94,51.28,30.05,5.11,
2019-01-03 00:00:00 UTC,4.67,6.53,7.27,121.92,-52.66,53.42,37.17,6.53,
2019-01-04 00:00:00 UTC,4.82,7.04,7.79,221.91,-52.25,54.98,39.69,7.00,
2019-01-05 00:00:00 UTC,16.65,27.31,30.08,205.25,-51.47,54.02,48.95,26.13,
2019-01-06 00:00:00 UTC,8.42,11.74,12.48,369.55,-53.67,56.51,69.05,11.61,
2019-01-07 00:00:00 UTC,3.24,5.27,6.31,79.85,-53.96,50.44,54.45,5.27,
2019-01-08 00:00:00 UTC,4.33,6.35,6.92,98.59,-54.22,59.36,60.71,6.29,
2019-01-09 00:00:00 UTC,4.52,6.83,7.60,183.42,-53.39,59.56,56.77,6.79,
2019-01-10 00:00:00 UTC,10.74,16.71,18.23,192.93,-53.55,60.16,57.52,16.46,
2019-01-11 00:00:00 UTC,20.32,36.67,40.76,118.01,-53.14,57.70,61.01,32.76,
2019-01-12 00:00:00 UTC,11.58,22.07,24.90,129.26,-53.64,57.74,68.88,19.26,
2019-01-13 00:00:00 UTC,6.79,9.47,10.15,176.80,-52.35,54.40,62.66,9.19,
2019-01-14 00:00:00 UTC,6.08,8.54,9.16,266.58,-52.58,55.57,69.58,8.49,
2019-01-15 00:00:00 UTC,4.31,6.35,6.84,78.53,-53.39,56.31,71.89,6.31,
2019-01-16 00:00:00 UTC,2.96,4.61,4.99,113.48,-53.91,59.06,74.17,4.53,
2019-01-17 00:00:00 UTC,2.66,3.87,4.18,81.31,-53.91,62.82,81.85,3.79,
2019-01-18 00:00:00 UTC,5.74,9.50,10.96,258.44,-53.00,60.11,68.37,9.46,
2019-01-19 00:00:00 UTC,4.13,6.74,7.75,146.97,-53.27,62.35,59.62,6.69,
2019-01-20 00:00:00 UTC,2.79,4.11,4.49,217.00,-52.36,63.32,55.75,3.62,
2019-01-21 00:00:00 UTC,3.52,5.07,5.56,141.06,-52.48,56.48,42.21,5.07,
2019-01-22 00:00:00 UTC,0.91,1.17,1.37,147.31,-52.34,60.02,31.84,1.17,
2019-01-23 00:00:00 UTC,5.85,8.03,8.73,86.04,-52.95,64.96,32.52,8.02,
2019-01-24 00:00:00 UTC,3.71,5.59,6.18,150.93,-52.11,61.01,39.19,5.55,
2019-01-25 00:00:00 UTC,1.68,2.66,3.10,139.44,-51.66,61.79,38.34,2.63,
2019-01-26 00:00:00 UTC,2.39,3.56,4.09,438.15,-51.85,62.85,37.58,3.56,
2019-01-27 00:00:00 UTC,3.23,4.91,5.49,131.30,-52.38,64.85,35.55,4.83,
2019-01-28 00:00:00 UTC,7.76,11.54,12.51,122.96,-52.62,63.59,43.48,11.44,
2019-01-29 00:00:00 UTC,13.78,23.27,25.84,114.54,-53.53,67.54,45.17,18.94,
2019-01-30 00:00:00 UTC,26.37,45.15,49.27,134.65,-51.96,65.67,56.29,37.57,
2019-01-31 00:00:00 UTC,23.12,43.99,49.00,91.64,-53.60,60.24,70.09,37.17,
2019-02-01 00:00:00 UTC,5.27,7.49,7.93,9.73,-56.49,56.32,65.92,7.49,
2019-02-02 00:00:00 UTC,3.76,5.40,5.77,7.60,-56.70,43.58,59.20,5.39,
2019-02-03 00:00:00 UTC,6.75,10.26,11.15,7.37,-55.90,,,9.93,
2019-02-04 00:00:00 UTC,3.47,5.22,5.94,133.02,-55.12,,,5.22,
2019-02-05 00:00:00 UTC,0.71,1.14,1.55,126.30,-55.92,,,1.14,
2019-02-06 00:00:00 UTC,0.18,0.27,0.42,214.48,-54.88,,,0.27,
2019-02-07 00:00:00 UTC,2.38,3.42,3.91,133.90,-53.32,,,3.41,
2019-02-08 00:00:00 UTC,7.30,11.14,12.11,285.50,-52.88,,,11.13,
2019-02-09 00:00:00 UTC,10.95,17.16,18.68,91.83,-53.28,,,17.03,
2019-02-10 00:00:00 UTC,3.60,5.02,5.51,121.72,-53.50,,,5.02,
2019-02-11 00:00:00 UTC,1.61,2.37,2.69,98.16,-53.93,,,2.35,
2019-02-12 00:00:00 UTC,2.96,4.26,4.79,103.22,-53.14,,,4.26,
2019-02-13 00:00:00 UTC,2.04,3.04,3.49,104.09,-51.88,,,3.04,
2019-02-14 00:00:00 UTC,3.45,4.54,4.92,95.59,-53.22,,,4.50,
2019-02-15 00:00:00 UTC,3.77,5.67,6.62,138.77,-53.92,,,5.64,
2019-02-16 00:00:00 UTC,1.56,2.10,2.38,121.36,-53.74,,,2.09,
2019-02-17 00:00:00 UTC,1.47,2.22,2.75,84.29,-53.60,,,2.22,
2019-02-18 00:00:00 UTC,0.69,1.11,1.37,157.77,-53.13,,,1.11,
2019-02-19 00:00:00 UTC,1.47,1.95,2.10,123.52,-52.89,,,1.95,
2019-02-20 00:00:00 UTC,6.20,8.63,9.33,83.63,-52.32,,,8.63,
2019-02-21 00:00:00 UTC,5.76,8.21,8.87,86.38,-52.98,,,8.18,
2019-02-22 00:00:00 UTC,0.94,1.34,1.55,87.86,-52.42,,,1.34,
2019-02-23 00:00:00 UTC,5.31,7.73,8.52,170.63,-52.53,,,7.73,
2019-02-24 00:00:00 UTC,8.31,11.94,12.79,132.17,-52.52,,,11.94,
2019-02-25 00:00:00 UTC,9.12,14.66,16.09,347.37,-52.66,,,14.52,
2019-02-26 00:00:00 UTC,14.91,22.85,24.72,139.74,-52.77,,,21.04,
2019-02-27 00:00:00 UTC,21.68,38.56,42.43,217.86,-54.32,,,35.49,
2019-02-28 00:00:00 UTC,17.83,35.49,39.41,68.30,-55.06,,,31.73,
2019-03-01 00:00:00 UTC,14.61,29.02,31.59,103.25,-54.54,,,27.61,
2019-03-02 00:00:00 UTC,9.32,17.65,19.67,164.09,-55.63,,,17.11,
2019-03-03 00:00:00 UTC,2.94,4.87,5.69,119.51,-56.99,,,4.87,
2019-03-04 00:00:00 UTC,5.42,9.13,9.84,79.13,-55.86,,,9.13,
2019-03-05 00:00:00 UTC,8.37,12.95,13.89,58.90,-55.61,,,12.57,
2019-03-06 00:00:00 UTC,6.49,10.29,11.20,113.63,-56.08,,,9.93,
2019-03-07 00:00:00 UTC,3.39,5.58,6.34,84.67,-57.50,,,5.58,
2019-03-08 00:00:00 UTC,0.61,1.07,1.45,107.53,-55.82,,,1.05,
2019-03-09 00:00:00 UTC,3.21,4.74,5.53,143.28,-53.04,,,4.74,
2019-03-10 00:00:00 UTC,3.26,4.68,5.23,67.21,-52.73,,,4.64
2019-03-11 00:00:00 UTC,4.56,6.35,6.90,86.50,-53.04,,,6.34,
2019-03-11 00:00:00 UTC,4.56,6.35,6.90,86.50,-53.04,,,6.34
2019-03-12 00:00:00 UTC,4.45,6.50,7.03,262.91,-52.87,,,6.50,
2019-03-12 00:00:00 UTC,4.45,6.50,7.03,262.91,-52.87,,,6.50
2019-03-13 00:00:00 UTC,2.28,4.27,6.03,155.60,-53.31,,,4.26,
2019-03-13 00:00:00 UTC,2.28,4.27,6.03,155.60,-53.31,,,4.26
2019-03-14 00:00:00 UTC,1.40,2.14,2.60,78.36,-52.87,,,2.14,
