created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,0.87,1.27,1.44,350.34,-71.62,58.99,15.36,1.18,
2019-01-02 00:00:00 UTC,2.11,2.98,3.25,592.22,-70.62,56.13,20.52,2.98,
2019-01-03 00:00:00 UTC,4.96,7.03,7.61,509.43,-74.17,56.64,30.83,7.03,
2019-01-04 00:00:00 UTC,10.70,14.76,15.63,896.67,-72.19,58.20,35.79,14.69,
2019-01-05 00:00:00 UTC,27.76,41.42,43.72,1496.33,-71.73,58.48,47.53,36.14,
2019-01-06 00:00:00 UTC,9.99,13.93,14.56,887.23,-72.23,59.85,59.26,13.34,
2019-01-07 00:00:00 UTC,2.96,4.65,5.35,478.17,-72.85,61.88,61.46,4.64,
2019-01-08 00:00:00 UTC,13.37,20.01,21.02,1576.78,-69.34,62.95,56.36,18.53,
2019-01-09 00:00:00 UTC,9.53,13.28,14.09,596.49,-69.03,63.22,51.37,13.28,
2019-01-10 00:00:00 UTC,8.91,12.53,13.29,551.64,-71.47,63.45,54.09,12.53,
2019-01-11 00:00:00 UTC,19.38,33.70,36.61,235.76,-73.80,62.91,57.87,29.81,
2019-01-12 00:00:00 UTC,12.01,22.57,25.09,435.50,-74.07,62.70,59.82,18.44,
2019-01-13 00:00:00 UTC,10.69,14.91,15.68,434.95,-73.26,58.68,56.02,13.72,
2019-01-14 00:00:00 UTC,8.45,11.55,12.09,465.25,-73.04,61.20,54.96,11.23,
2019-01-15 00:00:00 UTC,9.20,13.52,14.34,1030.33,-72.00,60.30,63.39,13.14,
2019-01-16 00:00:00 UTC,2.56,4.14,4.40,1625.81,-71.70,63.00,66.33,4.14,
2019-01-17 00:00:00 UTC,2.01,2.92,3.12,824.15,-72.44,67.52,68.73,2.92,
2019-01-18 00:00:00 UTC,7.23,11.94,13.50,261.28,-71.81,65.61,62.20,11.85,
2019-01-19 00:00:00 UTC,7.84,11.94,13.10,1215.33,-70.91,65.71,53.69,11.57,
2019-01-20 00:00:00 UTC,4.32,6.05,6.45,784.79,-69.51,68.32,46.55,6.04,
2019-01-21 00:00:00 UTC,0.82,1.03,1.24,722.18,-73.56,65.34,44.40,1.03,
2019-01-22 00:00:00 UTC,0.85,1.20,1.33,257.79,-71.72,63.44,28.72,1.19,
2019-01-23 00:00:00 UTC,1.65,2.35,2.56,276.29,-70.46,61.91,24.70,2.35,
2019-01-24 00:00:00 UTC,5.70,8.01,8.61,913.69,-69.87,62.68,38.28,8.00,
2019-01-25 00:00:00 UTC,1.78,2.58,2.87,155.76,-70.45,66.13,31.41,2.58,
2019-01-26 00:00:00 UTC,1.41,2.08,2.31,545.02,-69.93,69.29,25.06,2.08,
2019-01-27 00:00:00 UTC,4.21,5.87,6.33,1934.55,-69.10,67.32,32.98,5.87,
2019-01-28 00:00:00 UTC,12.03,17.50,18.59,1568.10,-73.82,66.01,37.55,17.23,
2019-01-29 00:00:00 UTC,32.54,51.76,55.45,292.75,-71.67,70.15,43.50,41.42,
2019-01-30 00:00:00 UTC,18.94,30.24,32.34,315.93,-70.98,67.17,52.83,27.74,
2019-01-31 00:00:00 UTC,17.19,28.63,30.79,962.00,-69.30,63.78,61.20,26.25,
2019-02-01 00:00:00 UTC,9.45,13.25,13.93,1197.37,-71.14,60.62,59.97,13.23,
2019-02-02 00:00:00 UTC,2.50,3.58,3.86,389.42,-74.53,63.20,61.99,3.58,
2019-02-03 00:00:00 UTC,4.99,7.34,8.05,817.11,-71.59,61.91,64.46,7.34,
2019-02-04 00:00:00 UTC,2.63,3.91,4.38,537.50,-72.55,62.47,63.56,3.91,
2019-02-05 00:00:00 UTC,0.42,0.79,1.04,466.19,-71.91,59.66,55.47,0.79,
2019-02-06 00:00:00 UTC,0.72,1.00,1.12,274.84,-69.49,55.76,35.81,1.00,
2019-02-07 00:00:00 UTC,2.85,3.92,4.21,638.35,-67.92,55.80,34.71,3.92,
2019-02-08 00:00:00 UTC,8.23,11.84,12.60,1723.65,-68.73,57.55,39.27,11.84,
2019-02-09 00:00:00 UTC,9.44,13.34,14.10,2331.31,-70.12,58.17,52.89,13.19,
2019-02-10 00:00:00 UTC,5.84,8.18,8.69,175.08,-73.13,58.71,59.61,8.04,
2019-02-11 00:00:00 UTC,0.85,1.27,1.43,346.38,-71.64,56.83,37.69,1.27,
2019-02-12 00:00:00 UTC,5.81,8.16,8.70,371.81,-68.64,58.34,39.86,8.16,
2019-02-13 00:00:00 UTC,6.92,9.57,10.18,390.87,-68.26,40.82,24.21,9.49,
2019-02-14 00:00:00 UTC,1.04,1.47,1.66,755.10,-71.45,64.61,64.94,1.47,
2019-02-15 00:00:00 UTC,2.82,4.44,5.18,272.14,-68.36,61.51,57.16,4.44,
2019-02-16 00:00:00 UTC,2.22,3.25,3.57,311.74,-72.60,58.34,56.26,3.17,
2019-02-17 00:00:00 UTC,0.89,1.61,2.01,237.36,-68.94,58.05,47.99,1.61,
2019-02-18 00:00:00 UTC,0.37,0.57,0.71,554.75,-69.95,21.72,14.00,0.57,
2019-02-19 00:00:00 UTC,1.78,2.30,2.44,217.01,-70.89,57.37,29.78,2.30,
2019-02-20 00:00:00 UTC,7.22,9.63,10.13,420.96,-71.34,56.08,43.79,9.61,
2019-02-21 00:00:00 UTC,4.25,6.08,6.56,352.73,-72.53,57.29,48.71,6.08,
2019-02-22 00:00:00 UTC,1.15,1.43,1.55,499.86,-69.94,57.58,30.11,1.43,
2019-02-23 00:00:00 UTC,6.28,8.46,8.97,205.57,-72.46,54.71,33.03,8.46,
2019-02-24 00:00:00 UTC,7.16,9.98,10.57,517.98,-70.67,60.62,37.71,9.98,
2019-02-25 00:00:00 UTC,11.93,16.90,17.90,395.85,-71.85,63.02,41.83,16.75,
2019-02-26 00:00:00 UTC,14.58,21.01,22.23,593.90,-70.97,63.16,48.95,20.46,
2019-02-27 00:00:00 UTC,14.97,24.27,25.86,1844.24,-72.15,64.06,54.25,23.50,
2019-02-28 00:00:00 UTC,12.70,20.19,21.28,136.98,-76.04,74.46,49.87,19.92,
2019-03-01 00:00:00 UTC,10.02,18.01,19.48,338.13,-70.48,68.42,55.99,17.70,
2019-03-02 00:00:00 UTC,4.67,7.35,7.90,464.90,-72.24,67.46,60.11,7.35,
2019-03-03 00:00:00 UTC,1.56,2.64,3.07,946.00,-73.42,67.60,60.54,2.64,
2019-03-04 00:00:00 UTC,1.68,2.37,2.57,947.49,-72.01,66.95,52.62,2.36,
2019-03-05 00:00:00 UTC,8.46,12.42,13.06,731.15,-71.28,65.78,49.58,12.15,
2019-03-06 00:00:00 UTC,7.53,11.18,11.90,645.91,-73.58,65.91,59.99,11.17,
2019-03-07 00:00:00 UTC,2.49,3.98,4.48,635.53,-74.15,65.62,58.60,3.87,
2019-03-08 00:00:00 UTC,0.47,0.85,1.10,334.34,-71.64,62.61,47.35,0.85,
2019-03-09 00:00:00 UTC,3.37,4.77,5.29,554.45,-71.59,61.38,46.15,4.77,
2019-03-10 00:00:00 UTC,3.66,5.14,5.52,227.33,-71.95,61.59,46.06,5.14
2019-03-11 00:00:00 UTC,6.53,8.96,9.49,404.49,-73.17,62.41,48.07,8.96,
2019-03-11 00:00:00 UTC,6.53,8.96,9.49,404.49,-73.17,62.41,48.07,8.96
2019-03-12 00:00:00 UTC,2.33,3.07,3.26,600.44,-72.55,70.05,32.51,3.07,
2019-03-12 00:00:00 UTC,2.33,3.07,3.26,600.44,-72.55,70.05,32.51,3.07
2019-03-13 00:00:00 UTC,1.34,2.53,3.16,305.63,-69.36,68.95,31.19,2.53,
2019-03-13 00:00:00 UTC,1.34,2.53,3.16,305.63,-69.36,68.95,31.19,2.53
2019-03-14 00:00:00 UTC,0.34,0.66,0.81,282.38,-68.71,67.23,22.08,0.66,
2019-03-14 00:00:00 UTC,0.34,0.66,0.81,282.38,-68.71,67.23,22.08,0.66
2019-03-15 00:00:00 UTC,1.46,2.09,2.31,575.43,-72.89,67.20,25.27,2.09,
2019-03-15 00:00:00 UTC,1.46,2.09,2.31,575.43,-72.89,67.20,25.27,2.09
2019-03-16 00:00:00 UTC,0.83,1.24,1.39,1296.93,-70.56,72.45,18.65,1.24,
2019-03-16 00:00:00 UTC,0.83,1.24,1.39,1296.93,-70.56,72.45,18.65,1.24
2019-03-17 00:00:00 UTC,2.80,3.94,4.28,722.00,-69.64,74.71,26.09,3.94,
2019-03-17 00:00:00 UTC,2.80,3.94,4.28,722.00,-69.64,74.71,26.09,3.94
2019-03-18 00:00:00 UTC,7.53,10.47,11.09,632.45,-72.34,76.49,33.54,10.46,
2019-03-18 00:00:00 UTC,7.53,10.47,11.09,632.45,-72.34,76.49,33.54,10.46
2019-03-19 00:00:00 UTC,22.99,34.98,36.96,1250.28,-70.48,72.46,42.95,30.47,
2019-03-19 00:00:00 UTC,22.99,34.98,36.96,1250.28,-70.48,72.46,42.95,30.47
2019-03-20 00:00:00 UTC,8.28,11.34,11.88,449.11,-71.15,69.17,50.19,11.34,
2019-03-20 00:00:00 UTC,8.28,11.34,11.88,449.11,-71.15,69.17,50.19,11.34
2019-03-21 00:00:00 UTC,2.25,3.42,3.88,808.25,-72.85,60.42,49.57,3.42,
2019-03-21 00:00:00 UTC,2.25,3.42,3.88,808.25,-72.85,60.42,49.57,3.42
2019-03-22 00:00:00 UTC,4.39,6.48,7.04,358.58,-70.19,63.38,51.55,6.48,
2019-03-22 00:00:00 UTC,4.39,6.48,7.04,358.58,-70.19,63.38,51.55,6.48
2019-03-23 00:00:00 UTC,5.22,7.81,8.47,751.33,-70.59,67.07,51.18,7.81,
2019-03-23 00:00:00 UTC,5.22,7.81,8.47,751.33,-70.59,67.07,51.18,7.81
2019-03-24 00:00:00 UTC,9.43,15.32,16.46,749.39,-70.20,67.71,52.09,15.29,
2019-03-24 00:00:00 UTC,9.43,15.32,16.46,749.39,-70.20,67.71,52.09,15.29
2019-03-25 00:00:00 UTC,9.71,14.84,15.83,604.10,-70.22,70.45,45.23,14.83,
2019-03-25 00:00:00 UTC,9.71,14.84,15.83,604.10,-70.22,70.45,45.23,14.83
2019-03-26 00:00:00 UTC,10.00,14.96,15.94,373.84,-70.55,70.95,41.47,14.96,
2019-03-26 00:00:00 UTC,10.00,14.96,15.94,373.84,-70.55,70.95,41.47,14.96
2019-03-27 00:00:00 UTC,8.79,14.82,16.06,687.44,-70.38,69.84,45.26,14.61,
2019-03-27 00:00:00 UTC,8.79,14.82,16.06,687.44,-70.38,69.84,45.26,14.61
