created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-01-01 00:00:00 UTC,8.96,11.59,13.05,1643.80,-68.33,60.65,18.06,11.35,
2019-01-02 00:00:00 UTC,11.18,14.44,16.12,1096.74,-70.24,59.49,21.41,13.60,
2019-01-03 00:00:00 UTC,7.17,9.29,10.47,272.71,-69.77,61.87,24.32,9.15,
2019-01-04 00:00:00 UTC,11.99,15.80,17.38,1202.00,-72.59,63.25,26.57,15.43,
2019-01-05 00:00:00 UTC,24.77,33.27,36.23,1303.87,-68.76,62.86,35.03,29.87,
2019-01-06 00:00:00 UTC,8.19,10.52,11.39,1453.19,-64.83,62.44,47.51,10.24,
2019-01-07 00:00:00 UTC,5.22,7.12,8.27,2893.00,-64.54,65.09,47.37,7.12,
2019-01-08 00:00:00 UTC,6.42,8.27,9.02,2320.80,-62.46,67.07,43.80,8.24,
2019-01-09 00:00:00 UTC,8.77,11.62,12.90,1377.69,-61.94,66.90,39.91,11.43,
2019-01-10 00:00:00 UTC,19.21,27.58,30.57,2467.10,-65.68,65.82,45.23,25.85,
2019-01-11 00:00:00 UTC,24.56,38.37,43.56,684.95,-67.85,65.56,47.79,32.06,
2019-01-12 00:00:00 UTC,12.44,18.66,20.86,469.51,-67.22,65.85,48.46,16.41,
2019-01-13 00:00:00 UTC,10.41,13.19,14.34,700.46,-63.82,62.46,44.68,12.77,
2019-01-14 00:00:00 UTC,8.25,10.37,11.15,631.64,-79.64,63.87,45.20,10.27,
2019-01-15 00:00:00 UTC,4.79,6.20,6.74,1151.33,-79.67,63.05,53.82,6.20,
2019-01-16 00:00:00 UTC,2.05,2.72,2.97,1854.01,-78.25,64.57,57.31,2.71,
2019-01-17 00:00:00 UTC,4.05,5.63,6.11,597.79,-72.58,67.89,61.79,5.63,
2019-01-18 00:00:00 UTC,7.06,10.56,12.70,266.11,-82.11,66.82,53.86,10.56,
2019-01-19 00:00:00 UTC,7.22,10.11,11.71,1258.33,-80.52,69.31,43.12,10.03,
2019-01-20 00:00:00 UTC,7.14,9.34,10.22,2698.40,-78.95,71.07,38.01,8.64,
2019-01-21 00:00:00 UTC,2.95,4.02,4.74,2148.54,-77.61,67.29,36.91,4.02,
2019-01-22 00:00:00 UTC,1.73,2.26,2.66,695.37,-73.31,59.98,30.80,2.26,
2019-01-23 00:00:00 UTC,,,,,,,,,
2019-01-24 00:00:00 UTC,,,,,,,,,
2019-01-25 00:00:00 UTC,,,,,,,,,
2019-01-26 00:00:00 UTC,,,,,,,,,
2019-01-27 00:00:00 UTC,2.71,3.54,3.98,474.00,-77.40,71.26,24.45,3.54,
2019-01-28 00:00:00 UTC,11.76,15.50,16.86,1661.23,-74.92,70.55,29.19,15.27,
2019-01-29 00:00:00 UTC,39.08,54.78,59.56,3100.47,-75.65,73.04,36.17,42.47,
2019-01-30 00:00:00 UTC,23.68,34.27,37.36,527.75,-78.18,70.23,45.67,30.90,
2019-01-31 00:00:00 UTC,22.75,34.82,38.59,970.00,-73.71,67.24,49.87,30.98,
2019-02-01 00:00:00 UTC,7.78,10.17,10.90,924.61,-64.05,64.21,47.77,10.13,
2019-02-02 00:00:00 UTC,4.09,5.42,5.90,762.59,-65.11,65.44,52.22,5.31,
2019-02-03 00:00:00 UTC,5.53,7.48,8.37,661.16,-76.50,62.95,56.29,7.47,
2019-02-04 00:00:00 UTC,3.76,5.10,5.91,957.58,-76.36,63.60,56.44,5.10,
2019-02-05 00:00:00 UTC,1.46,2.09,2.62,1094.66,-75.80,61.46,49.95,2.09,
2019-02-06 00:00:00 UTC,0.67,0.99,1.26,1855.33,-73.80,58.39,29.45,0.99,
2019-02-07 00:00:00 UTC,3.89,5.02,5.58,328.28,-71.33,59.83,28.99,5.02,
2019-02-08 00:00:00 UTC,8.67,11.66,12.87,1270.34,-71.41,62.26,30.48,11.66,
2019-02-09 00:00:00 UTC,15.63,21.01,23.06,2709.20,-70.30,61.48,41.38,20.12,
2019-02-10 00:00:00 UTC,6.16,7.89,8.69,4149.76,-70.31,60.75,47.57,7.83,
2019-02-11 00:00:00 UTC,1.22,1.66,1.97,5589.97,-71.31,59.16,34.87,1.66,
2019-02-12 00:00:00 UTC,4.55,5.83,6.44,7030.00,-72.97,63.66,26.88,5.79,
2019-02-13 00:00:00 UTC,6.51,8.24,9.12,8470.99,-75.33,65.56,30.72,8.24,
2019-02-14 00:00:00 UTC,2.62,3.55,4.04,9910.33,-74.18,65.10,56.94,3.55,
2019-02-15 00:00:00 UTC,4.45,5.95,7.02,2883.10,-73.80,62.83,50.35,5.95,
2019-02-16 00:00:00 UTC,1.35,1.84,2.19,1438.17,-73.63,61.41,43.90,1.84,
2019-02-17 00:00:00 UTC,1.40,2.16,2.84,959.98,-74.05,59.87,40.77,2.16,
2019-02-18 00:00:00 UTC,1.28,1.78,2.12,735.60,-77.00,58.75,34.07,1.78,
2019-02-19 00:00:00 UTC,2.68,3.36,3.73,2092.59,-77.51,59.43,27.08,3.35,
2019-02-20 00:00:00 UTC,8.26,10.48,11.46,3530.92,-72.77,58.82,35.80,10.48,
2019-02-21 00:00:00 UTC,8.19,10.39,11.20,2422.42,-72.79,59.47,42.46,10.39,
2019-02-22 00:00:00 UTC,7.72,9.79,10.79,391.48,-76.06,57.81,35.91,9.79,
2019-02-23 00:00:00 UTC,6.29,8.01,8.81,1197.99,-79.61,60.64,28.93,8.01,
2019-02-24 00:00:00 UTC,11.95,15.50,16.75,940.81,-74.50,64.25,30.62,15.48,
2019-02-25 00:00:00 UTC,13.25,17.33,18.87,988.33,-76.07,66.17,32.40,17.29,
2019-02-26 00:00:00 UTC,20.37,27.45,29.78,2312.66,-76.62,66.74,39.31,24.39,
2019-02-27 00:00:00 UTC,21.53,32.50,35.64,772.72,-74.60,68.57,41.98,30.59,
2019-02-28 00:00:00 UTC,18.46,28.94,31.86,759.82,-75.78,69.87,45.70,26.32,
2019-03-01 00:00:00 UTC,18.37,30.37,33.50,1935.33,-75.74,70.56,48.26,28.09,
2019-03-02 00:00:00 UTC,8.34,12.48,13.79,1025.91,-77.05,68.02,53.19,12.45,
2019-03-03 00:00:00 UTC,4.30,6.39,7.40,1016.08,-74.86,67.95,55.12,6.39,
2019-03-04 00:00:00 UTC,4.02,5.54,6.08,1090.65,-73.15,67.01,47.62,5.54,
2019-03-05 00:00:00 UTC,10.18,14.21,15.55,1418.09,-73.09,66.51,43.62,14.05,
2019-03-06 00:00:00 UTC,6.96,9.62,10.60,858.27,-72.33,67.41,49.84,9.53,
2019-03-07 00:00:00 UTC,5.63,8.05,9.17,2298.16,-74.05,66.85,53.00,7.97,
2019-03-08 00:00:00 UTC,0.77,1.23,1.68,3737.35,-75.73,64.13,39.26,1.23,
2019-03-09 00:00:00 UTC,2.60,3.59,4.37,1457.21,-72.90,64.63,40.34,3.59,
2019-03-10 00:00:00 UTC,3.79,5.00,5.68,1833.41,-74.58,63.37,38.30,5.00
2019-03-11 00:00:00 UTC,6.06,7.86,8.65,1671.74,-73.34,64.53,39.92,7.86,
2019-03-11 00:00:00 UTC,6.06,7.86,8.65,1671.74,-73.34,64.53,39.92,7.86
2019-03-12 00:00:00 UTC,5.45,7.04,7.71,1418.03,-75.06,70.64,35.91,7.04,
2019-03-12 00:00:00 UTC,5.45,7.04,7.71,1418.03,-75.06,70.64,35.91,7.04
2019-03-13 00:00:00 UTC,3.17,5.31,7.43,1957.61,-74.05,69.26,37.89,5.31,
2019-03-13 00:00:00 UTC,3.17,5.31,7.43,1957.61,-74.05,69.26,37.89,5.31
2019-03-14 00:00:00 UTC,3.14,4.28,5.08,831.76,-73.72,68.25,29.31,4.28,
2019-03-14 00:00:00 UTC,3.14,4.28,5.08,831.76,-73.72,68.25,29.31,4.28
2019-03-15 00:00:00 UTC,2.33,3.14,3.65,857.31,-71.33,70.38,20.70,3.14,
2019-03-15 00:00:00 UTC,2.33,3.14,3.65,857.31,-71.33,70.38,20.70,3.14
2019-03-16 00:00:00 UTC,2.55,3.23,3.58,851.42,-70.57,74.85,17.91,3.23,
2019-03-16 00:00:00 UTC,2.55,3.23,3.58,851.42,-70.57,74.85,17.91,3.23
2019-03-17 00:00:00 UTC,3.15,4.11,4.63,672.25,-72.86,77.80,21.38,4.11,
2019-03-17 00:00:00 UTC,3.15,4.11,4.63,672.25,-72.86,77.80,21.38,4.11
2019-03-18 00:00:00 UTC,10.14,13.31,14.37,1180.47,-73.20,78.24,28.43,12.99,
2019-03-18 00:00:00 UTC,10.14,13.31,14.37,1180.47,-73.20,78.24,28.43,12.99
2019-03-19 00:00:00 UTC,15.40,20.42,21.78,691.29,-73.24,73.45,38.33,19.33,
2019-03-19 00:00:00 UTC,15.40,20.42,21.78,691.29,-73.24,73.45,38.33,19.33
2019-03-20 00:00:00 UTC,8.71,10.63,11.41,1314.57,-77.38,69.37,45.10,10.63,
2019-03-20 00:00:00 UTC,8.71,10.63,11.41,1314.57,-77.38,69.37,45.10,10.63
2019-03-21 00:00:00 UTC,4.33,5.75,6.48,705.84,-67.47,64.51,48.53,5.75,
2019-03-21 00:00:00 UTC,4.33,5.75,6.48,705.84,-67.47,64.51,48.53,5.75
2019-03-22 00:00:00 UTC,6.74,9.10,10.22,2125.83,-68.27,65.32,44.37,9.07,
2019-03-22 00:00:00 UTC,6.74,9.10,10.22,2125.83,-68.27,65.32,44.37,9.07
